Name,Address,City,Zip,COUNTY,LONGLAT,USNG,DESCRIPT,PARCELID,FACILITY_TYPE,x,y
MILLHOPPER MONTESSORI SCHOOL,8505 NW 39TH AVENUE,GAINESVILLE,32606,ALACHUA,"-82.43426439,29.68820256",17R LN 61230 85096,,,PRIVATE SCHOOL,-9176540.3355474,3463533.8228458283
INCAF MONTESSORI SCHOOL,13921 NW 146TH AVENUE ,ALACHUA ,32615,ALACHUA,"-82.49394358,29.78868195",17R LN 55599 96305,,,PRIVATE SCHOOL,-9183183.793245662,3476415.69599314
SAINT PATRICK INTERPARISH SCHOOL,480 NE 16TH AVE,GAINESVILLE,32609,ALACHUA,"-82.32004901,29.66717034",17R LN 72255 82634,,10254 005 000,PRIVATE SCHOOL,-9163825.937915977,3460839.0364724174
CORNERSTONE ACADEMY,3536 NW 8TH AVE,GAINESVILLE,32605,ALACHUA,"-82.37618372,29.65990736",17R LN 66813 81892,,06400 097 000,PRIVATE SCHOOL,-9170074.82509457,3459908.5859380113
GAINESVILLE WILDERNESS INSTITUTE,100 SE 134TH AVE,MICANOPY,32667,ALACHUA,"-82.32195583,29.53702506",17R LN 71906 68214,,16400 001 000,PRIVATE SCHOOL,-9164038.204062844,3444176.474587898
BHAKTIVEDANTA ACADEMY,17300 NW 112TH BLVD,ALACHUA,32615,ALACHUA,"-82.46759474,29.81387364",17R LN 58182 99064,,03165 000 000,PRIVATE SCHOOL,-9180250.653149936,3479647.401566845
QUEEN OF PEACE CATHOLIC ACADEMY,10900 SW 24TH AVE,GAINESVILLE,32607,ALACHUA,"-82.45875693,29.63205699",17R LN 58782 78904,,04422 004 000,PRIVATE SCHOOL,-9179266.833382806,3456341.337968451
WINDSOR CHRISTIAN ACADEMY,918 SE COUNTY RD 234,GAINESVILLE,32641,ALACHUA,"-82.18792245,29.64259528",17R LN 85015 79772,,17822 017 000,PRIVATE SCHOOL,-9149117.675996153,3457691.032006124
NORTH FLORIDA SDA ELEMENTARY,21401 N  US HIGHWAY 441,HIGH SPRINGS,32643,ALACHUA,"-82.60522473,29.85047792",17R LP 44937 03298,,00149 001 001,PRIVATE SCHOOL,-9195571.553491646,3484344.6164322514
ST FRANCIS CATHOLIC HIGH SCHOOL,4100 NW 115TH TER,GAINESVILLE,32606,ALACHUA,"-82.46665211,29.69276366",17R LN 58103 85641,,04193 005 000,PRIVATE SCHOOL,-9180145.719873244,3464118.294181072
FAMILY LIFE ACADEMY,17259 SW ARCHER RD,ARCHER,32618,ALACHUA,"-82.52570519,29.53212861",17R LN 52154 67913,,05054 000 000,PRIVATE SCHOOL,-9186719.4789248,3443549.998573907
MICANOPY AREA COOPERATIVE SCHOOL,802 NW SEMINARY ST,MICANOPY,32667,ALACHUA,"-82.28988664,29.50482333",17R LN 74974 64611,,16814 000 000,PRIVATE SCHOOL,-9160468.278563723,3440056.985382
OASIS ENRICHMENT ACADEMY,908 SE WILLISTON RD,GAINESVILLE,32601,ALACHUA,"-82.31454974,29.63825738",17R LN 72751 79424,,15975 001 000,PRIVATE SCHOOL,-9163213.761506181,3457135.4372547213
KIDS N ALL CHRISTIAN ACADEMY,1302 NW 12TH STREET,GAINESVILLE,32601,ALACHUA,"-82.33745848,29.66402702",17R LN 70566 82305,,,PRIVATE SCHOOL,-9165763.950838458,3460436.341877702
VAISHNAVA ACADEMY FOR GIRLS,18925 NW COUNTY ROAD 239,ALACHUA, ,ALACHUA,"-82.46346107,29.82877747",17R LP 58603 00711,,,PRIVATE SCHOOL,-9179790.495394604,3481559.716282872
OAK HALL LOWER SCHOOL,7715 SW 14TH AVENUE,GAINESVILLE,32607,ALACHUA,"-82.42511531,29.63920385",17R LN 62049 79655,,,PRIVATE SCHOOL,-9175521.865016704,3457256.658489187
TRILOGY SCHOOL OF ALTERNATIVE LEARNING,8700 NW 23RD AVENUE ,GAINESVILLE ,32606,ALACHUA,"-82.43513297,29.67501563",17R LN 61128 83636,,,PRIVATE SCHOOL,-9176637.02524486,3461844.1607176038
GAINESVILLE COUNTRY DAY SCHOOL,6801 SW 24TH AVENUE ,GAINESVILLE ,32607,ALACHUA,"-82.41514324,29.63203679",17R LN 63004 78849,,,PRIVATE SCHOOL,-9174411.77872091,3456338.7506380645
FLOWERS MONTESSORI SCHOOL,3111 NW 31 AVE,GAINESVILLE,32605,ALACHUA,"-82.36831394,29.68113347",17R LN 67602 84236,,,PRIVATE SCHOOL,-9169198.765221413,3462628.0209089415
THE CHILDREN'S CENTER,5600 SW 34TH ST,GAINESVILLE ,32608,ALACHUA,"-82.36783211,29.59956449",17R LN 67542 75196,,,PRIVATE SCHOOL,-9169145.127983684,3452180.743049078
JORDAN GLEN SCHOOL INC,12425 SW 154TH STREET,ARCHER ,32618,ALACHUA,"-82.50630726,29.54080761",17R LN 54047 68850,,,PRIVATE SCHOOL,-9184560.11187659,3444660.4534535534
STAR CHRISTIAN CENTER AND ACADEMY,1930 NE WALDO ROAD ,GAINESVILLE ,32609,ALACHUA,"-82.29987641,29.66971976",17R LN 74211 82894,,,PRIVATE SCHOOL,-9161580.33451962,3461165.654433217
WESTWOOD HILLS CHRISTIAN SCHOOL,1520 NW 34TH ST,GAINESVILLE,32605,ALACHUA,"-82.37297169,29.66558166",17R LN 67131 82518,,06405 002 000,PRIVATE SCHOOL,-9169717.263329616,3460635.506216962
OAK HALL SCHOOL,8009 SW 14TH AVENUE,GAINESVILLE ,32606,ALACHUA,"-82.42711136,29.63878578",17R LN 61855 79611,,,PRIVATE SCHOOL,-9175744.06427345,3457203.1126161786
GAINESVILLE CONDUCTIVE EDUCATION ACADEMY,2606 NW 6TH STREET ,GAINESVILLE ,32609,ALACHUA,"-82.33114146,29.67700308",17R LN 71194 83736,,,PRIVATE SCHOOL,-9165060.744262813,3462098.801257835
BRENTWOOD SCHOOL,1111 NW 55TH ST,GAINESVILLE, ,ALACHUA,"-82.40039604,29.66292733",17R LN 64473 82255,PRIVATE,,PRIVATE SCHOOL,-9172770.127970316,3460295.462037241
MACCLENNY FIRST ASSEMBLY OF GOD SCHOOL,206 N FIFTH ST ,MACCLENNY ,32063,BAKER,"-82.12343464,30.28535733",17R LP 91955 50940,,,PRIVATE SCHOOL,-9141938.926101368,3540282.856360617
UNITED CHRISTIAN ACADEMY,28 W MACCLENNY AVE ,MACCLENNY ,32063,BAKER,"-82.12285256,30.28197870",17R LP 92007 50565,,,PRIVATE SCHOOL,-9141874.129609136,3539847.3152982392
FELLOWSHIP CHRISTIAN ACADEMY,2511 E 3RD STREET,PANAMA CITY ,32403,BAY,"-85.62758391,30.15344417",16R FU 32168 36583,,,PRIVATE SCHOOL,-9532019.039178655,3523288.949198515
EAGLE NEST CHRISTAN ACADEMY,100 N MACARTHUR AVE,PANAMA CITY ,32401,BAY,"-85.66185924,30.15679371",16R FU 28863 36915,,,PRIVATE SCHOOL,-9535834.551211217,3523720.176191704
KALEIDOSCOPE SCHOOL OF DISCOVERY,1556 CHANDLEE AV,PANAMA CITY ,32405,BAY,"-85.66567498,30.17917674",16R FU 28466 39391,,,PRIVATE SCHOOL,-9536259.317256013,3526602.1971131195
GOOD SHEPHERD LUTHERAN SCHOOL,929 S. TYNDALL PARKWAY,PANAMA CITY,32404,BAY,"-85.58987816,30.12954755",16R FU 35832 33979,,,PRIVATE SCHOOL,-9527821.653386114,3520212.8653224106
ADVENTIST CHRISTIAN ACADEMY,2700 LISENBY AVENUE ,PANAMA CITY ,32405,BAY,"-85.68290064,30.19746254",16R FU 26784 41399,,,PRIVATE SCHOOL,-9538176.868752763,3528957.147582652
ST BERNADETTE CATHOLIC SCHOOL,1214 MOYLAN ROAD,PANAMA CITY BEACH,32407,BAY,"-85.79358437,30.18914981",16R FU 16138 40359,,,PRIVATE SCHOOL,-9550498.124847028,3527886.532281906
PANAMA CITY ADVANCED SCHOOL,3332 TOKEN ROAD ,PANAMA CITY ,32405,BAY,"-85.67010519,30.20887160",16R FU 28001 42677,,,PRIVATE SCHOOL,-9536752.486301377,3530426.693775925
BAY REGIONAL JUVENILE DETENTION CENTER,450 E 11TH ST,PANAMA CITY,32401,BAY,"-85.65464340,30.16733735",16R FU 29544 38092,COUNTY,16674-005-000,PRIVATE SCHOOL,-9535031.287641019,3525077.6849802234
PANAMA CITY CHRISTIAN SCHOOL,1104 BALBOA AVE,PANAMA CITY,32401,BAY,"-85.67415452,30.16874608",16R FU 27663 38226,,18152-000-000,PRIVATE SCHOOL,-9537203.255413558,3525259.0721299956
EAGLE NEST CHRISTIAN ACADEMY,100 N MACARTHUR AVE,PANAMA CITY,32401,BAY,"-85.64964605,30.14672545",16R FU 30052 35813,,20966-000-000,PRIVATE SCHOOL,-9534474.985435242,3522424.009171497
SAINT JOHNS CATHOLIC SCHOOL,1008 FORTUNE AVE,PANAMA CITY,32401,BAY,"-85.68888947,30.16721944",16R FU 26246 38040,,19478-000-000,PRIVATE SCHOOL,-9538843.542575138,3525062.5034853276
COVENANT CHRISTIAN SCHOOL,2350 FRANKFORD AVENUE,PANAMA CITY,32405,BAY,"-85.69094021,30.19179670",16R FU 26017 40762,,13166-010-000,PRIVATE SCHOOL,-9539071.82961276,3528227.421610246
HOLY NATIVITY EPISCOPAL SCHOOL,222 N BONITA AVE,PANAMA CITY,32401,BAY,"-85.64674170,30.15062997",16R FU 30327 36249,,21966-000-000,PRIVATE SCHOOL,-9534151.674562491,3522926.653419034
BAY COUNTY SHERIFF'S BOOT CAMP,456 E 11TH ST,PANAMA CITY,32401,BAY,"-85.65387345,30.16727882",16R FU 29618 38086,COUNTY,16674-000-000,PRIVATE SCHOOL,-9534945.5770213,3525070.149374763
CROSSWALK CENTER FOR YOUTH & COMMUNITY DEVELOPMENT,50 SE 75TH ST,STARKE,32091,BRADFORD,"-82.04691653,29.82584060",17R LN 98848 99946,,,PRIVATE SCHOOL,-9133420.969395129,3481182.862731257
BELIEVER'S SCHOOL OF LEARNING,2225 TEMPLE AVE N,STARKE,32091,BRADFORD,"-82.10353144,29.96816066",17R LP 93529 15769,,02413-0-00000,PRIVATE SCHOOL,-9139723.312082093,3499457.849153225
NORTHSIDE CHRISTIAN ACADEMY,7415 COUNTY ROAD 225 NW,STARKE,32091,BRADFORD,"-82.16763032,30.04043422",17R LP 87426 23840,,00492-0-00000,PRIVATE SCHOOL,-9146858.76666704,3508748.3448377675
LAWTEY BAPTIST ACADEMY,1836 ADAMS STREET ,LAWTEY ,32058,BRADFORD,"-82.07494992,30.04764524",17R LP 96370 24551,,,PRIVATE SCHOOL,-9136541.632338222,3509675.666681949
LAURA CHRISTIAN SCHOOL,2146 NE 173RD ,STARKE ,32091,BRADFORD,"-82.08104386,29.96752098",17R LP 95698 15677,,,PRIVATE SCHOOL,-9137220.006138755,3499375.650542833
BRADFORD CHRISTIAN ACADEMY,2324 NE SR 16 ,STARKE ,32091,BRADFORD,"-82.08171060,29.95124940",17R LP 95617 13875,,,PRIVATE SCHOOL,-9137294.227975685,3497284.94622596
BREVARD JEWISH COMMUNITY SCHOOL,5995 N WICKHAM ROAD,MELBOURNE,32940,BREVARD,"-80.66962406,28.20793175",17R NM 32420 20280,,,PRIVATE SCHOOL,-8980101.472906133,3275214.6096045543
HERZING INSTITUTE,1270 NORTH WICKHAM ROAD ,MELBOURNE ,32934,BREVARD,"-80.67211428,28.12579189",17R NM 32201 11180,,,PRIVATE SCHOOL,-8980378.682953397,3264842.545468277
ICDRC SCHOOL 2,3800 W EAU GALLIE BLVD,MELBOURNE,32934,BREVARD,"-80.68905341,28.12597714",17R NM 30537 11196,,,PRIVATE SCHOOL,-8982264.338429388,3264865.928940814
CORNERSTONE CHRISTIAN SCHOOL,901 TALPLIN ST SE ,PALM BAY , ,BREVARD,"-80.64725497,27.96293367",17R NL 34694 93146,,,PRIVATE SCHOOL,-8977611.356705554,3244301.37700946
SCIENCE TECHNOLOGY ACADEMY,5005 N WICKHAM ROAD ,MELBOURNE ,32940,BREVARD,"-80.67131580,28.19020996",17R NM 32260 18316,,,PRIVATE SCHOOL,-8980289.79685652,3272976.147885383
HOLY TRINITY EPISCOPAL ACADEMY, 5625 HOLY TRINITY DR,MELBOURNE,32935,BREVARD,"-80.66783913,28.20142350",17R NM 32598 19560,,,PRIVATE SCHOOL,-8979902.775233932,3274392.50166615
RFM CHRISTIAN ACADEMY - PALMBAY,2200 PORT MALABAR BLVD NE,PALM BAY,32905,BREVARD,"-80.58341031,28.01943358",17R NL 40953 99425,,,PRIVATE SCHOOL,-8970504.202149801,3251424.1405865233
FAITH CHRISTIAN SCHOOL,341 EMERSON DRIVE NW ,PALM BAY ,32907,BREVARD,"-80.68099435,28.03290196",17R NM 31355 00888,,,PRIVATE SCHOOL,-8981367.208128974,3253122.6078931363
ADVANCED MASSAGE INSTITUTE OF COCOA BEACH,163 NORTH BREVARD AVENUE ,COCOA BEACH ,32931,BREVARD,"-80.61071300,28.32135982",17R NM 38161 32863,,,PRIVATE SCHOOL,-8973543.524153883,3289550.6588832024
MELBOURNE CENTRAL CATHOLIC HIGH SCHOOL,100 E FLORIDA AVE,MELBOURNE,32935,BREVARD,"-80.61970127,28.05782356",17R NM 37372 03666,,,PRIVATE SCHOOL,-8974544.093198417,3256265.975031157
NEW MILLENNIUM ACADEMY,1126 RUBY SE ,PALM BAY ,32909,BREVARD,"-80.64095929,27.95498986",17R NL 35316 92268,,,PRIVATE SCHOOL,-8976910.524714233,3243300.2250653203
HERITAGE CHRISTIAN SCHOOL,891 COPLY ST SE ,PALM BAY,32909,BREVARD,"-80.64603261,27.99435469",17R NL 34804 96627,,,PRIVATE SCHOOL,-8977475.284908239,3248262.0636975067
ST TERESA CATHOLIC SCHOOL,207 OJIBWAY AVE,TITUSVILLE,32780,BREVARD,"-80.80255929,28.58120914",17R NM 19307 61604,,,PRIVATE SCHOOL,-8994899.754819192,3322450.5596038597
BREVARD CHRISTIAN LEARNING CENTER,966 N COCOA BLVD,"COCOA, FL 32922",32922,BREVARD,"-80.73626510,28.37447399",17R NM 25840 38714,,,PRIVATE SCHOOL,-8987519.919953877,3296268.955435364
CHRISTIAN EDUCATORS ACADEMY,601 SHOREWOOD DRIVE ,CAPE CANAVERAL ,32920,BREVARD,"-80.59547566,28.40196412",17R NM 39625 41797,,,PRIVATE SCHOOL,-8971847.311226215,3299747.4440641557
POWER TO SOAR CHRISTIAN LIFE TRAINING,1727 AVOCADO AVE ,MELBOURNE ,32935,BREVARD,"-80.63160744,28.13512935",17R NM 36176 12226,,,PRIVATE SCHOOL,-8975869.48194538,3266021.216129239
RFM CHRISTIAN ACADEMY,1404 DIXON BLVD,COCOA,32922,BREVARD,"-80.75168527,28.37392657",17R NM 24330 38650,,,PRIVATE SCHOOL,-8989236.484652437,3296199.696494889
ST MARY'S CATHOLIC SCHOOL,1152 SEMINOLE DR,ROCKLEDGE,32955,BREVARD,"-80.72118042,28.33198430",17R NM 27329 34010,,,PRIVATE SCHOOL,-8985840.700412497,3290894.2571758926
ESPECIALLY FOR CHILDREN - EAU GALLIE,455 E EAU GALLIE BOULEVARD ,SATELLITE BEACH ,32937,BREVARD,"-80.59318465,28.13821940",17R NM 39948 12580,,,PRIVATE SCHOOL,-8971592.276740337,3266411.295874016
SANCTA FAMILIA ACADEMY,1204 N HARBOR CITY BLVD,MELBOURNE,32935,BREVARD,"-80.63065660,28.12662874",17R NM 36272 11284,,,PRIVATE SCHOOL,-8975763.635078749,3264948.177633158
CREATIVE LEARNING CENTER & SCHOOL,823 N COCOA BLVD,COCOA,32922,BREVARD,"-80.73570459,28.36828552",17R NM 25897 38028,,,PRIVATE SCHOOL,-8987457.52393624,3295486.0159696448
ALPHA ACADEMY,3700 N COURTENAY PARKWAY STE 102,MERRITT ISLAND,32953,BREVARD,"-80.70674232,28.42392835",17R NM 28720 44199,,,PRIVATE SCHOOL,-8984233.458639195,3302527.3565804046
DIAMOND COMMUNITY SCHOOL,2575 DOREATHA FIELDS AVE NE ,PALM BAY ,32905,BREVARD,"-80.59601283,28.05336304",17R NM 39701 03179,,,PRIVATE SCHOOL,-8971907.107943516,3255703.315411691
COMMUNITY CHURCH OF GOD SCHOOL,451 AUDUBON DR ,MELBOURNE ,32901,BREVARD,"-80.61439486,28.10012300",17R NM 37878 08353,,,PRIVATE SCHOOL,-8973953.386748958,3261602.8833863265
WADE CHRISTIAN ACADEMY,4300 N WICKHAM RD,MELBOURNE,32940,BREVARD,"-80.67311485,28.18019211",17R NM 32086 17206,,,PRIVATE SCHOOL,-8980490.0654614,3271710.945244256
SCOTTSMOOR CHRISTIAN ACADEMY,5830 VERMONT ST ,MIMS ,32754,BREVARD,"-80.87777823,28.76198669",17R NM 11931 81622,,,PRIVATE SCHOOL,-9003273.089476058,3345387.0113472086
BREVARD PRIVATE ACADEMY,508C S PLUMOSA ST,MERRITT ISLAND,32953,BREVARD,"-80.69181107,28.34967556",17R NM 30203 35977,,,PRIVATE SCHOOL,-8982571.319797214,3293131.8378775353
INSTITUTE OF LEGAL AND MEDICAL  PROFESSIONS,1600 SARNO RD ,MELBOURNE ,32935,BREVARD,"-80.64559750,28.12259605",17R NM 34806 10833,,,PRIVATE SCHOOL,-8977426.848551035,3264439.1574254646
BREVARD LEARNING CLINIC,1900 S HARBOR CITY BLVD STE 231,MELBOURNE ,32901,BREVARD,"-80.60338912,28.07904384",17R NM 38967 06021,,,PRIVATE SCHOOL,-8972728.233353663,3258943.069407916
FLORIDA AIR ACADEMY,1950 S ACADEMY DR,MELBOURNE,32901,BREVARD,"-80.62870114,28.07948677",17R NM 36480 06063,,,PRIVATE SCHOOL,-8975545.954390133,3258998.954023861
ST JOSEPH CATHOLIC SCHOOL,5320 BABCOCK ST NE,PALM BAY,32905,BREVARD,"-80.62430488,28.01550969",17R NL 36934 98977,,,PRIVATE SCHOOL,-8975056.564259175,3250929.347850542
HOLY FAMILY SCHOOL/WAVECREST ACADEMY,1244 WATER ST,MELBOURNE,32935,BREVARD,"-80.62769924,28.12734669",17R NM 36562 11365,,,PRIVATE SCHOOL,-8975434.423144234,3265038.8010677462
ICDRC SCHOOL 1,2508 COUNTRY CLUB RD,MELBOURNE,32901,BREVARD,"-80.62452778,28.07051878",17R NM 36893 05071,,,PRIVATE SCHOOL,-8975081.378469825,3257867.5069281943
PALM BAY ACADEMY CHARTER MIDDLE SCHOOL,635 COMMUNITY COLLEGE PKWY,PALM BAY,32909,BREVARD,"-80.62414044,27.98460079",17R NL 36960 95553,,,PRIVATE SCHOOL,-8975038.25890574,3247032.440451794
COCOA BEACH CHRISTIAN SCHOOL,830 S ATLANTIC AVE,COCOA,32931,BREVARD,"-80.60901763,28.30356553",17R NM 38334 30892,,,PRIVATE SCHOOL,-8973354.796426497,3287300.647664359
ROMAR HAIRSTYLING ACADEMY INC,2214 SARNO RD,MELBOURNE ,32935,BREVARD,"-80.65823202,28.12252792",17R NM 33565 10822,,,PRIVATE SCHOOL,-8978833.316926226,3264430.5585861327
ECHO ACADEMY,4245 WOODHAVEN DRIVE ,MELBOURNE ,32935,BREVARD,"-80.66595451,28.17589599",17R NM 32790 16732,,,PRIVATE SCHOOL,-8979692.980737021,3271168.4044642923
ATLANTIC INCLUSIVE ACADEMY,867 N COURTNAY PARKWAY ,MERRITT ISLAND ,32953,BREVARD,"-80.70081193,28.37184021",17R NM 29315 38430,,,PRIVATE SCHOOL,-8983573.290521428,3295935.7355435938
SCULPTOR CHARTER SCHOOL,1301 ARMSTRONG DR,TITUSVILLE,32780,BREVARD,"-80.81515026,28.51933403",17R NM 18087 54747,,,PRIVATE SCHOOL,-8996301.375302242,3314609.120037325
"FACES, ATLANTIC INCLUSIVE ACADEMY",5525 N COURTENAY PKWY,MERRITT ISLAND,32953,BREVARD,"-80.70994026,28.45722956",17R NM 28398 47887,,,PRIVATE SCHOOL,-8984589.45133601,3306743.2382342224
ROCKLEDGE CHRISTIAN SCHOOL,2175 S FISKE BLVD,ROCKLEDGE,32955,BREVARD,"-80.74432730,28.32482386",17R NM 25062 33212,,,PRIVATE SCHOOL,-8988417.399478303,3289988.71472063
COURTENAY CHRISTIAN SCHOOL,6250 N COURTENAY PARKWAY ,MERRITT ISLAND ,32953,BREVARD,"-80.70841338,28.47242405",17R NM 28543 49571,,,PRIVATE SCHOOL,-8984419.48001909,3308667.2787965215
RISING STARS ACADEMY,2155 SARNO RD ,MELBOURNE ,32935,BREVARD,"-80.65656954,28.12135585",17R NM 33729 10693,,,PRIVATE SCHOOL,-8978648.250084152,3264282.6194188343
WEST MELBOURNE CHRISTIAN ACADEMY,3200 MILWAUKEE AVE,WEST MELBOURNE,32904,BREVARD,"-80.67508637,28.06871532",17R NM 31926 04856,,,PRIVATE SCHOOL,-8980709.534062695,3257639.9853792945
HAN TANG SCHOOL OF ACUPUNCTURE AND ORIENTAL,120 VENETIAN WAY ,MERRITT ISLAND ,32953,BREVARD,"-80.70647004,28.40291013",17R NM 28752 41871,,,PRIVATE SCHOOL,-8984203.148419643,3299867.1648756694
VICTORY CHRISTIAN ACADEMY,100 EMERSON DRIVE ,PALM BAY ,32907,BREVARD,"-80.71771605,28.03136214",17R NM 27746 00708,,,PRIVATE SCHOOL,-8985455.04829611,3252928.413424876
PALM BAY ACADEMY CHARTER LANGUAGE IMMERSION,1464 TROUTMAN BLVD..,PALM BAY,32905,BREVARD,"-80.60377774,28.03330804",17R NM 38945 00955,,,PRIVATE SCHOOL,-8972771.493590161,3253173.82117151
RFM CHRISIAN HOMESCHOOL ACADEMY,777 S APOLLO BLVD,MELBOURNE,32901,BREVARD,"-80.61833012,28.09629654",17R NM 37493 07928,,,PRIVATE SCHOOL,-8974391.45805793,3261120.013924265
INCREDIBLE HORIZONS ACADEMY ii,658 NORTH WICKHAM ROAD ,MELBOURNE ,32935,BREVARD,"-80.67354488,28.11718619",17R NM 32063 10226,,,PRIVATE SCHOOL,-8980537.936113432,3263756.3371333606
RHEMA CHRISTIAN SCHOOL,2510 GRANT ST,MELBOURNE,32901,BREVARD,"-80.60939458,28.07108561",17R NM 38380 05138,,,PRIVATE SCHOOL,-8973396.757770367,3257939.01844453
OUR SAVIORS CATHOLIC SCHOOL,5301 N ATLANTIC AVE,COCOA BEACH,32931,BREVARD,"-80.60769565,28.36672436",17R NM 38441 37889,,,PRIVATE SCHOOL,-8973207.633741004,3295288.5124200825
FREEDOM CHRISTIAN SCHOOL OF BREVARD,4711 SPANKS ST ,MIMS ,32754,BREVARD,"-80.89412816,28.72452971",17R NM 10339 77471,,,PRIVATE SCHOOL,-9005093.155185133,3340631.3418967593
ATLANTIC INCLUSIVE ACADEMY,825 FORREST AVE,COCOA,32922,BREVARD,"-80.73352021,28.36592061",17R NM 26111 37767,,,PRIVATE SCHOOL,-8987214.36004363,3295186.8298482276
TEMPLE CHRISTIAN SCHOOLS,1400 N US HWY 1 ,TITUSVILLE,32780,BREVARD,"-80.82997059,28.63414648",17R NM 16618 67465,,,PRIVATE SCHOOL,-8997951.167045353,3329162.978344632
ASCENSION CATHOLIC SCHOOL,2950 N HARBOR CITY BLVD,MELBOURNE,32935,BREVARD,"-80.64182537,28.15570702",17R NM 35166 14502,,,PRIVATE SCHOOL,-8977006.936879853,3268619.1035320903
BREVARD COUNTY INDEPENDENT PRIVATE SCHOOL,202 RIVER HEIGHTS DRIVE ,COCOA ,32922,BREVARD,"-80.74975466,28.39742973",17R NM 24513 41254,,,PRIVATE SCHOOL,-8989021.570593705,3299173.6192477387
FAITH CHRISTIAN SCHOOL, 4510 NORTH US 1 ,MIMS ,32754,BREVARD,"-80.86475170,28.72439650",17R NM 13207 77459,,,PRIVATE SCHOOL,-9001822.981853984,3340614.4316212125
FRIENDSHIP CHRISTIAN ACADEMY,385 S BURNETT RD,COCOA,32926,BREVARD,"-80.78166667,28.34935511",17R NM 21397 35922,,,PRIVATE SCHOOL,-8992573.999297759,3293091.3040581113
DIVINE MERCY CATHOLIC SCHOOL,1940 NORTH COURTENAY PARKWAY ,MERRITT ISLAND ,32953,BREVARD,"-80.70317013,28.39192615",17R NM 29078 40655,,,PRIVATE SCHOOL,-8983835.804390593,3298477.1760773486
BEREA BAPTIST CHURCH DAY SCHOOL,3950 DAIRY ROAD ,MELBOURNE ,32904,BREVARD,"-80.63918901,28.05021687",17R NM 35459 02817,,,PRIVATE SCHOOL,-8976713.459021444,3255306.464308373
SUNTREE MONTESSORI SCHOOL,2990 BUSINESS CENTER BLVD,MELBOURNE,32940,BREVARD,"-80.67153316,28.19449633",17R NM 32237 18791,,,PRIVATE SCHOOL,-8980313.992574718,3273517.530840428
DEVEREUX SCHOOL,8000 DEVEREUX DR,VIERA,32940,BREVARD,"-80.70819754,28.23417908",17R NM 28628 23178,,,PRIVATE SCHOOL,-8984395.45312157,3278530.6240379796
KEYSTONE ACADEMY,724 S PATRICK DRIVE ,SATELLITE BEACH ,32937,BREVARD,"-80.60678144,28.19437677",17R NM 38592 18797,,,PRIVATE SCHOOL,-8973105.863846201,3273502.4302300503
A+ ACADEMY FOR READING,1855 LANSING ST,MELBOURNE,32935,BREVARD,"-80.66241778,28.13743567",17R NM 33149 12473,,,PRIVATE SCHOOL,-8979299.27377486,3266312.358992005
CHRISTIAN HERITAGE ACADEMY,817 DIXON BLVD,COCOA,32922,BREVARD,"-80.74045749,28.37495721",17R NM 25430 38766,,,PRIVATE SCHOOL,-8987986.614069592,3296330.0932195163
FLORIDA LEARNING ACADEMY PRIVATE SCHOOL,5993 COKER AVENUE ,COCOA ,32927,BREVARD,"-80.81151762,28.46384653",17R NM 18452 48601,,,PRIVATE SCHOOL,-8995896.991648931,3307581.0943887117
