Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
FLORIDA'S SOUTHERN GULF COAST RED CROSS CHAPTER,"2516 COLONIAL BLVD, STE 201",FORT MYERS,33907,LEE,"-81.86135740,26.59643818",17R MK 14235 42026,,014524P2000610010,RELIEF AGENCY,-9112764.621253863,3073141.8762418823
BELLE GLADE RED CROSS SERVICE CENTER,149 SE AVE D,BELLE GLADE,33430,PALM BEACH,"-80.66551054,26.68344894",17R NK 33278 51418,,,RELIEF AGENCY,-8979643.558296286,3083978.2392043057
FLORIDA COAST TO COAST RED CROSS CHAPTER,341 WHITE ST,DAYTONA BEACH,32114,VOLUSIA,"-81.04810533,29.20664964",17R MN 95323 30881,,,RELIEF AGENCY,-9022233.815289019,3401974.2876691413
WEST PALM BEACH WAREHOUSE (ARC),7656 BYRON DR. UNIT 2,RIVIERA BEACH,33404,PALM BEACH,"-80.09795489,26.78911659",17R NK 89665 63396,,,RELIEF AGENCY,-8916463.55232032,3097149.2688146094
SALVATION ARMY SHELTER,1400 4TH ST S,SAINT PETERSBURG, ,PINELLAS,"-82.63787465,27.75652041",17R LL 38586 71306,,,RELIEF AGENCY,-9199206.12645642,3218311.1193055934
SALVATION ARMY - HILLSBOROUGH COMMAND,930 E 139TH AVE,TAMPA,33613,HILLSBOROUGH,"-82.45060159,28.07428213",17R LM 57462 06280,,1928061GF000000000080U,RELIEF AGENCY,-9178358.98511876,3258342.298662084
NORTH PINELLAS RED CROSS CHAPTER,2481 SUNSET POINT RD,CLEARWATER,33765,PINELLAS,"-82.73395957,27.98929409",17R LL 29481 97227,,,RELIEF AGENCY,-9209902.2511017,3247624.0856505516
MANATEE COUNTY AMERICAN RED CROSS,10311 MALACHITE DR ,BRADENTON,34211,MANATEE,"-82.43901316,27.44909709",17R LL 57790 37001,,579400359,RELIEF AGENCY,-9177068.966915773,3179693.415324425
BROWARD COUNTY RED CROSS CHAPTER,600 NE 3RD AVE,FORT LAUDERDALE,33313,BROWARD,"-80.14048700,26.13010032",17R NJ 85925 90375,,494134500010,RELIEF AGENCY,-8921198.205063397,3015203.3686879086
SOUTH FLORIDA REGIONAL OFFICE (ARC),9300 NW 41ST ST,MIAMI,33178,MIAMI-DADE,"-80.34921261,25.81019134",17R NJ 65234 54825,COUNTY,3530280010010,RELIEF AGENCY,-8944433.433078997,2975591.2567944755
HIGHLANDS COUNTY RED CROSS SERVICE CENTER,1430 LAKEVIEW DR,SEBRING,33870,HIGHLANDS,"-81.43962042,27.48155317",17R ML 56570 39850,,S20342907011200080,RELIEF AGENCY,-9065817.075840794,3183765.357830106
LABELLE RED CROSS SERVICE CTR,280 S MAIN ST,LABELLE,33935,HENDRY,"-81.43863112,26.75713805",17R MK 56387 59611,MUNICIPAL,2 29 43 02 270 0000-021.0,RELIEF AGENCY,-9065706.946816672,3093161.986300447
UNITED WAY,1445 2ND ST,SARASOTA,34236,SARASOTA,"-82.54152530,27.33830735",17R LL 47506 24849,,2026-14-0058,RELIEF AGENCY,-9188480.565224567,3165802.7374885576
SALVATION ARMY - IMPERIAL POLK COMMAND,2620 KATHLEEN RD,LAKELAND,33810,POLK,"-81.99263924,28.07571031",17R MM 02466 05986,,,RELIEF AGENCY,-9127378.848478936,3258522.485645868
NORTHEAST FLORIDA RED CROSS CHAPTER,751 RIVERSIDE AVE,JACKSONVILLE,32204,DUVAL,"-81.67635532,30.31607939",17R MP 34974 54004,,,RELIEF AGENCY,-9092170.284321139,3544243.949121083
THE SALVATION ARMY WOMEN'S CHILDREN'S SHELTER,625 LAKE DOT CIR,ORLANDO,32801,ORANGE,"-81.38515916,28.55130694",17R MM 62324 58336,,292226160611150,RELIEF AGENCY,-9059754.476278739,3318660.4753142986
ALL FAITHS FOOD BANK,717 CATTLEMEN RD,SARASOTA,34232,SARASOTA,"-82.44813434,27.33011735",17R LL 56736 23830,,0048-01-0014,RELIEF AGENCY,-9178084.331242219,3164776.436446909
GREATER MIAMI & THE KEYS RED CROSS CHAPTER,335 SW 27TH AVE,MIAMI,33135,MIAMI-DADE,"-80.23859984,25.76893543",17R NJ 76349 50315,,,RELIEF AGENCY,-8932120.076567527,2970490.638615884
SALVATION ARMY - MIAMI COMMAND,1907 NW 38TH ST,MIAMI,33412,MIAMI-DADE,"-80.23033200,25.81161101",17R NJ 77150 55046,,,RELIEF AGENCY,-8931199.704012426,2975766.8073234204
ST PETERSBURG BRANCH RED CROSS CHAPTER,818 4TH ST N,SAINT PETERSBURG,33701,PINELLAS,"-82.63876214,27.78074799",17R LL 38535 73991,,,RELIEF AGENCY,-9199304.921230424,3221359.1443688185
NWFL ARC CHAPTER - MILTON OFFICE,5629 BYROM ST,MILTON,32570,SANTA ROSA,"-87.04476861,30.64575927",16R DU 95710 90345,,34-2N-28-2470-01300-0150,RELIEF AGENCY,-9689779.3182147,3586829.1901905737
LAKE/SUMTER COUNTY RED CROSS CHAPTER,1211 W MAIN ST,LEESBURG,34748,LAKE,"-81.88448079,28.81158333",17R MM 13694 87432,,,RELIEF AGENCY,-9115338.705940315,3351686.6024511405
SALVATION ARMY,1701 S TUTTLE AVE,SARASOTA,34239,SARASOTA,"-82.51365861,27.31756791",17R LL 50236 22517,,0055-12-0067,RELIEF AGENCY,-9185378.460329296,3163203.9972349624
SALVATION ARMY - SARASOTA COMMAND,1400 10TH ST,SARASOTA,34236,SARASOTA,"-82.54215474,27.34437254",17R LL 47452 25521,,2026-03-0026,RELIEF AGENCY,-9188550.634951893,3166562.823279553
JACKSONVILLE SALVATION ARMY HOMELESS SHELTER,15 E CHURCH ST,JACKSONVILLE,32204,DUVAL,"-81.65642218,30.33016834",17R MP 36899 55554,,,RELIEF AGENCY,-9089951.336855883,3546060.896748366
AMERICAN RED CROSS - BRADENTON,2905 58TH ST W,BRADENTON, ,MANATEE,"-82.62004454,27.47436463",17R LL 39934 40021,,,RELIEF AGENCY,-9197221.287837734,3182863.3791753594
ST. LUCIE COUNTY RED CROSS CHAPTER,540 NW UNIVERSITY BLVD STE 107,PORT SAINT LUCIE,34986,ST. LUCIE,"-80.40223745,27.32137321",17R NL 59138 22172,,,RELIEF AGENCY,-8950336.131111454,3163680.7800604897
MIAMI DADE HOMELESS ASSISTANCE CENTER,1550 N MIAMI AVE,MIAMI, ,MIAMI-DADE,"-80.19526217,25.78997306",17R NJ 80680 52671,,,RELIEF AGENCY,-8927295.749230731,2973091.3751104064
SALVATION ARMY,1051 ALBEE FARM RD,VENICE,34285,SARASOTA,"-82.43409578,27.10899013",17R LK 57844 99317,,0406-16-0005,RELIEF AGENCY,-9176521.56645384,3137095.237529906
SALVATION ARMY,"1204 14TH ST W
 ",BRADENTON,34205,MANATEE,"-82.57595448,27.48839334",17R LL 44311 41519,,4392400059,RELIEF AGENCY,-9192313.203941774,3184623.678972381
OKEECHOBEE RED CROSS CHAPTER,323 N PARROTT AVE,OKEECHOBEE,34972,OKEECHOBEE,"-80.83033334,27.24655409",17R NL 16796 13755,,3-15-37-35-0010-01230-0010,RELIEF AGENCY,-8997991.547827719,3154309.3389413976
MIAMI WAREHOUSE (ARC),2185 EAST 10TH AVE,HIALEAH,33013,MIAMI-DADE,"-80.26161492,25.84251666",17R NJ 73995 58451,,,RELIEF AGENCY,-8934682.10341954,2979588.995017
SOUTHWEST FLORIDA RED CROSS CHAPTER,2001 CANTU CT,SARASOTA,34232,SARASOTA,"-82.44880994,27.31887230",17R LL 56654 22585,FEDERAL,0049-08-0001,RELIEF AGENCY,-9178159.538769811,3163367.427636004
NEFL ARC CHAPTER - NORTH CENTRAL OFFICE,1425 NW 6TH ST,GAINESVILLE,32601,ALACHUA,"-82.33042151,29.66545985",17R LN 71249 82456,,10072 003 000,RELIEF AGENCY,-9164980.599802697,3460619.901216804
SALVATION ARMY,1445 W BROWARD BLVD,FORT LAUDERDALE,33312,BROWARD,"-80.16073891,26.12236398",17R NJ 83905 89505,,,RELIEF AGENCY,-8923452.636853432,3014244.156395368
MARTIN COUNTY RED CROSS CHAPTER,2750 S KANNER HWY,STUART,34994,MARTIN,"-80.25278783,27.17147633",17R NL 74023 05648,,163841007000001538,RELIEF AGENCY,-8933699.47639304,3144911.833248774
THE SALVATION ARMY MEN'S SHELTER,633 LAKE DOT CIR,ORLANDO,32801,ORANGE,"-81.38526411,28.55192522",17R MM 62314 58404,,292223160011011,RELIEF AGENCY,-9059766.15902523,3318738.8310413416
SALVATION ARMY,740 LAFAYETTE ST N,SAINT PETERSBURG,33713,PINELLAS,"-82.68605971,27.77970448",17R LL 33872 73938,,16 31 15 78585 002 0012,RELIEF AGENCY,-9204570.062964046,3221227.848139993
MID FLORIDA RED CROSS CHAPTER,147 AVENUE A NW,WINTER HAVEN,33881,POLK,"-81.72745603,28.02326970",17R ML 28488 99993,,262829621000012210,RELIEF AGENCY,-9097858.789260883,3251907.883436521
SALVATION ARMY - BREVARD COMMAND,1218 W MAIN ST,TITUSVILLE,32796,BREVARD,"-80.81766009,28.61281766",17R NM 17825 65103,,,RELIEF AGENCY,-8996580.768734653,3326458.0913470644
MEALS ON WHEELS PLUS OF MANATEE INC,811 23RD AVE E,BRADENTON,34208,MANATEE,"-82.55605265,27.47971317",17R LL 46265 40533,,4648100107,RELIEF AGENCY,-9190097.743056364,3183534.478994107
COLLIER COUNTY RED CROSS CHAPTER,2610 NORTHBROOKE PLAZA DR,NAPLES,34119,COLLIER,"-81.74096525,26.27483060",17R MK 26018 06331,,63944000925,RELIEF AGENCY,-9099362.628910938,3033159.9001650545
TAMPA BAY RED CROSS CHAPTER,3310 W MAIN ST,TAMPA,33607,HILLSBOROUGH,"-82.49841031,27.95689332",17R LL 52604 93330,,,RELIEF AGENCY,-9183681.026991086,3243540.109699013
SALVATION ARMY - SARASOTA COMMAND,1400 10TH ST,SARASOTA,34236,SARASOTA,"-82.54215474,27.34437254",17R LL 47452 25521,,2026-03-0026,RELIEF AGENCY,-9188550.634951893,3166562.823279553
SALVATION ARMY - LEE COMMAND,10291 MCGREGOR BLVD,FORT MYERS,33919,LEE,"-81.89188976,26.59222972",17R MK 11191 41581,,,RELIEF AGENCY,-9116163.468194695,3072617.961554593
GREATER ORLANDO RED CROSS CHAPTER,5 N BUMBY AVE,ORLANDO,32803,ORANGE,"-81.35145016,28.54267205",17R MM 65619 57369,,302230813602011,RELIEF AGENCY,-9056002.007414375,3317566.208308967
RENAISSANCE ON 9TH,1816 9TH ST W,BRADENTON,34205,MANATEE,"-82.57216890,27.48306874",17R LL 44677 40924,,4457900001,RELIEF AGENCY,-9191891.795532765,3183955.5305240313
SALVATION ARMY - IMPERIAL POLK COMMAND,2620 KATHLEEN RD,LAKELAND,33810,POLK,"-81.99263924,28.07571031",17R MM 02466 05986,,,RELIEF AGENCY,-9127378.848478936,3258522.485645868
