Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,ADDRESSCITYZIP,x,y
BROOKER COMMUNITY CENTER,17435 TESTONE AVE,BROOKER,32622,BRADFORD,"-82.33547402,29.89024714",17R LP 71049 07372,,00809-0-00000,DISASTER RECOVERY CENTER,"17435 TESTONE AVE BROOKER , FL 32622",-9165543.042149385,3489449.922771291
LAWTEY COMMUNITY CENTER,2783 LAKE ST,LAWTEY,32058,BRADFORD,"-82.07339634,30.04531418",17R LP 96517 24291,MUNICIPAL,01452-0-00100,DISASTER RECOVERY CENTER,"2783 LAKE ST LAWTEY , FL 32058",-9136368.687815383,3509375.8898239355
EAU GALLIE CIVIC CENTER,1551 HIGHLAND AVE,MELBOURNE,32935,BREVARD,"-80.62783086,28.13234216",17R NM 36547 11918,MUNICIPAL,27 371625    3    1,DISASTER RECOVERY CENTER,"1551 HIGHLAND AVE MELBOURNE , FL 32935",-8975449.075367836,3265669.377646153
GRANT STREET COMMUNITY CENTER,2547 GRANT STREET,MELBOURNE,32901,BREVARD,"-80.60822600,28.06968600",17R NM 38495 04983,MUNICIPAL,28 3710FJ   16    3,DISASTER RECOVERY CENTER,"2547 GRANT STREET MELBOURNE , FL 32901",-8973266.672046483,3257762.4440926076
MARTIN ANDERSON SENIOR CENTER,1025 FLORIDA AVE S,ROCKLEDGE,32955,BREVARD,"-80.72647430,28.34433006",17R NM 26807 35376,,,DISASTER RECOVERY CENTER,"1025 FLORIDA AVE S ROCKLEDGE , FL 32955",-8986430.01311467,3292455.702925516
BREVARD-CO AGRICULTURAL CENTER,3695 LAKE DR,COCOA,32926,BREVARD,"-80.78142340,28.35949190",17R NM 21419 37045,,,DISASTER RECOVERY CENTER,"3695 LAKE DR COCOA , FL 32926",-8992546.918418644,3294373.5631659916
LAMPLIGHTER VILLAGE COMMUNITY CENTER,276 LAMPLIGHTER DR,MELBOURNE,32934,BREVARD,"-80.70294268,28.11035043",17R NM 29177 09462,,,DISASTER RECOVERY CENTER,"276 LAMPLIGHTER DR MELBOURNE , FL 32934",-8983810.485046193,3262893.590828825
HARRY T. MOORE SOCIAL SERVICES CENTER,725 S. DELEON AVE,TITUSVILLE,32780,BREVARD,"-80.81398484,28.60697048",17R NM 18185 64456,,,DISASTER RECOVERY CENTER,"725 S. DELEON AVE TITUSVILLE , FL 32780",-8996171.641142843,3325716.6577240303
BAREFOOT BAY COMMUNITY CENTER,937 BAREFOOT BLVD,SEBASTIAN,32976,BREVARD,"-80.52354833,27.88613480",17R NL 46895 84680,,,DISASTER RECOVERY CENTER,"937 BAREFOOT BLVD SEBASTIAN , FL 32976",-8963840.396603856,3234625.563148498
BREVARD-INDIAN HARBOUR BEACH REC CENTER,1233 YACHT CLUB BLVD,INDIAN HARBOUR BEACH,32937,BREVARD,"-80.59567050,28.14404330",17R NM 39701 13225,,,DISASTER RECOVERY CENTER,"1233 YACHT CLUB BLVD INDIAN HARBOUR BEACH , FL 32937",-8971869.000204712,3267146.522052079
BREVARD-CUYLER PARK CENTER,2329 HARRY T MOORE AVE,MIMS,32754,BREVARD,"-80.84025930,28.66026440",17R NM 15609 70357,,,DISASTER RECOVERY CENTER,"2329 HARRY T MOORE AVE MIMS , FL 32754",-8999096.500855403,3332475.959213475
NORTH BREVARD SENIOR CENTER,909 LANE AVE,TITUSVILLE,32780,BREVARD,"-80.82222497,28.60570654",17R NM 17380 64315,COUNTY,22 350400  502,DISASTER RECOVERY CENTER,"909 LANE AVE TITUSVILLE , FL 32780",-8997088.92840404,3325556.3931423198
BREVARD COUNTY AGRICULTURE CENTER (FIXED),3695 LAKE DR,COCOA,32926,BREVARD,"-80.78127400,28.35949162",17R NM 21433 37045,COUNTY,24 353600  2501,DISASTER RECOVERY CENTER,"3695 LAKE DR COCOA , FL 32926",-8992530.287639545,3294373.5274920785
GREATER PALM BAY SENIOR CENTER,1275 CULVER DRIVE NE,PALM BAY,32907,BREVARD,"-80.65957139,28.03027365",17R NM 33462 00602,COUNTY,28 371975    A,DISASTER RECOVERY CENTER,"1275 CULVER DRIVE NE PALM BAY , FL 32907",-8978982.414805492,3252791.1405934645
SOUTH MAINLAND COMMUNITY CENTER,3700 ALLEN AVE,SEBASTIAN,32976,BREVARD,"-80.50109978,27.85933301",17R NL 49117 81720,COUNTY,30 382300  259,DISASTER RECOVERY CENTER,"3700 ALLEN AVE SEBASTIAN , FL 32976",-8961341.435660439,3231250.448566648
NORTH BREVARD SENIOR CENTER,909 LANE AVENUE,TITUSVILLE,32796,BREVARD,"-80.82341100,28.61225400",17R NM 17263 65040,,22 350407    E   15,DISASTER RECOVERY CENTER,"909 LANE AVENUE TITUSVILLE , FL 32796",-8997220.956637125,3326386.6164363287
BREVARD-TONY ROSA COMM CENTER,1502 PORT MALABAR BLVD,NE PALM BAY,32905,BREVARD,"-80.60527820,28.01796100",17R NL 38803 99254,,,DISASTER RECOVERY CENTER,"1502 PORT MALABAR BLVD NE PALM BAY , FL 32905",-8972938.52447915,3251238.449496498
UNIVERSITY PARK PLAZA,3452 S. UNIVERSITY DR.,FORT LAUDERDALE,33328,BROWARD,"-80.25014033,26.07778094",17R NJ 74996 84513,,504121130000,DISASTER RECOVERY CENTER,"3452 S. UNIVERSITY DR. FORT LAUDERDALE , FL 33328",-8933404.757564744,3008717.639841696
CITY OF HOLLYWOOD: FRED LIPPMAN MULTI-PURPOSE CENTER,2030 POLK ST,HOLLYWOOD,33020,BROWARD,"-80.14794932,26.01306273",17R NJ 85263 77408,,514215011860,DISASTER RECOVERY CENTER,"2030 POLK ST HOLLYWOOD , FL 33020",-8922028.906624464,3000698.9086219165
"NOVA SOUTHEASTERN UNIVERSITY, MORRIS AUDITORIUM",3301 COLLEGE AVE,FORT LAUDERDALE,33314,BROWARD,"-80.24408648,26.07795742",17R NJ 75601 84536,,504122060010,DISASTER RECOVERY CENTER,"3301 COLLEGE AVE FORT LAUDERDALE , FL 33314",-8932730.846346984,3008739.5116849574
OLD CITY HALL ANNEX,2ND STREET & ANDREWS AVE.,FORT LAUDERDALE,33301,BROWARD,"-80.14580200,26.12013500",17R NJ 85400 89268,,504210010190,DISASTER RECOVERY CENTER,"2ND STREET & ANDREWS AVE. FORT LAUDERDALE , FL 33301",-8921789.86779832,3013967.8017587257
BROWARD-SOUTH REG LIBRARY,7300 PINES BLVD,PEMBROKE PINES,33024,BROWARD,"-80.23601140,26.00684520",17R NJ 76455 76665,,,DISASTER RECOVERY CENTER,"7300 PINES BLVD PEMBROKE PINES , FL 33024",-8931831.932370529,2999928.7754190736
BROWARD-SOUTH REG FAMILY CENTER,4733 SW 18TH ST,HOLLYWOOD,33023,BROWARD,"-80.19075000,25.99489100",17R NJ 80993 75368,,,DISASTER RECOVERY CENTER,"4733 SW 18TH ST HOLLYWOOD , FL 33023",-8926793.456347056,2998448.18563768
BROWARD-DEERFIELD LIBRARY,837 HILLSBOROUGH BLVD,HILLSBOROUGH,33441,BROWARD,"-80.09246530,26.31875210",17R NK 90579 11302,,,DISASTER RECOVERY CENTER,"837 HILLSBOROUGH BLVD HILLSBOROUGH , FL 33441",-8915852.453569477,3038613.6177885816
BROWARD-CENTRAL FAMILY CENTER,900 NW 31ST AVE,FT LAUDERDALE ,33311,BROWARD,"-80.18598680,26.13478960",17R NJ 81373 90865,,,DISASTER RECOVERY CENTER,"900 NW 31ST AVE FT LAUDERDALE  , FL 33311",-8926263.219320789,3015784.8126875972
BROWARD-NORTHWEST FAMILY CENTER,10077 NW 29TH ST,CORAL SPRINGS,33065,BROWARD,"-80.26086030,26.26769770",17R NK 73804 05540,,,DISASTER RECOVERY CENTER,"10077 NW 29TH ST CORAL SPRINGS , FL 33065",-8934598.099211005,3032274.4053024566
ALTHA COMMUNITY CENTER,15552 NW SMITH ST,ALTHA,32421,CALHOUN,"-85.13079139,30.57216440",16R FU 79253 83676,,,DISASTER RECOVERY CENTER,"15552 NW SMITH ST ALTHA , FL 32421",-9476716.348171186,3577310.3085293835
W.T. NEAL CIVIC CENTER,17773 NE PEAR ST,BLOUNTSTOWN,32424,CALHOUN,"-85.04311412,30.45749179",16R FU 87883 71107,COUNTY,16-1N-08-0000-0008-0204,DISASTER RECOVERY CENTER,"17773 NE PEAR ST BLOUNTSTOWN , FL 32424",-9466956.159503857,3562492.742212231
TRINGALI RECREATION CENTER,3460 NORTH ACCESS ROAD,ENGLEWOOD,34224,CHARLOTTE,"-82.29317250,26.93521771",17R LK 71617 79916,COUNTY,412003433001,DISASTER RECOVERY CENTER,"3460 NORTH ACCESS ROAD ENGLEWOOD , FL 34224",-9160834.058729982,3115380.386964023
CHARLOTTE COUNTY CULTURAL CENTER,2280 AARON ST,PORT CHARLOTTE,33952,CHARLOTTE,"-82.09906325,26.99292471",17R LK 90945 86126,COUNTY,402215334001,DISASTER RECOVERY CENTER,"2280 AARON ST PORT CHARLOTTE , FL 33952",-9139225.915674243,3122587.812578465
SOUTH COUNTY REGIONAL PARK,670 COOPER ST,PUNTA GORDA,33950,CHARLOTTE,"-82.03687254,26.93307534",17R LK 97062 79444,OTHER PUBLIC,412305376001,DISASTER RECOVERY CENTER,"670 COOPER ST PUNTA GORDA , FL 33950",-9132302.877690723,3115112.8820568947
CITRUS COUNTY AUDITORIUM,3610 S FLORIDA AVE,INVERNESS,34450,CITRUS,"-82.31400485,28.80790716",17R LM 71774 87412,COUNTY,20E19S28      42300,DISASTER RECOVERY CENTER,"3610 S FLORIDA AVE INVERNESS , FL 34450",-9163153.104956727,3351219.5643571513
CITRUS SPRINGS COMMUNITY CENTER,1570 W CITRUS SPRINGS BLVD,DUNNELLON,34434,CITRUS,"-82.46026604,28.97095655",17R LN 57722 05646,COUNTY,18E17S26      70000,DISASTER RECOVERY CENTER,"1570 W CITRUS SPRINGS BLVD DUNNELLON , FL 34434",-9179434.82610813,3371949.9731518016
CRYSTAL RIVER MALL PARKING LOT,1801 NW US HWY 19,CRYSTAL RIVER,34428,CITRUS,"-82.60472364,28.91094112",17R LM 43555 99178,,17E18S170300        001A,DISASTER RECOVERY CENTER,"1801 NW US HWY 19 CRYSTAL RIVER , FL 34428",-9195515.77276068,3364315.710679301
WEST CITRUS GOVERNMENT CENTER,1540 N MEADOW CREST BLVD,CRYSTAL RIVER,32628,CITRUS,"-82.53970669,28.88382807",17R LM 49855 96089,,,DISASTER RECOVERY CENTER,"1540 N MEADOW CREST BLVD CRYSTAL RIVER , FL 32628",-9188278.11883546,3360868.243360658
KEYSTONE HEIGHTS LIBRARY,175 ORIOLE ST,KEYSTONE HEIGHTS,32656,CLAY,"-82.02996959,29.78150896",17R MN 00442 95019,,,DISASTER RECOVERY CENTER,"175 ORIOLE ST KEYSTONE HEIGHTS , FL 32656",-9131534.445094062,3475495.66106389
GREEN COVE SPRINGS LIBRARY,403 FERRIS ST,GREEN COVE SPRINGS,32043,CLAY,"-81.67940567,29.99141142",17R MP 34466 18027,,,DISASTER RECOVERY CENTER,"403 FERRIS ST GREEN COVE SPRINGS , FL 32043",-9092509.847214442,3502445.9096430354
KEYSTONE HEIGHTS LIBRARY,175 ORIOLE ST,KEYSTONE HEIGHTS,32656,CLAY,"-82.02996959,29.78150896",17R MN 00442 95019,,,DISASTER RECOVERY CENTER,"175 ORIOLE ST KEYSTONE HEIGHTS , FL 32656",-9131534.445094062,3475495.66106389
GREEN COVE SPRINGS LIBRARY,403 FERRIS ST,GREEN COVE SPRINGS,32043,CLAY,"-81.67940567,29.99141142",17R MP 34466 18027,,,DISASTER RECOVERY CENTER,"403 FERRIS ST GREEN COVE SPRINGS , FL 32043",-9092509.847214442,3502445.9096430354
ORANGE PARK LIBRARY,2054 PLAINFIELD AVE,ORANGE PARK,32073,CLAY,"-81.70690807,30.16443577",17R MP 31932 37217,,,DISASTER RECOVERY CENTER,"2054 PLAINFIELD AVE ORANGE PARK , FL 32073",-9095571.401196701,3524704.087617788
ORANGE PARK LIBRARY,2054 PLAINFIELD AVE,ORANGE PARK,32073,CLAY,"-81.70690807,30.16443577",17R MP 31932 37217,,,DISASTER RECOVERY CENTER,"2054 PLAINFIELD AVE ORANGE PARK , FL 32073",-9095571.401196701,3524704.087617788
GREEN COVE SPRINGS LIBRARY,403 FERRIS ST,GREEN COVE SPRINGS,32043,CLAY,"-81.67940567,29.99141142",17R MP 34466 18027,,,DISASTER RECOVERY CENTER,"403 FERRIS ST GREEN COVE SPRINGS , FL 32043",-9092509.847214442,3502445.9096430354
ORANGE PARK LIBRARY,2054 PLAINFIELD AVE,ORANGE PARK,32073,CLAY,"-81.70690807,30.16443577",17R MP 31932 37217,,,DISASTER RECOVERY CENTER,"2054 PLAINFIELD AVE ORANGE PARK , FL 32073",-9095571.401196701,3524704.087617788
MIDDLEBURG CIVIC ASSOCIATION,2012 PALMETTO ST,MIDDLEBURG,32068,CLAY,"-81.86242051,30.07100294",17R MP 16879 26966,,,DISASTER RECOVERY CENTER,"2012 PALMETTO ST MIDDLEBURG , FL 32068",-9112882.965950588,3512679.8785792524
KEYSTONE HEIGHTS LIBRARY,175 ORIOLE ST,KEYSTONE HEIGHTS,32656,CLAY,"-82.02996959,29.78150896",17R MN 00442 95019,,,DISASTER RECOVERY CENTER,"175 ORIOLE ST KEYSTONE HEIGHTS , FL 32656",-9131534.445094062,3475495.66106389
WILLIAM BEAM SENIOR CENTER,100 COMMERCIAL CIR,KEYSTONE HEIGHTS,32656,CLAY,"-82.02874410,29.78600093",17R MN 00565 95516,,20-08-23-002170-001-14,DISASTER RECOVERY CENTER,"100 COMMERCIAL CIR KEYSTONE HEIGHTS , FL 32656",-9131398.023307376,3476071.8105622265
MIDDLEBURG CLAY-HILL LIBRARY,2245 ASTER AVE,MIDDLEBURG,32068,CLAY,"-81.88125983,30.06250819",17R MP 15056 26039,COUNTY,09-05-24-005953-840-00,DISASTER RECOVERY CENTER,"2245 ASTER AVE MIDDLEBURG , FL 32068",-9114980.149697378,3511587.2216894585
ORANGE PARK SENIOR CENTER,414 STOWE AVE,ORANGE PARK,32073,CLAY,"-81.70360983,30.16386139",17R MP 32249 37151,COUNTY,41-04-26-018923-000-00,DISASTER RECOVERY CENTER,"414 STOWE AVE ORANGE PARK , FL 32073",-9095204.242200784,3524630.134761258
FLEMING ISLAND LIBRARY,1895 TOWN CENTER BLVD,ORANGE PARK,32003,CLAY,"-81.71056493,30.09272928",17R MP 31530 29273,COUNTY,05-05-26-014190-000-01,DISASTER RECOVERY CENTER,"1895 TOWN CENTER BLVD ORANGE PARK , FL 32003",-9095978.480216127,3515474.905549554
MIDDLEBURG CLAY-HILL LIBRARY,2245 ASTER AVE,MIDDLEBURG,32068,CLAY,"-81.88125983,30.06250819",17R MP 15056 26039,COUNTY,09-05-24-005953-840-00,DISASTER RECOVERY CENTER,"2245 ASTER AVE MIDDLEBURG , FL 32068",-9114980.149697378,3511587.2216894585
CLAY COUNTY SENIOR CENTER,604 WALNUT ST,GREEN COVE SPRINGS,32043,CLAY,"-81.68164921,29.99319461",17R MP 34251 18226,COUNTY,38-06-26-017342-000-00,DISASTER RECOVERY CENTER,"604 WALNUT ST GREEN COVE SPRINGS , FL 32043",-9092759.597254526,3502675.103722604
WEIGEL SENIOR CENTER,3916 SECTION ST,MIDDLEBURG,32068,CLAY,"-81.86302196,30.07091227",17R MP 16821 26956,COUNTY,11-05-24-006102-000-00,DISASTER RECOVERY CENTER,"3916 SECTION ST MIDDLEBURG , FL 32068",-9112949.919074653,3512668.2155286726
MIDDLEBURG CLAY-HILL LIBRARY,2245 ASTER AVE,MIDDLEBURG,32068,CLAY,"-81.88125983,30.06250819",17R MP 15056 26039,COUNTY,09-05-24-005953-840-00,DISASTER RECOVERY CENTER,"2245 ASTER AVE MIDDLEBURG , FL 32068",-9114980.149697378,3511587.2216894585
IMMOKALEE CAREER & SERVICE CENTER OF COLLIER COUNTY,750 5TH ST,IMMOKALEE,34142,COLLIER,"-81.42065711,26.40688343",17R MK 58047 20813,COUNTY, ,DISASTER RECOVERY CENTER,"750 5TH ST IMMOKALEE , FL 34142",-9063706.090051454,3049563.0991863483
NAPLES LIBRARY,650 CENTRAL AVENUE,NAPLES,34102,COLLIER,"-81.79902700,26.14823300",17R MJ 20134 92345,,14038560003,DISASTER RECOVERY CENTER,"650 CENTRAL AVENUE NAPLES , FL 34102",-9105826.033011438,3017451.848554204
EVERGLADES CITY COMMUNITY CENTER,201 BUCKNER AVENUE N,OCHOPEE,34141,COLLIER,"-81.38420204,25.85898200",17R MJ 61503 60123,COUNTY, ,DISASTER RECOVERY CENTER,"201 BUCKNER AVENUE N OCHOPEE , FL 34141",-9059647.929359917,2981625.71683279
COLLIER-GOODLAND/MARGOOD, , , ,COLLIER,"-81.64490700,25.92519900",17R MJ 35417 67559,,,DISASTER RECOVERY CENTER,"    , FL  ",-9088669.473093802,2989819.464955904
COLLIER-CIVIC CENTER, , , ,COLLIER,"-81.42054100,26.41896910",17R MK 58063 22151,,,DISASTER RECOVERY CENTER,"    , FL  ",-9063693.16422285,3051065.279952603
COLLIER-EVERGLADES CITY FS#60, , , ,COLLIER,"-81.38421990,25.85857520",17R MJ 61502 60078,,,DISASTER RECOVERY CENTER,"    , FL  ",-9059649.917872733,2981575.3938669837
COLUMBIA COUNTY FAIRGROUNDS,438 SW STATE ROAD 247,LAKE CITY,32025,COLUMBIA,"-82.67206910,30.17624251",17R LP 39007 39495,,30-4S-16-03238-002,DISASTER RECOVERY CENTER,"438 SW STATE ROAD 247 LAKE CITY , FL 32025",-9203012.63530865,3526224.350881379
K-MART/FOOD LION PLAZA,2205 W. US HWY. 90,LAKE CITY,32055,COLUMBIA,"-82.66823193,30.18032592",17R LP 39383 39942,,,DISASTER RECOVERY CENTER,"2205 W. US HWY. 90 LAKE CITY , FL 32055",-9202585.483257793,3526750.1827028673
WEST FIELD SHOPPING CENTER,484 SW COMMERCE DR,LAKE CITY,32025,COLUMBIA,"-82.68464814,30.17490253",17R LP 37793 39365,,02-4S-16-02714-011,DISASTER RECOVERY CENTER,"484 SW COMMERCE DR LAKE CITY , FL 32025",-9204412.92735255,3526051.8022130155
FORT WHITE COMMUNITY CENTER,17575 SW STATE ROAD 47,LAKE CITY,32024,COLUMBIA,"-82.71312797,29.93389047",17R LP 34650 12693,COUNTY,34-6S-16-04063-001,DISASTER RECOVERY CENTER,"17575 SW STATE ROAD 47 LAKE CITY , FL 32024",-9207583.287833327,3495054.9069761788
DESOTO COUNTY FAMILY SERVICE CENTER,310 W WHIDDEN ST,ARCADIA,34266,DESOTO,"-81.86276819,27.22042984",17R ML 14565 11144,COUNTY,25-37-24-0106-0000-0010,DISASTER RECOVERY CENTER,"310 W WHIDDEN ST ARCADIA , FL 34266",-9112921.669475961,3151038.6405504295
DESOTO CO.FAIRGROUNDS WAREHOUSE,120 HEARD ST.,ARCADIA,34266,DESOTO,"-81.86102386,27.20692855",17R ML 14728 09647,,36-37-24-0014-00C0-0170,DISASTER RECOVERY CENTER,"120 HEARD ST. ARCADIA , FL 34266",-9112727.492195731,3149348.609804391
DUVAL-PABLO CREEK LIBRARY,13295 BEACH BLVD,JACKSONVILLE,32246,DUVAL,"-81.47327790,30.28903900",17R MP 54486 50908,,,DISASTER RECOVERY CENTER,"13295 BEACH BLVD JACKSONVILLE , FL 32246",-9069563.809080347,3540757.480650062
DUVAL-BIBLIOTECA,303 N LAURA ST,JACKSONVILLE ,32202,DUVAL,"-81.65841450,30.32896320",17R MP 36707 55421,,,DISASTER RECOVERY CENTER,"303 N LAURA ST JACKSONVILLE  , FL 32202",-9090173.121142058,3545905.4685175023
PRIME F. OSBORN III CONVENTION CENTER,1000 WATER ST,JACKSONVILLE,32204,DUVAL,"-81.67255559,30.32769200",17R MP 35347 55288,,,DISASTER RECOVERY CENTER,"1000 WATER ST JACKSONVILLE , FL 32204",-9091747.299771536,3545741.522657018
DUVAL-SAN MARCO LIBRARY,1513 LASALLE ST,JACKSONVILLE,32207,DUVAL,"-81.65410080,30.30914460",17R MP 37109 53223,,,DISASTER RECOVERY CENTER,"1513 LASALLE ST JACKSONVILLE , FL 32207",-9089692.922219582,3543349.715969838
DUVAL-HIGHLANDS REG LIBRARY,1826 DUNN AVE,JACKSONVILLE,32218,DUVAL,"-81.67602020,30.43426830",17R MP 35084 67101,,,DISASTER RECOVERY CENTER,"1826 DUNN AVE JACKSONVILLE , FL 32218",-9092132.978666864,3559494.0150724147
MARY LENA GIBBS GYMNASIUM AND CENTER (PRIMARY),6974 WILSON BLVD,JACKSONVILLE,32210,DUVAL,"-81.75942291,30.26924236",17R MP 26952 48864,COUNTY,0122230000R,DISASTER RECOVERY CENTER,"6974 WILSON BLVD JACKSONVILLE , FL 32210",-9101417.326143742,3538205.599286214
ROBERT F. KENNEDY COMMUNITY CENTER,1133 IONIA ST,JACKSONVILLE,32206,DUVAL,"-81.64683644,30.33660345",17R MP 37825 56261,COUNTY,0726790000R,DISASTER RECOVERY CENTER,"1133 IONIA ST JACKSONVILLE , FL 32206",-9088884.257514812,3546890.8726516534
BURNETT CENTER AND PLAYGROUND (PRIMARY),3740 BURNETT PARK RD,JACKSONVILLE,32257,DUVAL,"-81.61633885,30.17677481",17R MP 40660 38534,COUNTY,1557410000R,DISASTER RECOVERY CENTER,"3740 BURNETT PARK RD JACKSONVILLE , FL 32257",-9085489.281166282,3526292.8948629247
EMMETT REED GYMNASIUM AND RECREATION COMPLEX (PRIMARY),1093 W 6TH ST,JACKSONVILLE,32209,DUVAL,"-81.67086845,30.34484998",17R MP 35520 57189,COUNTY,0528840000R,DISASTER RECOVERY CENTER,"1093 W 6TH ST JACKSONVILLE , FL 32209",-9091559.48905395,3547954.5573409535
JOHNNY WALKER COMMUNITY CENTER,2500 W  20TH ST,JACKSONVILLE,32209,DUVAL,"-81.70214892,30.35564158",17R MP 32521 58403,COUNTY,0479650005R,DISASTER RECOVERY CENTER,"2500 W  20TH ST JACKSONVILLE , FL 32209",-9095041.614757817,3549346.6561709857
