Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
BREVARD CO FIRE RESCUE ST 83 EMS,5148 MINTON ROAD,PALM BAY,32907,BREVARD,"-80.67219673,28.03054178",17R NM 32221 00628,COUNTY,28 3624KR 2472   33,EMERGENCY MEDICAL SERVICE,-8980387.860637898,3252824.955627841
BREVARD CO FIRE RESCUE ST 64 EMS,2550 S STATE ROAD A1A,MELBOURNE BEACH,32951,BREVARD,"-80.54768705,28.04587920",17R NM 44453 02367,COUNTY,28 381700  250,EMERGENCY MEDICAL SERVICE,-8966527.507514896,3254759.3396018893
BREVARD CO FIRE RESCUE ST 88 EMS,175 MEDPLEX PKWY,PALM BAY,32907,BREVARD,"-80.61231258,28.00114587",17R NL 38118 97389,COUNTY,28 373400  754,EMERGENCY MEDICAL SERVICE,-8973721.587795205,3249118.2580648707
BREVARD CO FIRE RESCUE ST 41 EMS,300 ALMA BLVD,MERRITT ISLAND,32953,BREVARD,"-80.70720152,28.38392034",17R NM 28686 39767,COUNTY,24 362300  251,EMERGENCY MEDICAL SERVICE,-8984284.576160002,3297464.155972437
BREVARD CO FIRE RESCUE ST 24 EMS,2280 COLUMBIA BLVD,TITUSVILLE,32780,BREVARD,"-80.82962485,28.54225220",17R NM 16667 57284,COUNTY,22 353300  254,EMERGENCY MEDICAL SERVICE,-8997912.679556645,3317513.0053719007
BREVARD CO FIRE RESCUE ST 62 EMS,299 SEA PARK BLVD,SATELLITE BEACH,32937,BREVARD,"-80.60332493,28.20381377",17R NM 38928 19843,COUNTY,26 372300  501,EMERGENCY MEDICAL SERVICE,-8972721.087395031,3274694.4289269326
BREVARD CO FIRE RESCUE ST 45 EMS,113 LONGWOOD AVE,ROCKLEDGE,32955,BREVARD,"-80.72329770,28.33431213",17R NM 27121 34267,COUNTY,25 360478    3    6,EMERGENCY MEDICAL SERVICE,-8986076.394666275,3291188.658933747
BREVARD CO FIRE RESCUE ST 66 EMS,1695 AURORA RD,MELBOURNE,32935,BREVARD,"-80.64865297,28.13564493",17R NM 34502 12278,COUNTY,27 371700  500,EMERGENCY MEDICAL SERVICE,-8977766.9818889,3266086.3003413486
BREVARD CO FIRE RESCUE ST 84 EMS,1391 CLEARMONT ST NE,PALM BAY,32905,BREVARD,"-80.60507957,28.03128164",17R NM 38818 00730,COUNTY,28 3723FN    5    1,EMERGENCY MEDICAL SERVICE,-8972916.4132002,3252918.261444044
BREVARD CO FIRE RESCUE ST 81 EMS,4630 LAKE WASHINGTON RD,MELBOURNE,32934,BREVARD,"-80.70290258,28.14667906",17R NM 29171 13486,COUNTY,27 361100  530,EMERGENCY MEDICAL SERVICE,-8983806.020915225,3267479.280848817
BREVARD CO FIRE RESCUE ST 22 EMS,2475 TAYLOR ST,MIMS,32754,BREVARD,"-80.84568104,28.66614879",17R NM 15078 71008,COUNTY,21 351751        18,EMERGENCY MEDICAL SERVICE,-8999700.046444857,3333222.4911268773
COASTAL HEALTH SYSTEM - BREVARD AMBULANCE,486 GUS HIPP BLVD,ROCKLEDGE,32955,BREVARD,"-80.71731031,28.30457447",17R NM 27716 30974,OTHER PUBLIC,25 361500  524,EMERGENCY MEDICAL SERVICE,-8985409.881827766,3287428.214486385
PALM BAY FD ST 2 EMS,150 MALABAR RD SE,PALM BAY,32909,BREVARD,"-80.66914123,27.99874865",17R NL 32531 97107,MUNICIPAL,29 3706GK    A,EMERGENCY MEDICAL SERVICE,-8980047.724364063,3248816.023500342
PALM BAY FD ST 4 EMS,1200 SAN FILIPPO DR SE,PALM BAY,32909,BREVARD,"-80.62856893,27.95195995",17R NL 36536 91936,MUNICIPAL,29 3721GR    D,EMERGENCY MEDICAL SERVICE,-8975531.236684745,3242918.387240068
PALM BAY FD ST 5 EMS,37 SAN FILIPPO DR SE,PALM BAY,32909,BREVARD,"-80.63424827,27.99340539",17R NL 35963 96525,MUNICIPAL,29 3704MZ    R,EMERGENCY MEDICAL SERVICE,-8976163.458182387,3248142.385412607
MELBOURNE FD ST 74 EMS,1500 HICKORY ST,MELBOURNE,32901,BREVARD,"-80.61398004,28.08482653",17R NM 37924 06659,MUNICIPAL,28 3703FG    N    1,EMERGENCY MEDICAL SERVICE,-8973907.20936612,3259672.689588263
BREVARD CO FIRE RESCUE ST 47 EMS,7225 MURRELL RD,MELBOURNE,32940,BREVARD,"-80.71298288,28.23450306",17R NM 28158 23213,COUNTY,26 361000  759,EMERGENCY MEDICAL SERVICE,-8984928.154393313,3278571.5604581763
BREVARD CO FIRE RESCUE ST 26 EMS,6655 CAROLE AVE,COCOA,32927,BREVARD,"-80.78090436,28.47649236",17R NM 21446 50007,COUNTY,23 3513JZ  369    7,EMERGENCY MEDICAL SERVICE,-8992489.138827542,3309182.4855360864
BREVARD CO FIRE RESCUE ST 43 EMS,902 AIRPORT RD,MERRITT ISLAND,32952,BREVARD,"-80.68849312,28.34018082",17R NM 30531 34926,COUNTY,25 360100    4,EMERGENCY MEDICAL SERVICE,-8982201.966971664,3291930.902174973
KSC/CCAFS FIRE RESCUE EMS,BLDG K6-1198 SGS-322,PATRICK AFB,32925,BREVARD,"-80.57844602,28.49186668",17R NM 41258 51763,FEDERAL,,EMERGENCY MEDICAL SERVICE,-8969951.579391813,3311129.653772241
CAPE CANAVERAL FD ST 53 EMS,190 JACKSON AVE,CAPE CANAVERAL,32920,BREVARD,"-80.60442080,28.38749849",17R NM 38754 40192,MUNICIPAL,24 3723CG   25   15,EMERGENCY MEDICAL SERVICE,-8972843.079556122,3297916.910476191
MELBOURNE FD ST 71 EMS,865 W EAU GALLIE BLVD,MELBOURNE,32935,BREVARD,"-80.63267893,28.12862039",17R NM 36073 11504,MUNICIPAL,27 372128        72,EMERGENCY MEDICAL SERVICE,-8975988.75977829,3265199.577228712
BREVARD CO FIRE RESCUE ST 61 EMS,45 S ORLANDO AVE,COCOA BEACH,32931,BREVARD,"-80.60976481,28.31774413",17R NM 38255 32463,MUNICIPAL,25 3714DD   32   22,EMERGENCY MEDICAL SERVICE,-8973437.971165612,3289093.4401600654
PALM BAY FD ST 3 EMS,790 JUPITER BLVD NW,PALM BAY,32907,BREVARD,"-80.69702005,28.02386602",17R NL 29783 99883,MUNICIPAL,28 3626KN 2132    3,EMERGENCY MEDICAL SERVICE,-8983151.180555789,3251983.08151619
SATELLITE BEACH FD ST 55 EMS,1390 S PATRICK DR,SATELLITE BEACH,32937,BREVARD,"-80.60637995,28.17250733",17R NM 38640 16374,MUNICIPAL,26 3734EC        15,EMERGENCY MEDICAL SERVICE,-8973061.171177097,3270740.478165642
TITUSVILLE FD ST 13 EMS,4715 BARNA AVE,TITUSVILLE,32780,BREVARD,"-80.82209050,28.55595503",17R NM 17401 58803,MUNICIPAL,22 352801    3    1,EMERGENCY MEDICAL SERVICE,-8997073.959708478,3319249.5464623636
LAUDERHILL FIRE RESCUE,1900 NW 56TH AVE,FORT LAUDERDALE,33313,BROWARD,"-80.22439493,26.15074756",17R NJ 77522 92609,MUNICIPAL,494126240010,EMERGENCY MEDICAL SERVICE,-8930538.793003356,3017763.6858297354
DEERFIELD BEACH FIRE RESCUE,928 E HILLSBORO BLVD,DEERFIELD BEACH,33441,BROWARD,"-80.09141970,26.31773347",17R NK 90684 11190,MUNICIPAL,484306000050,EMERGENCY MEDICAL SERVICE,-8915736.058226513,3038487.1118449853
DAVIE FIRE RESCUE,6901 SW 45TH ST,FORT LAUDERDALE,33314,BROWARD,"-80.23940273,26.06632124",17R NJ 76077 83250,MUNICIPAL,504127230010,EMERGENCY MEDICAL SERVICE,-8932209.453926627,3007297.43456394
BROWARD SHERIFF OFFICE,10550 STIRLING RD,HOLLYWOOD,33026,BROWARD,"-80.28573982,26.04401555",17R NJ 71455 80753,MUNICIPAL,514106080010,EMERGENCY MEDICAL SERVICE,-8937367.674355498,3004533.479187101
NORTH LAUDERDALE FIRE RESCUE ST 44,7700 HAMPTON BLVD,POMPANO BEACH,33068,BROWARD,"-80.23027632,26.21025488",17R NJ 76895 99196,MUNICIPAL,494102150100,EMERGENCY MEDICAL SERVICE,-8931193.50573707,3025145.301485022
PEMBROKE PINES FIRE/RESCUE,9500 PINES BLVD,HOLLYWOOD,33025,BROWARD,"-80.27167741,26.00777101",17R NJ 72885 76747,MUNICIPAL,514117010030,EMERGENCY MEDICAL SERVICE,-8935802.254667008,3000043.4481249144
TAMARAC FIRE RESC,6000 HIATUS RD,FORT LAUDERDALE,33321,BROWARD,"-80.28756104,26.19935863",17R NJ 71179 97957,MUNICIPAL,494107030010,EMERGENCY MEDICAL SERVICE,-8937570.411490325,3023793.3879752266
MIRAMAR FIRE RESCUE AMBULANCE ST 70,8909 MIRAMAR PKWY,HOLLYWOOD,33025,BROWARD,"-80.26481142,25.98147070",17R NJ 73588 73838,MUNICIPAL,514129010100,EMERGENCY MEDICAL SERVICE,-8935037.93546468,2996786.191336238
CORAL SPRINGS FIRE RESCUE,2801 CORAL SPRINGS DRIVE,POMPANO BEACH,33065,BROWARD,"-80.26527068,26.26533735",17R NK 73365 05276,MUNICIPAL,484121310010,EMERGENCY MEDICAL SERVICE,-8935089.060909893,3031981.397413913
POMPANO BEACH FIRE RESCUE,120 SW 3RD ST,POMPANO BEACH,33060,BROWARD,"-80.12532741,26.22509674",17R NK 87369 00906,MUNICIPAL,494202400010,EMERGENCY MEDICAL SERVICE,-8919510.647305308,3026986.9549369854
HALLANDALE BEACH FIRE RESCUE STATION 7,121 SW 3RD ST,HALLANDALE,33009,BROWARD,"-80.15005321,25.98160155",17R NJ 85075 73922,MUNICIPAL,514227010361,EMERGENCY MEDICAL SERVICE,-8922263.110356946,2996802.3950302806
HALLANDALE FIRE RESCUE ST 60,2801 E HALLANDALE BEACH BLVD,HOLLYWOOD,33019,BROWARD,"-80.11838912,25.98627983",17R NJ 88241 74461,MUNICIPAL,514226010210,EMERGENCY MEDICAL SERVICE,-8918738.279974192,2997381.740352648
NORTH LAUDERDALE FIRE RESCUE ST 34,6151 BAILEY RD,POMPANO BEACH,33068,BROWARD,"-80.20680427,26.20140342",17R NJ 79246 98230,MUNICIPAL,494112160030,EMERGENCY MEDICAL SERVICE,-8928580.609335639,3024047.07884208
SUNRISE FIRE/RESCUE,10770 W OAKLAND PARK BLVD,FORT LAUDERDALE,33351,BROWARD,"-80.29294875,26.16901997",17R NJ 70659 94594,MUNICIPAL,494119020010,EMERGENCY MEDICAL SERVICE,-8938170.168670302,3020029.894395916
HOLLYWOOD FIRE & RESCUE,2741 STIRLING ROAD,FORT LAUDERDALE,33312,BROWARD,"-80.17789980,26.04808584",17R NJ 82242 81268,MUNICIPAL,504232240010,EMERGENCY MEDICAL SERVICE,-8925362.978559837,3005037.799876919
DANIA BEACH FIRE RESCUE,116 W DANIA BEACH BLVD,DANIA BEACH,33004,BROWARD,"-80.14533493,26.05261579",17R NJ 85496 81790,MUNICIPAL,504234620010,EMERGENCY MEDICAL SERVICE,-8921737.873761015,3005599.0949386004
OAKLAND PARK FIRE/RESC,2100 NW 39TH ST,FORT LAUDERDALE,33309,BROWARD,"-80.17130723,26.17379384",17R NJ 82813 95194,MUNICIPAL,494220050010,EMERGENCY MEDICAL SERVICE,-8924629.097132731,3020622.026286069
MARGATE FIRE/RESC,600 N ROCK ISLAND RD,POMPANO BEACH,33063,BROWARD,"-80.22124951,26.23905886",17R NK 77778 02392,MUNICIPAL,484135012670,EMERGENCY MEDICAL SERVICE,-8930188.646736339,3028719.6606900846
PLANTATION FIRE RESCUE HEADQUARTERS,550 NW 65TH AVE,FORT LAUDERDALE,33317,BROWARD,"-80.23632002,26.12860568",17R NJ 76345 90150,MUNICIPAL,504103071390,EMERGENCY MEDICAL SERVICE,-8931866.28808435,3015018.04611846
MIRAMAR FIRE RESCUE AMBULANCE ST 19,6700 MIRAMAR PKWY,HOLLYWOOD,33023,BROWARD,"-80.22074960,25.98162934",17R NJ 77999 73881,MUNICIPAL,514126030010,EMERGENCY MEDICAL SERVICE,-8930132.996283289,2996805.8358179242
HALLANDALE BEACH FIRE RESCUE STATION 90,101 THREE ISLANDS BLVD,HALLANDALE,33009,BROWARD,"-80.12645396,25.98770861",17R NJ 87433 74614,MUNICIPAL,514223120030,EMERGENCY MEDICAL SERVICE,-8919636.054064533,2997558.6819292814
MIRAMAR FIRE RESCUE AMBULANCE ST 100,2800 SW 184TH AVE,HOLLYWOOD,33029,BROWARD,"-80.39279938,25.98234744",17R NJ 60777 73870,MUNICIPAL,513925030020,EMERGENCY MEDICAL SERVICE,-8949285.490846667,2996894.7618857725
BROWARD SHERIFF FIRE RESCUE,3461 NW 43RD AVE,FORT LAUDERDALE,33319,BROWARD,"-80.20657479,26.16927664",17R NJ 79291 94672,MUNICIPAL,494124060010,EMERGENCY MEDICAL SERVICE,-8928555.06416123,3020061.730071142
LIGHTHOUSE POINT FIRE RESCUE,3740 NE 22ND AVE,POMPANO BEACH,33064,BROWARD,"-80.09370416,26.27634896",17R NK 90489 06605,MUNICIPAL,484318020040,EMERGENCY MEDICAL SERVICE,-8915990.362467315,3033348.3994948296
AERO JET INTERNATIONAL,1707 S PERIMETER RD HANGER 33B,FORT LAUDERDALE,33309,BROWARD,"-80.16597462,26.18991968",17R NJ 83334 96984,PRIVATE,494209290220,EMERGENCY MEDICAL SERVICE,-8924035.47319873,3022622.386588748
AMERICAN AMBULANCE SERVICE INC,2570 S PARK RD,HALLANDALE,33009,BROWARD,"-80.17115999,25.98743161",17R NJ 82958 74554,PRIVATE,514229000121,EMERGENCY MEDICAL SERVICE,-8924612.705923159,2997524.3773534405
MEDICS AMB SVC,3200 N ANDREWS AVE,FORT LAUDERDALE,33334,BROWARD,"-80.14615164,26.16761672",17R NJ 85331 94526,PRIVATE,494222030090,EMERGENCY MEDICAL SERVICE,-8921828.78922761,3019855.8461160855
AIR AMBULANCE PROFESSIONALS,1535 S PERIMETER RD HANGER 36B,FORT LAUDERDALE,33309,BROWARD,"-80.16479233,26.18997862",17R NJ 83452 96991,PRIVATE,494209290220,EMERGENCY MEDICAL SERVICE,-8923903.86200725,3022629.6985432515
FLORIDA MEDICAL EMERGENCY CENTER AT DAVIE OFFSITE,10230 W SR 84,DAVIE,33324,BROWARD,,,,,EMERGENCY MEDICAL SERVICE,-8937316.887223324,3012219.4237146713
NATIONAL AIR AMBULANCE,3495 SW 9TH AVE,FORT LAUDERDALE,33315,BROWARD,"-80.15244557,26.08207132",17R NJ 84764 85048,PRIVATE,504222000160,EMERGENCY MEDICAL SERVICE,-8922529.42620566,3009249.3840342676
EMERGYSTAT OF CALHOUN COUNTY,17617 STATE ROAD 20 W,BLOUNTSTOWN,32424,CALHOUN,"-85.09387689,30.43180616",16R FU 83056 68177,PRIVATE,01-1S-09-0000-0033-0000,EMERGENCY MEDICAL SERVICE,-9472607.045088347,3559176.133893276
AIR TREK MEDICAL TRANSPORT,28000 AIRPORT RD STE A5,PUNTA GORDA,33982,CHARLOTTE,"-81.99912948,26.91717005",17R MK 00795 77652,PRIVATE,412315200001,EMERGENCY MEDICAL SERVICE,-9128101.339221817,3113127.0476066577
CHARLOTTE COUNTY FIRE & EMS ST 11,27055 RUSHMORE AVE,PUNTA GORDA,33983,CHARLOTTE,"-82.00665411,26.98756317",17R MK 00110 85455,COUNTY,402322102003,EMERGENCY MEDICAL SERVICE,-9128938.9775498,3121918.0171141755
CHARLOTTE COUNTY FIRE & EMS ST 9,12900 STATE ROAD 31,PUNTA GORDA,33982,CHARLOTTE,"-81.76000474,26.79966427",17R MK 24461 64472,COUNTY,422524400006,EMERGENCY MEDICAL SERVICE,-9101482.094468934,3098464.664868058
CHARLOTTE COUNTY FIRE & EMS ST 10,101 GASPARILLA WAY,PLACIDA,33946,CHARLOTTE,"-82.31549256,26.86825209",17R LK 69324 72521,COUNTY,412033179003,EMERGENCY MEDICAL SERVICE,-9163318.716176433,3107021.209138163
CHARLOTTE COUNTY FIRE & EMS ST 5,26287 NOTRE DAME BLVD,PUNTA GORDA,33955,CHARLOTTE,"-82.01466646,26.86064017",17R LK 99202 71403,COUNTY,412333453001,EMERGENCY MEDICAL SERVICE,-9129830.907687267,3106071.3427420664
CHARLOTTE COUNTY FIRE & EMS ST 12,2001 LUTHER RD,PUNTA GORDA,33983,CHARLOTTE,"-82.03569363,27.00164874",17R LK 97241 87039,COUNTY,402317126001,EMERGENCY MEDICAL SERVICE,-9132171.641727164,3123677.738245688
CHARLOTTE COUNTY FIRE & EMS ST 6,27287 DISSTON AVE,PUNTA GORDA,33982,CHARLOTTE,"-81.99200963,26.95479031",17R MK 01535 81814,COUNTY,402335156001,EMERGENCY MEDICAL SERVICE,-9127308.760892566,3117824.530044363
CHARLOTTE COUNTY FIRE & EMS ST 4,13600 MARATHON BLVD,PORT CHARLOTTE,33981,CHARLOTTE,"-82.22314541,26.91739679",17R LK 78551 77873,COUNTY,412108478002,EMERGENCY MEDICAL SERVICE,-9153038.678026304,3113155.3551655584
CHARLOTTE COUNTY FIRE & EMS ST 2,1493 COLLINGSWOOD BLVD,PORT CHARLOTTE,33948,CHARLOTTE,"-82.15683476,27.00460789",17R LK 85224 87471,COUNTY,402112478019,EMERGENCY MEDICAL SERVICE,-9145657.011205187,3124047.4558334146
ENGLEWOOD FIRE DEPT STATION 76,9495 PLACIDA RD,PLACIDA,33946,CHARLOTTE,"-82.28773662,26.85174180",17R LK 72063 70663,COUNTY,422002156001,EMERGENCY MEDICAL SERVICE,-9160228.939083135,3104961.0251292596
AMBITRANS MEDICAL TRANSPORT,22093 KIMBLE AVE,PORT CHARLOTTE,33952,CHARLOTTE,"-82.08716392,26.97597783",17R LK 92110 84238,PRIVATE,402223311001,EMERGENCY MEDICAL SERVICE,-9137901.288524197,3120470.816607889
CHARLOTTE COUNTY FIRE & EMS ST 7,27437 MOONEY AVE,PUNTA GORDA,33982,CHARLOTTE,"-82.00069298,26.92213422",17R MK 00644 78203,MUNICIPAL,412310300001,EMERGENCY MEDICAL SERVICE,-9128275.38765742,3113746.8125668955
CHARLOTTE COUNTY FIRE & EMS ST 3,4322 EL JOBEAN RD,PORT CHARLOTTE,33953,CHARLOTTE,"-82.21025133,26.96618917",17R LK 79883 83265,COUNTY,402128412002,EMERGENCY MEDICAL SERVICE,-9151603.31562472,3119248.166910781
CHARLOTTE COUNTY FIRE & EMS ST 1,3631 TAMIAMI TRL,PORT CHARLOTTE,33952,CHARLOTTE,"-82.09212497,26.97616611",17R LK 91617 84264,COUNTY,402222435016,EMERGENCY MEDICAL SERVICE,-9138453.549967432,3120494.335470439
CHARLOTTE COUNTY FIRE & EMS ST 8,21500 CLINTON AVE,PORT CHARLOTTE,33954,CHARLOTTE,"-82.09155782,27.02629665",17R LK 91722 89816,MUNICIPAL,402203283001,EMERGENCY MEDICAL SERVICE,-9138390.415006027,3126757.5517996876
CHARLOTTE COUNTY FIRE & EMS ST 15,13190 EISENHOWER RD,PORT CHARLOTTE,33953,CHARLOTTE,"-82.23303590,27.01030245",17R LK 77669 88174,MUNICIPAL,402108327001,EMERGENCY MEDICAL SERVICE,-9154139.682929857,3124758.9623873904
CHARLOTTE COUNTY FIRE & EMS ST 16,29400 PALM SHORES BLVD,PUNTA GORDA,33982,CHARLOTTE,"-81.96076828,27.00657052",17R MK 04680 87525,MUNICIPAL,402312476001,EMERGENCY MEDICAL SERVICE,-9123830.990133205,3124292.672841066
NATURE COAST EMERGENCY MEDICAL FOUNDATION,3876 W COUNTRY HILL DR,LECANTO,34461,CITRUS,"-82.49871386,28.84911751",17R LM 53804 92192,OTHER PUBLIC,18E19S04      33105,EMERGENCY MEDICAL SERVICE,-9183714.817614332,3356456.055544449
MEDIC 75/EMS BC 80,4590 SANTA BARBRA PKWY,NAPLES,34104,COLLIER,"-81.71774835,26.14414101",17R MJ 28256 91844,MUNICIPAL,00400246309,EMERGENCY MEDICAL SERVICE,-9096778.135569641,3016944.4049962447
MEDIC 1,835 8TH AVE S,NAPLES,34102,COLLIER,"-81.79511108,26.13876062",17R MJ 20519 91293,MUNICIPAL,14044720002,EMERGENCY MEDICAL SERVICE,-9105390.11456004,3016277.215407677
MEDIC 20,4798 DAVIS BLVD,NAPLES,34112,COLLIER,"-81.75075756,26.13817938",17R MJ 24952 91203,MUNICIPAL,00391360006,EMERGENCY MEDICAL SERVICE,-9100452.70373737,3016205.140880775
MEDIC 32,4817 AVE MARIA BLVD,IMMOKALEE,34142,COLLIER,"-81.44692261,26.34179913",17R MK 55402 13614,MUNICIPAL,22671005344,EMERGENCY MEDICAL SERVICE,-9066629.951804772,3041476.187206
MEDIC 31,1107 CARSON RD,IMMOKALEE,34142,COLLIER,"-81.45032536,26.43418488",17R MK 55099 23847,MUNICIPAL,00073280006,EMERGENCY MEDICAL SERVICE,-9067008.743674686,3052956.739871859
MEDIC 71/EMS 84,95 13TH ST SW,NAPLES,34117,COLLIER,"-81.63339335,26.22889444",17R MK 36734 01187,MUNICIPAL,37013362009,EMERGENCY MEDICAL SERVICE,-9087387.779833578,3027458.2301673624
MEDIC 24,2795 N AIRPORT PULLING RD,NAPLES,34105,COLLIER,"-81.76818965,26.18175198",17R MJ 23238 96039,MUNICIPAL,20767010957,EMERGENCY MEDICAL SERVICE,-9102393.234595506,3021609.174509971
MEDIC 21/MEDIC 802,11121 TAMIAMI TRL E,NAPLES,34113,COLLIER,"-81.73214894,26.09077085",17R MJ 26783 85941,MUNICIPAL,62040320005,EMERGENCY MEDICAL SERVICE,-9098381.20093718,3010327.6524280617
ALS TOW 50/MEDIC RES 50/MEDIC 803,1280 SAN MARCO RD,MARCO ISLAND,34145,COLLIER,"-81.71496598,25.93746699",17R MJ 28408 68954,MUNICIPAL,57360380002,EMERGENCY MEDICAL SERVICE,-9096468.403036324,2991338.0220310823
MEDIC 22,4375 BAYSHORE DR,NAPLES,34112,COLLIER,"-81.76998800,26.11284300",17R MJ 23013 88408,MUNICIPAL,61840720000,EMERGENCY MEDICAL SERVICE,-9102593.42631891,3013063.757978371
MEDIC 46,3410 PINE RIDGE RD,NAPLES,34105,COLLIER,"-81.74913794,26.21106183",17R MJ 25161 99274,COUNTY,00287640005,EMERGENCY MEDICAL SERVICE,-9100272.408665787,3025245.4248487987
