Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
"CO A, 1ST BN, 124TH IN",910 N DIXIE HIGHWAY,HOLLYWOOD,33020,BROWARD,"-80.14989995,26.01914041",17R NJ 85064 78080,STATE,514210010050,NATIONAL GUARD,-8922246.05010056,3001451.7588768275
DET 1 325TH MAINT CO,8551 W VENABLE ST,CRYSTAL RIVER,34429,CITRUS,"-82.57739722,28.86527185",17R LM 46152 94081,STATE,19E19S030010  00160 0100,NATIONAL GUARD,-9192473.809561687,3358509.3104857006
3-20th SF (HHD & Spt Co),CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
708 CRC CO,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
269th EN Det,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
869th EN Co,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
221st EOD,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
44th CST,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
256th ASMC,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
MATES,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
RTS-M,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
689th EN Tm,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
202 RHS,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
MED Det,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
J4 SMM,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
CBJTC,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
211th RTI,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
CBJTC,5629 STATE ROAD 16 W,STARKE,32091,CLAY,"-81.98723586,29.97724098",17R MP 04759 16673,STATE,15-06-23-000572-000-00,NATIONAL GUARD,-9126777.34698125,3500624.7185289613
WRTC,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
RTS-M,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
927th CSSB,CAMP BLANDING,STARKE,32091,CLAY,"-81.97379963,29.96128998",17R MP 06040 14894,STATE,23-06-23-000725-000-00,NATIONAL GUARD,-9125281.632751763,3498575.0008054473
Camp Blanding Joint Training Center,State Road 16 - Entrance Tallahassee St,STARKE,32091,CLAY,"-81.96842342,29.97164357",17R MP 06569 16037,,,NATIONAL GUARD,-9124683.156670142,3499905.4087191075
856th QM Co,2050 Commerce Ave Unit 6,Immokalee,34142,COLLIER,"-81.39681091,26.41649221",17R MK 60428 21870,,,NATIONAL GUARD,-9061051.54255437,3050757.4040555325
Ground/Aviation Maintenance Activities,490 LAKE JEFFERY RD NW,LAKE CITY,32055,COLUMBIA,"-82.64872762,30.19388489",17R LP 41283 41418,STATE,,NATIONAL GUARD,-9200414.273111258,3528496.363572697
153RD ENGINEER COMPANY,490 LAKE JEFFERY RD NW,LAKE CITY,32055,COLUMBIA,"-82.64872762,30.19388489",17R LP 41283 41418,STATE,,NATIONAL GUARD,-9200414.273111258,3528496.363572697
FMS #8,490 LAKE JEFFERY RD NW,LAKE CITY,32055,COLUMBIA,"-82.64872762,30.19388489",17R LP 41283 41418,STATE,,NATIONAL GUARD,-9200414.273111258,3528496.363572697
"R&R, 3-116 FA, A BTRY",787 KELLY DRIVE,ARCADIA,34266,DESOTO,"-81.86479880,27.23034503",17R ML 14372 12244,OTHER PUBLIC,25-37-24-0A00-0400-0000,NATIONAL GUARD,-9113147.7159339,3152279.9106774135
"BTRY A, 3RD BN, 116TH FA",787 KELLY DRIVE,ARCADIA,34266,DESOTO,"-81.86479880,27.23034503",17R ML 14372 12244,OTHER PUBLIC,25-37-24-0A00-0400-0000,NATIONAL GUARD,-9113147.7159339,3152279.9106774135
CO C 146TH SIG BN,9900 NORMANDY BLVD,JACKSONVILLE,32210,DUVAL,"-81.82130846,30.27791806",17R MP 21007 49867,STATE,0090210010R,NATIONAL GUARD,-9108306.393444953,3539323.875134559
HQ 146TH SIG BN (CORPS AREA),9900 NORMANDY BLVD,JACKSONVILLE,32210,DUVAL,"-81.82130846,30.27791806",17R MP 21007 49867,STATE,0090210010R,NATIONAL GUARD,-9108306.393444953,3539323.875134559
"CO A, 146TH SIG BN",9900 NORMANDY BLVD,JACKSONVILLE,32210,DUVAL,"-81.82130846,30.27791806",17R MP 21007 49867,STATE,0090210010R,NATIONAL GUARD,-9108306.393444953,3539323.875134559
83rd Troop Command,13433 Crossover St,Jacksonville, ,DUVAL,"-81.88481400,30.22252400",17R MP 14851 43774,,,NATIONAL GUARD,-9115375.798182461,3532185.417598198
"Detachment 1, Company B, 1204th AV (AVIM)",13433 Crossover St,Jacksonville, ,DUVAL,"-81.88481400,30.22252400",17R MP 14851 43774,,,NATIONAL GUARD,-9115375.798182461,3532185.417598198
CO D 1ST BN 111TH AVIATION,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
159TH FIGHTER SQUADRON,14300 FANG DR,JACKSONVILLE,32218,DUVAL,"-81.70253796,30.48699007",17R MP 32574 72959,COUNTY,0192800000R,NATIONAL GUARD,-9095084.922494045,3566302.7309320727
8125TH STUDENT FLIGHT,14300 FANG DR,JACKSONVILLE,32218,DUVAL,"-81.70253796,30.48699007",17R MP 32574 72959,COUNTY,0192800000R,NATIONAL GUARD,-9095084.922494045,3566302.7309320727
HQ 1ST BN 111TH AVIATION,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
B/1204th AV,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
"CO B, 1ST BN, 111TH AVIATION",609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
125TH FIGHTER WING,14300 FANG DR,JACKSONVILLE,32218,DUVAL,"-81.70253796,30.48699007",17R MP 32574 72959,COUNTY,0192800000R,NATIONAL GUARD,-9095084.922494045,3566302.7309320727
CO E 111TH ATS,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
Det 1,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
ARMY AVIATION SUPPORT FACILITY #1,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
1-111th AV (GSAB),609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
B/2 151st AV,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
HHC 1ST BN 111TH AVIATION,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
"CO A, 1ST BN, 111TH AVIATION",609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
CO C 1ST BN 111TH AVIATION,609 SAINT JOHNS BLUFF RD N,JACKSONVILLE,32225,DUVAL,"-81.52261805,30.33241871",17R MP 49763 55736,COUNTY,1622270100R,NATIONAL GUARD,-9075056.329148797,3546351.134674534
"C/HHC 146th ESB Intel Det, 260 MI",9900 NORMANDY BLVD,JACKSONVILLE,32210,DUVAL,"-81.82130846,30.27791806",17R MP 21007 49867,STATE,0090210010R,NATIONAL GUARD,-9108306.393444953,3539323.875134559
"HHC, 146th Expeditionary Signal Battalion",9900 NORMANDY BLVD,JACKSONVILLE,32210,DUVAL,"-81.82130846,30.27791806",17R MP 21007 49867,STATE,0090210010R,NATIONAL GUARD,-9108306.393444953,3539323.875134559
ARMY NATIONAL GUARD,3300 COPTER RD,PENSACOLA,32514,ESCAMBIA,"-87.19376548,30.52551525",16R DU 81411 77035,,,NATIONAL GUARD,-9706365.573656065,3571280.370467054
CO B 146th ESB,8790 GROW DR,PENSACOLA,32514,ESCAMBIA,"-87.18902451,30.52121213",16R DU 81865 76557,STATE,031S291002000000,NATIONAL GUARD,-9705837.811754247,3570724.2880444867
CO B 153RD CAV,8790 GROW DR,PENSACOLA,32514,ESCAMBIA,"-87.18902451,30.52121213",16R DU 81865 76557,STATE,031S291002000000,NATIONAL GUARD,-9705837.811754247,3570724.2880444867
ARMY READINESS CENTER,100 AIRPORT EXECUTIVE DR,PALM COAST,32164,FLAGLER,"-81.21098196,29.45263408",17R MN 79540 58153,,,NATIONAL GUARD,-9040365.15822633,3433383.3212736133
DET 1 CO A 3RD BN 124TH IN,66 E 4TH ST,APALACHICOLA,32320,FRANKLIN,"-84.98479854,29.72637743",16R FT 94913 90166,STATE,01-09S-08W-8330-0009-0010,NATIONAL GUARD,-9460464.49837779,3468426.478341857
669 EN DET,2049 Pat Thomas Pkwy,Quincy,32351,GADSDEN,"-84.59155727,30.55538370",16R GU 31017 82798,,,NATIONAL GUARD,-9416689.080432894,3575140.876211035
83rd Troop Command,2049 Pat Thomas Pkwy,Quincy,32351,GADSDEN,"-84.59155727,30.55538370",16R GU 31017 82798,,,NATIONAL GUARD,-9416689.080432894,3575140.876211035
NATIONAL GUARD - WAUCHULA ARMORY,450 RODEO DRIVE,WAUCHULA, ,HARDEE,"-81.83848973,27.53485221",17R ML 17204 45957,,,NATIONAL GUARD,-9110219.004360568,3190454.8636160973
C CO,450 RODEO DRIVE,WAUCHULA, ,HARDEE,"-81.83848973,27.53485221",17R ML 17204 45957,,,NATIONAL GUARD,-9110219.004360568,3190454.8636160973
C/3-20th SF,450 RODEO DRIVE,WAUCHULA, ,HARDEE,"-81.83848973,27.53485221",17R ML 17204 45957,,,NATIONAL GUARD,-9110219.004360568,3190454.8636160973
1/H/171st AV,16330 Flight Path Drive,Brooksville,34604,HERNANDO,"-82.45905966,28.47837524",17R LM 57171 51063,,,NATIONAL GUARD,-9179300.532375377,3309420.9384992705
"1-244 AV, E CO (-), DET 1",16386 SPRING HILL DR,BROOKSVILLE,34604,HERNANDO,"-82.45442701,28.48035189",17R LM 57627 51277,,R18 423 19 0000 0310 0060,NATIONAL GUARD,-9178784.827918436,3309671.2709208042
ARMY AVIATION SUPPORT FACIL #2,16386 SPRING HILL DR,BROOKSVILLE,34604,HERNANDO,"-82.45442701,28.48035189",17R LM 57627 51277,,R18 423 19 0000 0310 0060,NATIONAL GUARD,-9178784.827918436,3309671.2709208042
CO D 1ST BN 171ST AVN,16386 SPRING HILL DR,BROOKSVILLE,34604,HERNANDO,"-82.45442701,28.48035189",17R LM 57627 51277,,R18 423 19 0000 0310 0060,NATIONAL GUARD,-9178784.827918436,3309671.2709208042
National Guard Armory,16386 SPRING HILL DR,BROOKSVILLE,34604,HERNANDO,"-82.45442701,28.48035189",17R LM 57627 51277,,R18 423 19 0000 0310 0060,NATIONAL GUARD,-9178784.827918436,3309671.2709208042
"1-244 AV, HHC (-), DET 1",16386 SPRING HILL DR,BROOKSVILLE,34604,HERNANDO,"-82.45442701,28.48035189",17R LM 57627 51277,,R18 423 19 0000 0310 0060,NATIONAL GUARD,-9178784.827918436,3309671.2709208042
"1-244 AV, C CO",16386 SPRING HILL DR,BROOKSVILLE,34604,HERNANDO,"-82.45442701,28.48035189",17R LM 57627 51277,,R18 423 19 0000 0310 0060,NATIONAL GUARD,-9178784.827918436,3309671.2709208042
AASF #2,16388 Helicopter Dr,Brooksville,34604,HERNANDO,"-82.45453605,28.47887476",17R LM 57615 51113,,,NATIONAL GUARD,-9178796.967117734,3309484.2004489573
DET 1 CO C 3RD SF BN 20TH SF G,16386 SPRING HILL DR,BROOKSVILLE,34604,HERNANDO,"-82.45442701,28.48035189",17R LM 57627 51277,,R18 423 19 0000 0310 0060,NATIONAL GUARD,-9178784.827918436,3309671.2709208042
"1-244 AV, D CO (-), DET 1",16386 SPRING HILL DR,BROOKSVILLE,34604,HERNANDO,"-82.45442701,28.48035189",17R LM 57627 51277,,R18 423 19 0000 0310 0060,NATIONAL GUARD,-9178784.827918436,3309671.2709208042
"R & R, Battery B, 3rd Battalion, 116th Field Artillery",2500 US 27 South,Avon Park,33825,HIGHLANDS,"-81.50828802,27.55137466",17R ML 49818 47610,,,NATIONAL GUARD,-9073461.118094685,3192529.237630359
BMMC-PBO,522 N HOWARD AVE,TAMPA,33609,HILLSBOROUGH,"-82.48374407,27.94891053",17R LL 54036 92428,STATE,,NATIONAL GUARD,-9182048.388886914,3242534.1021288256
SOD-C MacDill AFB,9211 MARINA BAY DRIVE,TAMPA,33621,HILLSBOROUGH,"-82.48705234,27.83652210",17R LL 53559 79980,OTHER PUBLIC,183020ZZZ000005565000A,NATIONAL GUARD,-9182416.663938116,3228378.557139795
290TH JOINT COMMUNICATIONS SUPPORT SQUADRON,9211 MARINA BAY DRIVE,TAMPA,33621,HILLSBOROUGH,"-82.48705234,27.83652210",17R LL 53559 79980,OTHER PUBLIC,183020ZZZ000005565000A,NATIONAL GUARD,-9182416.663938116,3228378.557139795
253RD MI COMPANY,522 N HOWARD AVE,TAMPA,33609,HILLSBOROUGH,"-82.48374407,27.94891053",17R LL 54036 92428,STATE,,NATIONAL GUARD,-9182048.388886914,3242534.1021288256
DET 1 HHC 53RD SPT BN,522 N HOWARD AVE,TAMPA,33609,HILLSBOROUGH,"-82.48374407,27.94891053",17R LL 54036 92428,STATE,,NATIONAL GUARD,-9182048.388886914,3242534.1021288256
HHSB 3RD BN 116TH FA (MLRS),4004 AIRPORT RD,PLANT CITY,33563,HILLSBOROUGH,"-82.16098479,28.00399338",17R LL 85848 98187,STATE,,NATIONAL GUARD,-9146118.98959252,3249477.272518239
B/53rd SPT Bn,522 N HOWARD AVE,TAMPA,33609,HILLSBOROUGH,"-82.48374407,27.94891053",17R LL 54036 92428,STATE,,NATIONAL GUARD,-9182048.388886914,3242534.1021288256
CO B 53RD SPT  BN,522 N HOWARD AVE,TAMPA,33609,HILLSBOROUGH,"-82.48374407,27.94891053",17R LL 54036 92428,STATE,,NATIONAL GUARD,-9182048.388886914,3242534.1021288256
"BTRY C, 3RD BN, 116TH FA",4004 AIRPORT RD,PLANT CITY,33563,HILLSBOROUGH,"-82.16098479,28.00399338",17R LL 85848 98187,STATE,,NATIONAL GUARD,-9146118.98959252,3249477.272518239
HQ 3RD BN 116TH FA,4004 AIRPORT RD,PLANT CITY,33563,HILLSBOROUGH,"-82.16098479,28.00399338",17R LL 85848 98187,STATE,,NATIONAL GUARD,-9146118.98959252,3249477.272518239
HHC 53RD IN BDE,522 N HOWARD AVE,TAMPA,33609,HILLSBOROUGH,"-82.48374407,27.94891053",17R LL 54036 92428,STATE,,NATIONAL GUARD,-9182048.388886914,3242534.1021288256
HQ 53RD IN BDE (SEP),522 N HOWARD AVE,TAMPA,33609,HILLSBOROUGH,"-82.48374407,27.94891053",17R LL 54036 92428,STATE,,NATIONAL GUARD,-9182048.388886914,3242534.1021288256
HHB/C/3-116th FA,4004 AIRPORT RD,PLANT CITY,33563,HILLSBOROUGH,"-82.16098479,28.00399338",17R LL 85848 98187,STATE,,NATIONAL GUARD,-9146118.98959252,3249477.272518239
FMS #6,308 W NORTH AVE,BONIFAY,32425,HOLMES,"-85.68273441,30.80208036",16R FV 26018 08409,STATE,0530.03-000-000-054.000,NATIONAL GUARD,-9538158.364276769,3607072.097894202
FMS #6,308 W NORTH AVE,BONIFAY,32425,HOLMES,"-85.68273441,30.80208036",16R FV 26018 08409,STATE,0530.03-000-000-054.000,NATIONAL GUARD,-9538158.364276769,3607072.097894202
FMS #6,308 W NORTH AVE,BONIFAY,32425,HOLMES,"-85.68273441,30.80208036",16R FV 26018 08409,STATE,0530.03-000-000-054.000,NATIONAL GUARD,-9538158.364276769,3607072.097894202
FMS #6,308 W NORTH AVE,BONIFAY,32425,HOLMES,"-85.68273441,30.80208036",16R FV 26018 08409,STATE,0530.03-000-000-054.000,NATIONAL GUARD,-9538158.364276769,3607072.097894202
144TH TRANSPORT COMPANY,3654 US 90 WEST,MARIANNA,32448,JACKSON,"-85.29291719,30.78353544",16R FV 63347 06858,,31-5N-10-0000-0160-0000,NATIONAL GUARD,-9494764.10996711,3604668.8927238868
CO D 2ND BN 124TH IN,605 SOUTH BAY ST,EUSTIS,32726,LAKE,"-81.68513680,28.84681278",17R MM 33168 91206,,,NATIONAL GUARD,-9093147.83430723,3356163.1449970976
FMS #5,12408 WOODLEA ROAD,TAVARES,32778,LAKE,"-81.75041715,28.78918325",17R MM 26760 84860,,,NATIONAL GUARD,-9100414.809358886,3348841.0519412803
"CO A, 2ND BN, 124TH IN",400 W MEADOW ST,LEESBURG,34748,LAKE,"-81.87687624,28.81315437",17R MM 14437 87600,STATE,261924260000002201,NATIONAL GUARD,-9114492.171015741,3351886.1983791515
"R&R, 2-124 IN, A CO",400 W MEADOW ST,LEESBURG,34748,LAKE,"-81.87687624,28.81315437",17R MM 14437 87600,STATE,261924260000002201,NATIONAL GUARD,-9114492.171015741,3351886.1983791515
"BTRY B, 3RD BN, 265TH ADA",3405 MARION ST,FORT MYERS,33916,LEE,"-81.84416442,26.65597244",17R MK 15990 48609,STATE,074425P3000020000,NATIONAL GUARD,-9110850.70737735,3080555.410292795
HHD 417TH SIG BN,1225 EASTERWOOD DR,TALLAHASSEE,32317,LEON,"-84.22590211,30.45245536",16R GU 66384 72192,STATE,,NATIONAL GUARD,-9375984.53429743,3561842.3534035143
C/1-153rd CAV,1225 EASTERWOOD DR,TALLAHASSEE,32317,LEON,"-84.22590211,30.45245536",16R GU 66384 72192,STATE,,NATIONAL GUARD,-9375984.53429743,3561842.3534035143
HQ 417TH SIG BN,1225 EASTERWOOD DR,TALLAHASSEE,32317,LEON,"-84.22590211,30.45245536",16R GU 66384 72192,STATE,,NATIONAL GUARD,-9375984.53429743,3561842.3534035143
HHD 779th EN BN,1225 EASTERWOOD DR,TALLAHASSEE,32317,LEON,"-84.22590211,30.45245536",16R GU 66384 72192,STATE,,NATIONAL GUARD,-9375984.53429743,3561842.3534035143
"Chief, Legislative Liaison",400 S MONROE ST,TALLAHASSEE,32301,LEON,"-84.28155059,30.43892442",16R GU 61074 70562,STATE,2136251531450,NATIONAL GUARD,-9382179.294553623,3560095.177739341
152 CAB C1,1225 EASTERWOOD DR,TALLAHASSEE,32317,LEON,"-84.22590211,30.45245536",16R GU 66384 72192,STATE,,NATIONAL GUARD,-9375984.53429743,3561842.3534035143
"CO A(-), 3RD BN, 124TH IN",1225 EASTERWOOD DR,TALLAHASSEE,32317,LEON,"-84.22590211,30.45245536",16R GU 66384 72192,STATE,,NATIONAL GUARD,-9375984.53429743,3561842.3534035143
83RD TROOP COMMAND,1225 EASTERWOOD DR,TALLAHASSEE,32317,LEON,"-84.22590211,30.45245536",16R GU 66384 72192,STATE,,NATIONAL GUARD,-9375984.53429743,3561842.3534035143
"BTRY C, 3RD BN, 265TH ADA",1107 14TH AVE W,PALMETTO,34221,MANATEE,"-82.58173682,27.52259632",17R LL 43788 45316,MUNICIPAL,2804400059,NATIONAL GUARD,-9192956.891895143,3188916.352986453
Btry A/D/3-265th ADA,"2100 13TH AVENUE, EAST",BRADENTON,34208,MANATEE,"-82.53756911,27.48835206",17R LL 48103 41467,STATE,1360500059,NATIONAL GUARD,-9188040.164130004,3184618.499171959
"BTRY A, 3RD BN, 265TH ADA","2100 13TH AVENUE, EAST",BRADENTON,34208,MANATEE,"-82.53756911,27.48835206",17R LL 48103 41467,STATE,1360500059,NATIONAL GUARD,-9188040.164130004,3184618.499171959
C/2-124th IN Bn,900 SW 20TH ST,OCALA,34474,MARION,"-82.14689235,29.16750580",17R LN 88469 27088,STATE,23656-023-00,NATIONAL GUARD,-9144550.227057457,3396983.094240687
TROOP E 153RD CAV,900 SW 20TH ST,OCALA,34474,MARION,"-82.14689235,29.16750580",17R LN 88469 27088,STATE,23656-023-00,NATIONAL GUARD,-9144550.227057457,3396983.094240687
"CO A, 3RD SF BN, 20TH SF ",900 SW 20TH ST,OCALA,34474,MARION,"-82.14689235,29.16750580",17R LN 88469 27088,STATE,23656-023-00,NATIONAL GUARD,-9144550.227057457,3396983.094240687
13th AG Band,700 NW 28TH ST,MIAMI,33127,MIAMI-DADE,"-80.20880780,25.80219293",17R NJ 79314 54016,STATE,,NATIONAL GUARD,-8928803.641815037,2974602.246187077
13th AG Band,700 NW 28TH ST,MIAMI,33127,MIAMI-DADE,"-80.20880780,25.80219293",17R NJ 79314 54016,STATE,,NATIONAL GUARD,-8928803.641815037,2974602.246187077
13th AG Band,700 NW 28TH ST,MIAMI,33127,MIAMI-DADE,"-80.20880780,25.80219293",17R NJ 79314 54016,STATE,,NATIONAL GUARD,-8928803.641815037,2974602.246187077
13th AG Band,700 NW 28TH ST,MIAMI,33127,MIAMI-DADE,"-80.20880780,25.80219293",17R NJ 79314 54016,STATE,,NATIONAL GUARD,-8928803.641815037,2974602.246187077
50TH AREA SUPPORT GROUP,756 SAINT LO BLVD,HOMESTEAD,33032,MIAMI-DADE,"-80.39093485,25.49786171",17R NJ 61211 20217,,3069260100740,NATIONAL GUARD,-8949077.931461737,2937020.71574488
