,CITY,COUNTY,LAT,LONG,NAME_OTHER,FACILITY_TYPE,DESCRIPTION,FAC_STATUS,drcm_Longitude,drcm_Latitude,drc_Longitude,drc_Latitude,prisch_Longitude,prisch_Latitude,LONGLAT,pubsch_Longitude,pubsch_Latitude,emf_Longitude,emf_Latitude,eoc_Longitude,eoc_Latitude,ra_Longitude,ra_Latitude,TTL_BEDS,hf_Longitude,hf_Latitude
10,SANDERSON,BAKER,30.36238888,-82.22469444,CUYLER FIELD AIRPORT,AIRPORT,"MILLER, CURTIS 10750 SOUTH RUNWAY CIRCLE  GLEN-ST. MARY FL 32040",Active,,,,,,,,,,,,,,,,,,
11,PANAMA CITY,BAY,30.06996388,-85.57649444,TYNDALL AFB,AIRPORT,COMMAND POST 850-283-2155 U.S. AIR FORCE PANAMA CITY FL ,Active,,,,,,,,,,,,,,,,,,
12,PANAMA CITY,BAY,30.10222222,-85.46242222,SANDY CREEK AIRPARK,AIRPORT,SANDY CREEK AIR PARK OWNERS ASSOC. 12901 PARK WAY PANAMA CITY FL 32404,Active,,,,,,,,,,,,,,,,,,
13,PANAMA CITY,BAY,30.35824166,-85.79560277,NORTHWEST FLORIDA-BEACHES INTERNATIONAL AIRPORT,AIRPORT,6300 WEST BAY PARKWAY  PANAMA CITY BEACH FL 32409,Active,,,,,,,,,,,,,,,,,,
14, ,BAY,30.41408611,-85.74576388,COURT MARTIAL RANCH AIRPORT,AIRPORT,"GARRETT, TOMMY 5801 HIGHWAY 79  VERNON FL 32462",Active,,,,,,,,,,,,,,,,,,
15, ,BAY,30.39166666,-85.80833333,TURKEYSCRATCH PLANTATION AIRPORT,AIRPORT,N/A  LAMONT FL N/A,Active,,,,,,,,,,,,,,,,,,
16,STARKE,BRADFORD,30.05487499,-82.17633055,STATE PRISON FIELD,AIRPORT,"SUTTON, BRIAN FLORIDA DEPT OF CORRECTIONS 7819 NW 228TH STREET RAIFORD FL 32026-1000",Active,,,,,,,,,,,,,,,,,,
17,STARKE,BRADFORD,29.84440833,-82.03343611,Keystone Heights Airpark,AIRPORT,7100 AIRPORT ROAD  STARKE FL 32091-9347,Active,,,,,,,,,,,,,,,,,,
18,PATRICK AFB,BREVARD,28.46750027,-80.56643888,CAPE CANAVERAL AFS SKID STRIP,AIRPORT,COMMAND POST 854-494-7001 U.S. AIR FORCE COCOA BEACH FL ,Active,,,,,,,,,,,,,,,,,,
19,PATRICK AFB,BREVARD,28.23945555,-80.60755277,PATRICK AFB,AIRPORT,COMMAND POST 854-494-7001 U.S. AIR FORCE COCOA BEACH FL ,Active,,,,,,,,,,,,,,,,,,
20, ,BREVARD,27.87529999,-80.51644166,WHEELER FARMS PRIVATE AIRPORT,AIRPORT,4533 MICCO ROAD  MICCO FL 32976,Active,,,,,,,,,,,,,,,,,,
21,ORLANDO,BREVARD,28.61499444,-80.69449444,NASA SHUTTLE LANDING FACILITY,AIRPORT,FL ,Active,,,,,,,,,,,,,,,,,,
22,ROCKLEDGE,BREVARD,28.29833333,-80.71861111,ROCKLEDGE AIRPORT,AIRPORT,"MARDOSA,RONALD A. 500 BARNES BLVD.  ROCKLEDGE FL 32955",Active,,,,,,,,,,,,,,,,,,
23,ALTHA,CALHOUN,30.46408333,-85.17714166,CLARKSVILLE EXECUTIVE AIRPORT,AIRPORT,12759 NORTHWEST AIRPORT TRAIL  CLARKSVILLE FL 32430,Active,,,,,,,,,,,,,,,,,,
24,ALTHA,CALHOUN,30.51824999,-85.19881111,CATTLE CREEK RANCH AIRPORT,AIRPORT,"BYRD, ANDREW 23620 NW STATE ROAD 73  ALTHA FL 32421",Active,,,,,,,,,,,,,,,,,,
25,ALTHA,CALHOUN,30.43194444,-85.28888888,RON WOOD AIRPORT,AIRPORT,"WOOD, RONAL P.O. BOX 150 6036 STATE ROAD 20 WEST CLARKSVILLE FL 32430",Active,,,,,,,,,,,,,,,,,,
26, ,CALHOUN,30.52027777,-85.38472222,MARAN AIRPORT,AIRPORT,22303 NW LONGLEAF  FOUNTAIN FL 32438,Active,,,,,,,,,,,,,,,,,,
27,CLARKSVILLE,CALHOUN,30.42019444,-85.30047777,STEEP HEAD FARM AIRPORT,AIRPORT,"MAYO, ROBERT P.O. BOX 49 CLARKSVILLE FL 32430",Active,,,,,,,,,,,,,,,,,,
28, ,CHARLOTTE,26.95258055,-81.87094166,ADANA AIRFIELD,AIRPORT,5640 ACORN RANCH RD  PUNTA GORDA FL 33982,Active,,,,,,,,,,,,,,,,,,
29,PLACIDA,CHARLOTTE,26.85450833,-82.25120555,CORAL CREEK AIRPORT,AIRPORT,11901 GASSPARILLA ROAD  PLACIDA FL 33946,Active,,,,,,,,,,,,,,,,,,
30,PUNTA GORDA,CHARLOTTE,26.93728055,-81.56702222,PAYSON RANCH AIRPORT,AIRPORT,"EDWARDS, RONALD 660 BEACHLAND BLVD  VERO BEACH FL 32963",Active,,,,,,,,,,,,,,,,,,
31,PUNTA GORDA,CHARLOTTE,26.96894722,-81.91564166,SHELL CREEK AIRPARK,AIRPORT,36880 WASHINGTON LOOP ROAD  PUNTA GORDA FL 33982,Active,,,,,,,,,,,,,,,,,,
32,PUNTA GORDA,CHARLOTTE,26.92019444,-81.99051388,PUNTA GORDA AIRPORT,AIRPORT,28000 A-1 AIRPORT ROAD  PUNTA GORDA FL 33982-2453,Active,,,,,,,,,,,,,,,,,,
33,DUNNELLON,CITRUS,29.00361111,-82.55527777,J. R.S STOLPORT,AIRPORT,"RIZZO, JOHN P.O. BOX 2171 DUNNELLON FL 34433",Active,,,,,,,,,,,,,,,,,,
34,HERNANDO,CITRUS,28.98827777,-82.37294444,TWELVE OAKS AIRPORT,AIRPORT,"GILBERT, BEN P.O. BOX 34  HOLDER FL 34445",Active,,,,,,,,,,,,,,,,,,
35,HOMOSASSA,CITRUS,28.85611111,-82.55511111,POST OAK RANCH AIRPORT,AIRPORT,"GROSS, GEORGE 101 VALARE LANE  CRYSTAL RIVER FL 34429-4730",Active,,,,,,,,,,,,,,,,,,
36, ,CITRUS,29.00664111,-82.40456999,SEVEN FEATHERS AIRPORT,AIRPORT,"FAUNCE, JOHN 1786 EAST WITHLACOOCHEE TRAIL  DUNNELLON FL 34434",Active,,,,,,,,,,,,,,,,,,
37,GREEN COVE SPRINGS,CLAY,29.90431944,-81.68512499,HALLERS AIRPARK,AIRPORT,BERNARD (BUZZ) GLADE 1692 VILLAGE WAY ORANGE PARK FL 32073,Active,,,,,,,,,,,,,,,,,,
38,GREEN COVE SPRINGS,CLAY,29.97141666,-81.65727777,CLAY COUNTY / REYNOLDS AIRPARK,AIRPORT,"BROWN, JOHN P.O. BOX 477 1065 BULKHEAD ROAD GREEN COVE SPRINGS FL 32043",Active,,,,,,,,,,,,,,,,,,
39,MIDDLEBURG,CLAY,30.04370833,-81.88516666,Williams Field Airport,AIRPORT,"WILLIAMS, KENT 4273 BLUEBERRY STREET  MIDDLEBURG FL 32068",Active,,,,,,,,,,,,,,,,,,
40,MIDDLEBURG,CLAY,30.06404166,-81.96759722,SPENCERS AIRPARK,AIRPORT,"SPENCER, PHILLIP 5543-1 CARTER SPENCER ROAD  MIDDLEBURG FL 32068",Active,,,,,,,,,,,,,,,,,,
41,STARKE,CLAY,29.96690833,-81.98315833,CAMP BLANDING AAF/NG,AIRPORT,OPERATIONS CENTER 904-823-0461 ARMY NATIONAL GUARD STARKE FL ,Active,,,,,,,,,,,,,,,,,,
42,OCHOPEE,COLLIER,26.05453611,-81.06784722,CALUSA RANCH AIRPORT,AIRPORT,"DRAKE, WAYNE 662 NOTTINGHAM FOREST CIRCLE  JACKSONVILLE FL 32259",Active,,,,,,,,,,,,,,,,,,
43,OCHOPEE,COLLIER,26.030925,-81.03868055,LITTLE DEER AIRPORT,AIRPORT,"MUNZ, PINKY 23600 SW 162ND AVENUE  HOMESTEAD FL 33031",Active,,,,,,,,,,,,,,,,,,
44,OCHOPEE,COLLIER,25.98092777,-81.05673611,ROMOR RANCH AIRPORT,AIRPORT,98610 OVERSEAS HWY.  KEY LARGO FL 33037,Active,,,,,,,,,,,,,,,,,,
45,OCHOPEE,COLLIER,25.86180555,-80.897,DADE-COLLIER TRAINING AND TRANSITION AIRPORT,AIRPORT,54757 EAST TAMIAMI TRAIL  OCHOPPI FL 34141,Active,,,,,,,,,,,,,,,,,,
46,OCHOPEE,COLLIER,25.84871111,-81.39008055,EVERGLADES AIRPARK,AIRPORT,650 EVERGLADES CITY  AIRPARK ROAD  EVERGLADES CITY FL 34139,Active,,,,,,,,,,,,,,,,,,
47,NAPLES,COLLIER,26.11675833,-81.70314166,WING SOUTH AIRPORT,AIRPORT,"WING SOUTH, INC. 4130 SKYWAY DRIVE  NAPLES FL 34112",Active,,,,,,,,,,,,,,,,,,
48,NAPLES,COLLIER,26.15262027,-81.77529444,NAPLES MUNICIPAL AIRPORT,AIRPORT,160 AVIATION DRIVE NORTH  NAPLES FL 34104-3568,Active,,,,,,,,,,,,,,,,,,
49,NAPLES,COLLIER,25.99504166,-81.67253055,MARCO ISLAND AIRPORT,AIRPORT,2005 MAINSAIL DRIVE  NAPLES FL 34114,Active,,,,,,,,,,,,,,,,,,
50,LAKE CITY,COLUMBIA,30.24566666,-82.77861111,WELLBORN STOLPORT,AIRPORT,"SMITH, KENNETH 10512 NW LAKE JEFFERY ROAD  WELLBORN FL 32094",Active,,,,,,,,,,,,,,,,,,
51,LAKE CITY,COLUMBIA,30.14719444,-82.56888888,ROSSI FIELD,AIRPORT,"ROSSI DRIVE, LLC 3025 MIDDLESEX ROAD ORLANDO FL 32803",Active,,,,,,,,,,,,,,,,,,
52,LAKE CITY,COLUMBIA,30.04384722,-82.60391666,LAKE CITY AIRPARK,AIRPORT,P.O. BOX 1902  LAKE CITY FL 32056,Active,,,,,,,,,,,,,,,,,,
53,LAKE CITY,COLUMBIA,30.15573611,-82.66734722,CANNON CREEK AIRPORT,AIRPORT,"SESSIONS, RAYMOND 2409 SW SISTER'S WELCOME RD STE101  LAKE CITY FL 32025",Active,,,,,,,,,,,,,,,,,,
54,LAKE CITY,COLUMBIA,30.18203888,-82.57692777,LAKE CITY GATEWAY AIRPORT,AIRPORT,3524 EAST U.S. HIGHWAY 90  LAKE CITY FL 32055,Active,,,,,,,,,,,,,,,,,,
55,FORT WHITE,COLUMBIA,29.92591666,-82.69309722,BRADLEY AIRSTRIP,AIRPORT,"BRADLEY, JUANITA P.O. BOX 337  FORT WHITE FL 32038",Active,,,,,,,,,,,,,,,,,,
56,FORT WHITE,COLUMBIA,29.87598611,-82.63888888,LAZY S FARMS AIRPORT,AIRPORT,"POPIEL, ROBERT 698 SW RASBERRY COURT  FT. WHITE FL 32038",Active,,,,,,,,,,,,,,,,,,
57, ,DESOTO,27.05555555,-81.97055555,SUNNY BREEZE AIRPORT,AIRPORT,SUNNYBREEZE AIRPORT LLC 8355 SW LIVERPOOL DRIVE  ARCADIA FL 34269,Active,,,,,,,,,,,,,,,,,,
58, ,DESOTO,27.20027777,-81.74972222,BRIGHT HOUR RANCH AIRPORT,AIRPORT,"BATEMAN, ROWDY 2100 SE BRIGHT HOUR GRADE  ARCADIA FL 34266",Active,,,,,,,,,,,,,,,,,,
59,ARCADIA,DESOTO,27.04255555,-82.04369999,LAKE SUZY ESTATES AIRPORT,AIRPORT,GERALD DOWNS 11970 SW KINGSWAY CIR LAKE SUZY FL 34269,Active,,,,,,,,,,,,,,,,,,
60,ARCADIA,DESOTO,27.12060833,-81.84980555,CARLSTROM FIELD,AIRPORT,"THOMPSON, HALDEN 7115 SE AIRFIELD AVENUE  ARCADIA FL 34266",Active,,,,,,,,,,,,,,,,,,
61,ARCADIA,DESOTO,27.30393333,-81.88036111,FRIERSON GROVE AIRPORT,AIRPORT,"SLATER, FRENNACE 2144 N. W. BROWNSVILLE ST & N.WJERRY TER.. ARCADIA FL 34265",Active,,,,,,,,,,,,,,,,,,
62,ARCADIA,DESOTO,27.19699444,-81.91563888,MCDONALDS FIELD,AIRPORT,"MCDONALD, RONALD 1529 SW CR 661 ARCADIA FL 34266",Active,,,,,,,,,,,,,,,,,,
63,ARCADIA,DESOTO,27.05116666,-81.84813888,HENNESSY AIRPORT,AIRPORT,11751 SE HEAD AVE  ARCADIA FL 34266,Active,,,,,,,,,,,,,,,,,,
64,ARCADIA,DESOTO,27.19199444,-81.83730277,ARCADIA MUNICIPAL AIRPORT,AIRPORT,"2269 SOUTHEAST A.C. POLK, JR. DRIVE  ARCADIA FL 34266",Active,,,,,,,,,,,,,,,,,,
65,JACKSONVILLE,DUVAL,30.24098611,-81.44990277,DEEP FOREST AIRPORT,AIRPORT,"CATHEY, JOHN P.O. BOX 16771  JACKSONVILLE FL 32245",Active,,,,,,,,,,,,,,,,,,
66,JACKSONVILLE,DUVAL,30.39190555,-81.42369722,MAYPORT NS (ADM DAVID L. MCDONALD FIELD),AIRPORT,BASE OPERATIONS 904-270-6130 U.S. NAVY MAYPORT FL ,Active,,,,,,,,,,,,,,,,,,
67,JACKSONVILLE,DUVAL,30.23468333,-81.67648333,JACKSONVILLE NAS /TOWERS FIELD/,AIRPORT,BASE OPERATIONS 904-542-2511 U.S. NAVY JACKSONVILLE FL ,Active,,,,,,,,,,,,,,,,,,
68,JACKSONVILLE,DUVAL,30.35023888,-81.88316111,WHITEHOUSE NOLF,AIRPORT,QUARTERDECK 904-270-5401 U.S. NAVY JACKSONVILLE FL ,Active,,,,,,,,,,,,,,,,,,
69,JACKSONVILLE,DUVAL,30.27523888,-81.80537777,HERLONG RECREATIONAL AIRPORT,AIRPORT,9300 NORMANDY BOULEVARD  JACKSONVILLE FL 32221-5522,Active,,,,,,,,,,,,,,,,,,
70,JACKSONVILLE,DUVAL,30.33632222,-81.51445,JACKSONVILLE EXECUTIVE AT CRAIG AIRPORT,AIRPORT,855-11 SAINT JOHNS BLUFF ROAD NORTH  JACKSONVILLE FL 32225,Active,,,,,,,,,,,,,,,,,,
71,JACKSONVILLE,DUVAL,30.49405555,-81.68786111,JACKSONVILLE INTERNATIONAL AIRPORT,AIRPORT,14110 PECAN PARK ROAD  JACKSONVILLE FL 32218,Active,,,,,,,,,,,,,,,,,,
72,JACKSONVILLE,DUVAL,30.21867305,-81.87666444,CECIL AIRPORT,AIRPORT,13365 SIMPSON WAY  JACKSONVILLE FL 32221-5522,Active,,,,,,,,,,,,,,,,,,
73, ,DUVAL,30.15869444,-81.67294444,RIVERGATE LANDING,AIRPORT,"GREEN, ALAN 12918 RIVERPLACE COURT  JACKSONVILLE FL 32223",Active,,,,,,,,,,,,,,,,,,
74,PENSACOLA,ESCAMBIA,30.46972222,-87.33805555,SAUFLEY FIELD NOLF,AIRPORT,OPERATIONS CENTER 850-623-7333 U.S. NAVY PENSACOLA FL ,Active,,,,,,,,,,,,,,,,,,
75,PENSACOLA,ESCAMBIA,30.35297777,-87.32024999,PENSACOLA NAS / FORREST SHERMAN FIELD,AIRPORT,OPERATIONS CENTER 850-452-3100 U.S. NAVY PENSACOLA FL ,Active,,,,,,,,,,,,,,,,,,
76,PENSACOLA,ESCAMBIA,30.47330555,-87.18744444,PENSACOLA INTERNATIONAL AIRPORT,AIRPORT,2430 AIRPORT BLVD SUITE 225 PENSACOLA FL 32504,Active,,,,,,,,,,,,,,,,,,
77,PENSACOLA,ESCAMBIA,30.53188888,-87.38530555,COASTAL AIRPORT,AIRPORT,6001 WEST NINE MILE ROAD  PENSACOLA FL 32526,Active,,,,,,,,,,,,,,,,,,
78,PENSACOLA,ESCAMBIA,30.39825,-87.34888888,FERGUSON AIRPORT,AIRPORT,9750 AILERON AVENUE  PENSACOLA FL 32506,Active,,,,,,,,,,,,,,,,,,
79,WALNUT HILL,ESCAMBIA,30.81407499,-87.47498055,MCKINNON AIRPARK,AIRPORT,"SIMARD, THOMAS 6001 SOUTH HIGHWAY 99  WALNUT HILL FL 32568",Active,,,,,,,,,,,,,,,,,,
80,MC DAVID,ESCAMBIA,30.82713055,-87.35831111,COLLIER PINE BARREN AIRPORT,AIRPORT,"COLLIER, NEAL 3251 SOUTH PINE BARREN ROAD  MCDAVID FL 32568",Active,,,,,,,,,,,,,,,,,,
81,CARRABELLE,FRANKLIN,29.80978055,-84.58809444,DOG ISLAND AIRPORT,AIRPORT,"CANNON, RANDY HC 63, BOX 5037  CARRABELLE FL 32322",Active,,,,,,,,,,,,,,,,,,
82,CARRABELLE,FRANKLIN,29.842,-84.70111111,CARRABELLE - THOMPSON AIRPORT,AIRPORT,296 AIRPORT ROAD  CARRABELLE FL 32322,Active,,,,,,,,,,,,,,,,,,
83, ,GADSDEN,30.61194444,-84.64166666,WATSON FARM AIRPORT,AIRPORT,"WATSON, DAVID 3403 SOLOMON DAIRY ROAD  QUINCY FL 32352",Active,,,,,,,,,,,,,,,,,,
84, ,GADSDEN,30.6525,-84.47472222,SARANAC FARM AIRPORT,AIRPORT,"POINT MILLIGAN ROAD, COUNTY ROAD 161  HAVANA FL N/A",Active,,,,,,,,,,,,,,,,,,
85, ,GADSDEN,30.59527777,-84.42194444,DOGWOOD  FARMS AIRPORT,AIRPORT,"VALDENE, GUY 606 ROBIN LANE  HAVANA FL 32333",Active,,,,,,,,,,,,,,,,,,
86,HAVANA,GADSDEN,30.67936111,-84.36907222,RUTTEN DUSTING STRIP,AIRPORT,"RUTTEN, LOUIS ""DANNY"" 1836 CONCORD BAINBRIDGE ROAD  HAVANA FL 32333",Active,,,,,,,,,,,,,,,,,,
87,BELL,GILCHRIST,29.68988888,-82.87277777,SAW WHET FARMS AIRPORT,AIRPORT,"WORTHMANN, THOMAS 4009 COUNTY ROAD 232 WEST  BELL FL 32619",Active,,,,,,,,,,,,,,,,,,
88,BELL,GILCHRIST,29.81362499,-82.92583333,SHADY BEND AIRPORT,AIRPORT,"CROOK, TRACY 5500 NW 72ND WAY  BELL FL 32619",Active,,,,,,,,,,,,,,,,,,
89,BELL,GILCHRIST,29.71944444,-82.84406944,FLYING HARNESS FARM AIRPORT,AIRPORT,1710 SW 15TH STREET  BELL FL 32619,Active,,,,,,,,,,,,,,,,,,
90,BRANFORD,GILCHRIST,29.88851388,-82.79781944,FOX FIELD,AIRPORT,"MANNA, RONALD 10350 NE 5TH AVENUE  BRANFORD FL 32008",Active,,,,,,,,,,,,,,,,,,
91, ,GILCHRIST,29.69233333,-82.72916666,RUSH AIRFIELD,AIRPORT,"RUSH, VIRGIL 3319 SE 40TH WAY  TRENTON FL 32693",Active,,,,,,,,,,,,,,,,,,
92, ,GLADES,26.87816083,-81.14007638,LYKES MOORE HAVEN AIRPORT,AIRPORT,"ZAHN, WAYNE 106 SW CR 721  OKEECHOBEE FL 34974",Active,,,,,,,,,,,,,,,,,,
93, ,GLADES,26.79777777,-81.525,FLYING L AIRPORT,AIRPORT,"LUMLEY, WILLIAM 7320 SKYLINE DRIVE  DELRAY BEACH FL 33446",Active,,,,,,,,,,,,,,,,,,
94, ,GLADES,26.91916666,-81.56244444,LYKES SILVER LAKE PRIVATE AIRPORT,AIRPORT,"ZAHN, WAYNE 106 SW CR 721  OKEECHOBEE FL 34974",Active,,,,,,,,,,,,,,,,,,
95,OKEECHOBEE,GLADES,27.18893611,-81.08701111,LYKES BRIGHTON AIRPORT,AIRPORT,106 SW CR 721  OKEECHOBEE FL 34974,Active,,,,,,,,,,,,,,,,,,
96,LABELLE,GLADES,26.80034166,-81.48507777,SUNDANCE FARMS AIRPORT,AIRPORT,"MUNZ, CHARLES 23600 SW 162 AVE  HOMESTEAD FL 33031",Active,,,,,,,,,,,,,,,,,,
97, ,HAMILTON,30.50021055,-83.18358166,SQUIRES AVIATION RANCH AIRPORT,AIRPORT,"SQUIRES, ROBIN 3414 NW 44TH STREET  JASPER FL 32052",Active,,,,,,,,,,,,,,,,,,
98, ,HAMILTON,30.46027777,-83.14777777,DJ FARM AIRPORT,AIRPORT,6299 SW 52 LANE  JASPER FL 32052,Active,,,,,,,,,,,,,,,,,,
99,JENNINGS,HAMILTON,30.62186111,-83.25947222,BIRD FIELD,AIRPORT,"BIRD, FRANK 435 NW 18TH PLACE  JENNINGS FL 32053",Active,,,,,,,,,,,,,,,,,,
100,WAUCHULA,HARDEE,27.62083333,-81.61083333,CREWS HOMESTEAD RANCH AIRPORT,AIRPORT,"CREWS, CHRISTY P.O. BOX 1669  AVON PARK FL 33826-1669",Active,,,,,,,,,,,,,,,,,,
101,WAUCHULA,HARDEE,27.51364999,-81.88063888,WAUCHULA MUNICIPAL AIRPORT,AIRPORT,1202 MAURICE SONNY CLAVEL ROAD  WAUCHULA FL 33873,Active,,,,,,,,,,,,,,,,,,
102,ZOLFO SPRINGS,HARDEE,27.41893055,-81.83258333,GRIFFINS PEACE RIVER RANCH AIRPORT,AIRPORT,"HURST, STEWART P.O. BOX 127  FROSTPROOF FL 33843",Active,,,,,,,,,,,,,,,,,,
103,CLEWISTON,HENDRY,26.39388888,-81.02305555,MCDANIEL RANCH AIRPORT,AIRPORT,"MCDANIEL, DAVID (PARTNER/PILOT) 32595 COUNTY ROAD 833  CLEWISTON FL 33440",Active,,,,,,,,,,,,,,,,,,
104,CLEWISTON,HENDRY,26.32027777,-80.98777777,BIG CYPRESS AIRFIELD,AIRPORT,35201 EAGLES LANDING  CLEWISTON FL 33440,Active,,,,,,,,,,,,,,,,,,
105,CLEWISTON,HENDRY,26.73055555,-81.16388888,HARPERS FLY-IN RANCH AIRPORT,AIRPORT,"HARPER, ROBERT 14825 CENTER AVENUE  CLEWISTON FL 33440",Active,,,,,,,,,,,,,,,,,,
106,CLEWISTON,HENDRY,26.74200833,-81.04978888,AIRGLADES AIRPORT,AIRPORT,3200 AIRGLADES BOULEVARD  CLEWISTON FL 33440,Active,,,,,,,,,,,,,,,,,,
107, ,HENDRY,26.45083333,-81.00055555,DEVILS GARDEN STRIP,AIRPORT,"ZIPPERER, R DOUGLAS P.O. BOX 640  FORT MYERS FL 33902",Active,,,,,,,,,,,,,,,,,,
108,ALVA,HENDRY,26.73895555,-81.50618888,WILLIAMS SKY MANOR AIRPORT,AIRPORT,"WILLIAMS, WILLIAM 4205 FORT DENAUD ROAD  LA BELLE FL 33935",Active,,,,,,,,,,,,,,,,,,
109,ALVA,HENDRY,26.76833333,-81.53888888,SOUTHPOINT AIRPORT,AIRPORT,"MORRISION, ROBERT 110 KIRBY THOMPSON ROAD  FORT DENAUD FL 33935",Active,,,,,,,,,,,,,,,,,,
110,LABELLE,HENDRY,26.7134,-81.53535555,COTTON STRIP,AIRPORT,"SHULTS, MICHAEL 6190A WEST STATE ROAD 80  LABELLE FL 33935",Active,,,,,,,,,,,,,,,,,,
111,LABELLE,HENDRY,26.52305555,-81.40833333,CHARLTON STRIP,AIRPORT,"CHARLTON, JOHN P.O. BOX 56  FELDA FL 33930",Active,,,,,,,,,,,,,,,,,,
112,LABELLE,HENDRY,26.57944444,-81.48388888,DUDA AIRSTRIP,AIRPORT,TRACY DUDA CHAPMAN 12250 SOUTH HWY. 29  FELDA FL 33930,Active,,,,,,,,,,,,,,,,,,
113,LABELLE,HENDRY,26.74423277,-81.43257555,LA BELLE MUNICIPAL AIRPORT,AIRPORT,99 EAST COWBOY WAY  LABELLE FL 33975-1607,Active,,,,,,,,,,,,,,,,,,
114,BROOKSVILLE,HERNANDO,28.61930555,-82.36888888,CHINESEGUT AIRPORT,AIRPORT,"SELPH, DEBRA D. SELPH 22270 PILOTS PATH BROOKSVILLE FL 34601",Active,,,,,,,,,,,,,,,,,,
115,BROOKSVILLE,HERNANDO,28.47359722,-82.45542222,HERNANDO COUNTY AIRPORT,AIRPORT,15800 FLIGHT PATH DRIVE  BROOKSVILLE FL 34604,Active,,,,,,,,,,,,,,,,,,
116, ,HERNANDO,28.53972222,-82.30472222,GRAND VISTA RANCH,AIRPORT,26756 MONDON HILL ROAD  BROOKSVILLE FL 34601,Active,,,,,,,,,,,,,,,,,,
117, ,HIGHLANDS,27.37888888,-81.15,LYKES FT. BASINGER AIRSTRIP,AIRPORT,"TODD, THOMAS 490 BUCKHORN ROAD  LORIDA FL 33857",Active,,,,,,,,,,,,,,,,,,
118,LAKE PLACID,HIGHLANDS,27.24560277,-81.41312777,PLACID LAKES AIRPORT,AIRPORT,215 SENECA DR NW  LAKE PLACID FL 33852,Active,,,,,,,,,,,,,,,,,,
119,LAKE PLACID,HIGHLANDS,27.35309722,-81.40812777,LAKE PERSIMMON AIRSTRIP,AIRPORT,"SNAVELY, BILL 115 HEINLEY ROAD  LAKE PLACID FL 33852-8137",Active,,,,,,,,,,,,,,,,,,
120,LAKE PLACID,HIGHLANDS,27.23805555,-81.39055555,VINCES AIRPORT,AIRPORT,"PETERS, TRACY 3950 PLACID VIEW DRIVE  LAKE PLACID FL 33852",Active,,,,,,,,,,,,,,,,,,
121,VENUS,HIGHLANDS,27.16255,-81.54285555,BLUE HEAD RANCH,AIRPORT,"BUNCE, YVONNE PO BOX 1318  LAKE WALES FL 33859",Active,,,,,,,,,,,,,,,,,,
122,TAMPA,HILLSBOROUGH,27.84919166,-82.52148333,MACDILL AFB,AIRPORT,COMMAND POST 813-828-4361 U.S. AIR FORCE TAMPA FL ,Active,,,,,,,,,,,,,,,,,,
