Name,Address,City,Zip,COUNTY,LONGLAT,USNG,FACILITY_TYPE,SHELTER_TYPE,RPC_Region,Year_Built,Building,AS_IS_A_Retrofit_R,Generator_Type,PreMitigation_Capacity_Spaces,PreMitigation_Square_Footage,EHPA_Capacity_Gained_Spaces,EHPA_Square_Footage_Gained,Retrofit_Capacity_Gained_Spaces,Retrofit_Square_Footage_Gained,Risk_Capacity_Spaces,Risk_Square_Footage,Planned_Usage_Spaces,FundingSource_F_Federal_State_S,Evacuation_Zone,SURGE_ZONE,FLOOD_ZONE,EHPA,General_Pop,SPECIAL_NEEDS,Pet_Friendly,Does_not_meet_ARC_4496,Survey_Needed,x,y
Joseph Williams ES,1245 SE 7th Ave,Gainesville,32641,ALACHUA,"-82.30905000, 29.64561002",17R LN 73293 80233,SHELTER,RISK,3,1999,7 Cafeteria,R, ,0,0,0,0,210,4196,210,4196,0,S-1621X,No,No,No,No,Yes, , , , ,-9162601.53385938,3458077.1706879116
University of Florida,3150 Hull Road,Gainesville,32611,ALACHUA,"-82.36826304, 29.63818101",17R LN 67551 79476,SHELTER,RISK,3,2011,484 Straughn IFAS Extension 1st Floor,R, ,0,0,0,0,118,2360,118,2360,0,S,No,No,No,No,Yes, , , , ,-9169193.098613169,3457125.6561222463
Alachua County Community Support Services,218 SE 24th St,Gainesville,32641,ALACHUA,"-82.29512800, 29.64887498",17R LN 74645 80579,SHELTER,RISK,3,2001,1 Main,R, ,0,0,0,0,94,5640,94,5640,0,S 17-SR-3D-03-11-02-,No,No,No,No,Yes, , , , ,-9161051.743320392,3458495.3723688084
Archer Community School,14533 SW 170 St,Archer,32618,ALACHUA,"-82.52304200, 29.52002501",17R LN 52395 66568,SHELTER,RISK,3,2000,6 Cafeteria,R, ,0,0,0,0,211,4221,211,4221,0,S-1621X,No,No,No,No,Yes, , , , ,-9186423.01437248,3442001.5358110745
Sidney Lanier Center,312 NW 16th Ave,Gainesville,32601,ALACHUA,"-82.32800802, 29.66689901",17R LN 71485 82613,SHELTER,RISK,3,2001,12 Gym,R, ,0,0,0,0,408,8166,408,8166,0, ,No,No,No,No,Yes, , , , ,-9164711.93112513,3460804.274436065
University of Florida,3150 Hull Road,Gainesville,32611,ALACHUA,"-82.36826304, 29.63818101",17R LN 67551 79476,SHELTER,RISK,3,1997,316 SW Rec Center,R, ,0,0,0,0,1837,36737,1837,36737,0,S,No,No,No,No,Yes, , , , ,-9169193.098613169,3457125.6561222463
Eastside HS,1201 SE 43rd St,Gainesville,32641,ALACHUA,"-82.26966897, 29.63981599",17R LN 77098 79548,SHELTER,RISK,3,2002,15 Classroom,R, ,0,0,0,0,842,16834,842,16834,501,S-1508-2005,No,No,No,No,Yes, , , , ,-9158217.657595642,3457335.0592458756
Kanapaha MS,5005 SW 75th St,Gainesville,32608,ALACHUA,"-82.42086602, 29.60768400",17R LN 62417 76157,SHELTER,RISK,3,1995,4 Classroom,R, ,0,0,0,0,450,8995,450,8995,405,S-1508-2005,No,No,No,No,Yes, , , , ,-9175048.835651068,3453220.303795467
Santa Fe HS,16213 NW US HWY 441,Alachua,32615,ALACHUA,"-82.52386401, 29.80616102",17R LN 52733 98280,SHELTER,RISK,3,2008,34 Classroom,A, ,0,0,546,10919,0,0,546,10919,527,L,No,No,No,Yes,Yes, , , , ,-9186514.520432396,3478657.9039731636
Lawton M Chiles ES,2525 School House Rd,Gainesville,32608,ALACHUA,"-82.44516599, 29.62869098",17R LN 60093 78514,SHELTER,RISK,3,1999,1 Admin / Classroom,R, ,0,0,0,0,666,13320,666,13320,0,S 12/13 2624,No,No,No,No,Yes, , , , ,-9177753.896451304,3455910.2653296585
Kanapaha MS,5005 SW 75th St,Gainesville,32608,ALACHUA,"-82.42086602, 29.60768400",17R LN 62417 76157,SHELTER,RISK,3,1995,3 Classroom,R, ,0,0,0,0,467,9332,467,9332,407,S-1508-2005,No,No,No,No,Yes, , ,Yes, ,-9175048.835651068,3453220.303795467
Chester Shell ES,21633 SE 65th Ave,Hawthorne,32640,ALACHUA,"-82.09070503, 29.59414300",17R LN 94375 74311,SHELTER,RISK,3,2005,2 Cafeteria,R, ,0,0,0,0,184,3681,184,3681,214,S,No,No,No,No,Yes, , , , ,-9138295.482713247,3451486.663383106
University of Florida,686 Museum Rd,Gainesville,32611,ALACHUA,"-82.34848194, 29.64494386",17R LN 69475 80203,SHELTER,RISK,3,1995,686 Reitz Union,R, ,699,13971,0,0,0,0,699,13971,0,S,No,No,No,No,Yes, , , , ,-9166991.077621922,3457991.8453346756
High Springs Community School,1015 N Main St,High Springs,32643,ALACHUA,"-82.59185006, 29.83557492",17R LP 46207 01629,SHELTER,RISK,3,2003,5 Classroom Addition (2003),R, ,0,0,0,0,296,5920,296,5920,296,S-1508-2005,No,No,No,No,Yes, , , , ,-9194082.692566399,3482431.9929470057
Oakview MS,1203 SW 250th St,Newberry,32669,ALACHUA,"-82.60579703, 29.64099800",17R LN 44559 80083,SHELTER,RISK,3,1993,3 Classroom,R, ,0,0,0,0,447,8935,447,8935,405,S-1508-2005,No,No,No,No,Yes, , ,Yes, ,-9195635.262499154,3457486.450759906
Baker MS,211 E Jonathan St,Macclenny,32063,BAKER,"-82.11830806, 30.27471835",17R LP 92436 49756,SHELTER,RISK,4,1995,19 Voc Classroom,R, ,0,0,0,0,30,595,30,595,0,1621X 09-SR-18-04-12-01-315,No,No,No,No,Yes, , , , ,-9141368.238349771,3538911.4284046823
New Macclenny ES,1 Wildkitten Dr,Macclenny,32063,BAKER,"-82.12961109, 30.29911681",17R LP 91376 52470,SHELTER,RISK,4,2002,1F Classroom,A, ,0,0,306,6127,0,0,306,6127,216,HB7121,No,No,No,Yes,Yes, , , , ,-9142626.485584395,3542056.7560375966
New Macclenny ES,1 Wildkitten Dr,Macclenny,32063,BAKER,"-82.12961109, 30.29911681",17R LP 91376 52470,SHELTER,RISK,4,2002,1D Classroom,A, ,0,0,311,6217,0,0,311,6217,309,HB7121,No,No,No,Yes,Yes, , , , ,-9142626.485584395,3542056.7560375966
Westside ES,1 Panther Cir,Glen Saint Mary,32040,BAKER,"-82.15856261, 30.27982736",17R LP 88570 50361,SHELTER,RISK,4,2000,7 Classroom,R, ,0,0,0,0,285,5706,285,5706,0,1621X,No,No,No, ,Yes, , , , ,-9145849.353578607,3539569.9915811913
J Franklin Keller Intermediate School,420 S 8th St,Macclenny,32063,BAKER,"-82.12698371, 30.27648753",17R LP 91604 49960,SHELTER,RISK,4,2000,18 Classroom,A, ,0,0,0,0,0,0,125,2499,0, ,No,No,No,No,Yes, , , , ,-9142334.006945923,3539139.4757654876
New Macclenny ES,1 Wildkitten Dr,Macclenny,32063,BAKER,"-82.12961109, 30.29911681",17R LP 91376 52470,SHELTER,RISK,4,2002,1B Cafeteria,A, ,0,0,311,6215,0,0,311,6215,296,HB7121,No,No,No,Yes,Yes, , , , ,-9142626.485584395,3542056.7560375966
New Macclenny ES,1 Wildkitten Dr,Macclenny,32063,BAKER,"-82.12961109, 30.29911681",17R LP 91376 52470,SHELTER,RISK,4,2002,1E Classroom,A, ,0,0,311,6217,0,0,311,6217,309,HB7121,No,No,No,Yes,Yes, , , , ,-9142626.485584395,3542056.7560375966
Baker MS,211 E Jonathan St,Macclenny,32063,BAKER,"-82.11830806, 30.27471835",17R LP 92436 49756,SHELTER,RISK,4,2009,20 Classroom,A, ,0,0,0,0,836,16714,836,16714,0,1621X,No,No,No,No,Yes, , , , ,-9141368.238349771,3538911.4284046823
Phoenix Center,523 W Minnesota Ave,Macclenny,32063,BAKER,"-82.12945106, 30.27684566",17R LP 91367 50002,SHELTER,RISK,4,1995,Main,R, ,0,0,0,0,207,4140,207,4140,0,1621X,No,No,No, ,Yes, , , , ,-9142608.671677774,3539185.639688696
New Macclenny ES,1 Wildkitten Dr,Macclenny,32063,BAKER,"-82.12961109, 30.29911681",17R LP 91376 52470,SHELTER,RISK,4,2002,1C Classroom,A, ,0,0,316,6327,0,0,316,6327,239,HB7121,No,No,No,Yes,Yes, , , , ,-9142626.485584395,3542056.7560375966
New Macclenny ES,1 Wildkitten Dr,Macclenny,32063,BAKER,"-82.12961109, 30.29911681",17R LP 91376 52470,SHELTER,RISK,4,2002,1A Admin / Media,A, ,0,0,274,5471,0,0,274,5471,306,L,No,No,No,Yes,Yes, , , , ,-9142626.485584395,3542056.7560375966
Rutherford HS,1000 School Ave,Springfield,32401,BAY,"-85.61524301, 30.16608099",16R FU 33340 37998,SHELTER,RISK,1,1986,13 Cafeteria,R, ,0,0,0,0,552,11031,552,11031,0,F-HB7121,No,No,No,No,Yes, ,Yes, , ,-9530645.256114649,3524915.9189127935
Moore ES,1900 Michigan Ave,Panama City,32405,BAY,"-85.70702904, 30.18332398",16R FU 24479 39805,SHELTER,RISK,1,1996,2 Classroom (10),R, ,0,0,0,0,168,3357,168,3357,0,HMGP,D,5,No,No,Yes, ,Yes, , ,-9540862.830319308,3527136.264817037
Moore ES,1900 Michigan Ave,Panama City,32405,BAY,"-85.70702904, 30.18332398",16R FU 24479 39805,SHELTER,RISK,1,1996,4 Classroom (12),R, ,0,0,0,0,393,7862,393,7862,0,HMGP,D,5,No,No,Yes, ,Yes, , ,-9540862.830319308,3527136.264817037
Tommy Smith ES,5044 Tommy Smith Way,Panama City,32404,BAY,"-85.56411399, 30.24187200",16R FU 38157 46459,SHELTER,RISK,1,1991,2 Classroom,R, ,0,0,0,0,400,8007,400,8007,0,HMGP,No,No,No,No,Yes, ,Yes, , ,-9524953.599351915,3534678.2755312514
Cedar Grove ES,2826 East 15th St,Panama City,32405,BAY,"-85.62116198, 30.17427002",16R FU 32759 38899,SHELTER,RISK,1,1999,13 Music,R, ,0,0,0,0,142,2137,107,2137,206,HMGP,No,No,No,No,Yes, ,Yes, , ,-9531304.152305467,3525970.3559116996
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,2 Classroom,R, ,0,0,0,0,436,6541,327,6541,587,HMGP,No,No,No,No,Yes, ,Yes, , ,-9538850.80451574,3554319.1398440883
Oakland Terrace ES,2010 W 12th St,Panama City,32401,BAY,"-85.69123301, 30.17070302",16R FU 26016 38424,SHELTER,RISK,1,1986,14 Classroom,R, ,0,0,0,0,258,4159,208,4159,258,HMGP,No,No,No,No,Yes, ,Yes, , ,-9539104.424116118,3525511.0505374833
Waller ES,11332 Highway 388,Fountain,32466,BAY,"-85.44058896, 30.36635101",16R FU 49855 60412,SHELTER,RISK,1,2000,5 Classroom,R, ,0,0,0,0,288,5757,288,5757,0,F-HB7121,No,No,No,No,Yes, ,Yes, , ,-9511202.856018556,3550728.307629406
Mowat MS,1903 Hwy 390,Lynn Haven,33444,BAY,"-85.65584604, 30.22849800",16R FU 29348 44869,SHELTER,RISK,1,2000,11 Classroom,R, ,0,0,0,0,139,2782,139,2782,139,HMGP,No,No,No,No,Yes, ,Yes, , ,-9535165.164681204,3532955.074635782
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,7 Classroom,R, ,0,0,0,0,510,7647,382,7647,826,L,No,No,No,No,Yes, ,Yes, , ,-9538850.80451574,3554319.1398440883
Waller ES,11332 Hwy 338,Youngstown,32466,BAY,"-85.57356000, 30.31227500",16R FU 37151 54250,SHELTER,RISK,1,1998,4 Classroom,R, ,0,0,0,0,207,4141,207,4141,0,L,No,No,No,No,Yes, ,Yes, , ,-9526005.124572664,3543753.3694607383
Bay County Sheriff Office,3421 Highway 77,Panama City,32404,BAY,"-85.65079200, 30.21048001",16R FU 29858 42878,SHELTER,RISK,1,1994,1 Main,R, ,0,0,0,0,494,9880,494,9880,494,S FY 11-12 1515A,No,No,No,No,Yes, ,Yes, , ,-9534602.55185287,3530633.8790146504
Rutherford HS,1000 School Ave,Panama City,32401,BAY,"-85.61524301, 30.16608099",16R FU 33340 37998,SHELTER,RISK,1,1995,2  Media / Classroom 1st Floor,R, ,0,0,0,0,237,4740,237,4740,237,HMGP,No,No,No,No,Yes, ,Yes, , ,-9530645.256114649,3524915.9189127935
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,6 Music,R, ,0,0,0,0,319,4791,240,4791,604,HMGP,No,No,No,No,Yes, ,Yes, , ,-9538850.80451574,3554319.1398440883
Pattersen ES,1025 Redwood Ave,Panama City,32401,BAY,"-85.63851796, 30.16655301",16R FU 31098 38023,SHELTER,RISK,1,2000,16 Classroom,R, ,0,0,0,0,265,5294,265,5294,0,F-HB7121,No,No,No,No,Yes, ,Yes, , ,-9533236.212057391,3524976.6957278526
Merritt Brown MS,5601 Merritt Brown Rd,Panama City,32404,BAY,"-85.56317597, 30.24219998",16R FU 38247 46496,SHELTER,RISK,1,1988,4 Classroom 1st Floor,R, ,0,0,0,0,877,17538,877,17538,0,HMGP,No,No,No,No,Yes, ,Yes, , ,-9524849.179599922,3534720.5382399946
Jinks MS,600 W 11th St,Panama City,32401,BAY,"-85.66797901, 30.16873000",16R FU 28258 38231,SHELTER,RISK,1,2003,10 Cafeteria,R, ,0,0,0,0,76,1836,92,1836,76,HMGP,No,No,No,No,Yes, ,Yes, , ,-9536515.800897287,3525257.0021706247
Tommy Smith ES,5044 Tommy Smith Way,Panama City,32404,BAY,"-85.56411399, 30.24187200",16R FU 38157 46459,SHELTER,RISK,1,1991,4 Classroom,R, ,0,0,0,0,438,8764,438,8764,0,HMGP,No,No,No,No,Yes, ,Yes, , ,-9524953.599351915,3534678.2755312514
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,3 Classroom,R, ,0,0,0,0,526,7894,395,7894,641, ,No,No,No,No,Yes, ,Yes, , ,-9538850.80451574,3554319.1398440883
Moore ES,1900 Michigan Ave,Panama City,32405,BAY,"-85.70702904, 30.18332398",16R FU 24479 39805,SHELTER,RISK,1,1996,3 Cafeteria (11),R, ,0,0,0,0,483,9661,483,9661,0,HMGP,D,5,No,No,Yes, ,Yes, , ,-9540862.830319308,3527136.264817037
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,4 Classroom,R, ,0,0,0,0,580,9401,470,9401,580,HMGP,No,No,No,No,Yes, ,Yes, , ,-9538850.80451574,3554319.1398440883
Cedar Grove ES,2826 East 15th St,Panama City,32405,BAY,"-85.62116198, 30.17427002",16R FU 32759 38899,SHELTER,RISK,1,1999,12 Classroom,R, ,0,0,0,0,306,4865,243,4865,306,HMGP,No,No,No,No,Yes, ,Yes, , ,-9531304.152305467,3525970.3559116996
Parker ES,640 S Hwy 22A,Panama City,32404,BAY,"-85.60051400, 30.13559902",16R FU 34800 34637,SHELTER,RISK,1,2007,2 Multipurpose,A, ,0,0,180,3600,0,0,180,3600,0,L,No,No,No,Yes,Yes, ,Yes, ,Yes,-9529005.629597895,3520991.7684137593
Oakland Terrace ES,2010 W 12th St,Panama City,32401,BAY,"-85.69123301, 30.17070302",16R FU 26016 38424,SHELTER,RISK,1,2000,13 Classroom,R, ,0,0,0,0,224,3365,168,3365,294,HMGP,No,No,No,No,Yes, ,Yes, , ,-9539104.424116118,3525511.0505374833
Tommy Smith ES,5044 Tommy Smith Way,Panama City,32404,BAY,"-85.56411399, 30.24187200",16R FU 38157 46459,SHELTER,RISK,1,1991,1 Classroom,R, ,0,0,0,0,235,4708,235,4708,0,HMGP,No,No,No,No,Yes, ,Yes, , ,-9524953.599351915,3534678.2755312514
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,1 Admin / Clinic,R, ,0,0,0,0,267,5340,267,5340,267, ,No,No,No,No,Yes, ,Yes, , ,-9538850.80451574,3554319.1398440883
Moore ES,1900 Michigan Ave,Panama City,32405,BAY,"-85.70702904, 30.18332398",16R FU 24479 39805,SHELTER,RISK,1,1996,5 Media (13),R, ,0,0,0,0,46,925,46,925,0,HMGP,D,5,No,No,Yes, ,Yes, , ,-9540862.830319308,3527136.264817037
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,5 Classroom,R, ,0,0,0,0,686,11518,576,11518,686,HMGP,No,No,No,No,Yes, ,Yes, , ,-9538850.80451574,3554319.1398440883
Tommy Smith ES,5044 Tommy Smith Way,Panama City,32404,BAY,"-85.56411399, 30.24187200",16R FU 38157 46459,SHELTER,RISK,1,1991,3 Classroom,R, ,0,0,0,0,426,8515,426,8515,0,HMGP,No,No,No,No,Yes, ,Yes, , ,-9524953.599351915,3534678.2755312514
Merriam-Cherry St. ES,1125 Cherry St,Panama City,32401,BAY,"-85.64585699, 30.14689699",16R FU 30417 35837,SHELTER,RISK,1,1996,11 Multipurpose / Cafeteria,A, ,0,0,253,5054,0,0,253,5054,0,L,C,No,No,Yes,Yes, ,Yes, ,Yes,-9534053.188710721,3522446.091064311
Bay HS,1204 Harrison Ave,Panama City,32405,BAY,"-85.65870603, 30.17061400",16R FU 29148 38450,SHELTER,RISK,1,2001,7 Cafeteria,R, ,0,0,0,0,680,13609,680,13609,967, ,No,No,No,No,Yes, ,Yes, , ,-9535483.537152587,3525499.5886440263
New Horizons Learning Center,3100 Minnesota Ave,Panama City,32405,BAY,"-85.64554131, 30.20228600",16R FU 30374 41975,SHELTER,RISK,1,0,2,A, ,0,0,222,4443,0,0,222,4443,0,L,No,No,No,Yes,Yes, ,Yes, ,Yes,-9534018.04754958,3529578.413888674
Waller ES,11332 Hwy 338,Youngstown,32466,BAY,"-85.57356000, 30.31227500",16R FU 37151 54250,SHELTER,RISK,1,1996,3 Cafeteria,R, ,0,0,0,0,82,1638,82,1638,0,L,No,No,No,No,Yes, ,Yes, , ,-9526005.124572664,3543753.3694607383
Jinks MS,600 W 11th St,Panama City,32401,BAY,"-85.66797901, 30.16873000",16R FU 28258 38231,SHELTER,RISK,1,2003,6 Band / Classroom,R, ,0,0,0,0,125,2769,138,2769,125,HMGP,No,No,No,No,Yes, ,Yes, , ,-9536515.800897287,3525257.0021706247
Rosenwald HS,1310 E 11th St,Panama City,32401,BAY,"-85.64126698, 30.16684701",16R FU 30833 38053,SHELTER,RISK,1,2002,13 Classroom,R, ,0,0,0,0,175,3493,175,3493,202, ,No,No,No,No,Yes, ,Yes, , ,-9533542.230664534,3525014.549776254
Starke ES,1000 Weldon St,Starke,32091,BRADFORD,"-82.12257998, 29.95120000",17R LP 91673 13907,SHELTER,RISK,3,1996,5 Classroom / Music,R, ,0,0,0,0,230,4609,230,4609,307,"L, S, HMGP",No,No,No,No,Yes, , , , ,-9141843.786245741,3497278.5995742497
Bradford MS,58 North Orange St,Starke,32091,BRADFORD,"-82.11490652, 29.94560105",17R LP 92407 13280,SHELTER,RISK,3,1999,6 Music,R, ,0,0,0,0,52,1040,52,1040,0,1621X,No,No,No,No,Yes, , , , ,-9140989.58048428,3496559.2801759248
Hampton ES,10501 Hampton Ave,Hampton,32044,BRADFORD,"-82.12928997, 29.86913462",17R LP 90936 04819,SHELTER,RISK,3,2000,5 Classroom,R, ,0,0,0,0,124,1900,95,1900,0,1621X,No,No,No,No,Yes, , , , ,-9142590.738901023,3486739.385284808
Starke ES,1000 Weldon St,Starke,32091,BRADFORD,"-82.12257998, 29.95120000",17R LP 91673 13907,SHELTER,RISK,3,1996,6 Classroom,R, ,0,0,0,0,235,4700,235,4700,352,"L, S, HMGP",No,No,No,No,Yes, , , , ,-9141843.786245741,3497278.5995742497
Starke ES,1000 Weldon St,Starke,32091,BRADFORD,"-82.12257998, 29.95120000",17R LP 91673 13907,SHELTER,RISK,3,1996,2 Classroom,R, ,0,0,0,0,281,5622,281,5622,363,"L, S, HMGP",No,No,No,No,Yes, , , , ,-9141843.786245741,3497278.5995742497
Bradford MS,58 North Orange St,Srtarke,32091,BRADFORD,"-82.11490652, 29.94560105",17R LP 92407 13280,SHELTER,RISK,3,1999,7 Classroom,R, ,0,0,0,0,218,4956,248,4956,0,1621X,No,No,No,No,Yes, , , , ,-9140989.58048428,3496559.2801759248
Central MS,2600 Wingate Blvd,W Melbourne,32904,BREVARD,"-80.66112327, 28.06092648",17R NM 33300 03997,SHELTER,RISK,5,1996,3 Music / Classroom,R, ,0,0,0,0,395,7896,395,7896,395,"F, S",No,No,No,No,Yes, , , , ,-8979155.168796007,3256657.3984270263
Meadowlane Primary ES,2800 Wingate Blvd,Melbourne,32904,BREVARD,"-80.66685852, 28.06106061",17R NM 32736 04011,SHELTER,RISK,5,1994,4 Classroom,R,230 KW for campus,0,0,0,0,269,5388,269,5388,269, ,No,No,No,No,Yes, , , , ,-8979793.613920985,3256674.318805452
Heritage HS,2353 W Malabar Rd,Palm Bay,32907,BREVARD,"-80.75432896, 27.99409662",17R NL 24156 96572,SHELTER,RISK,5,2009,5 Classroom,A,400 KW for campus,730,14595,0,0,0,0,730,14595,730, ,No,No,AE,No,Yes, , , , ,-8989530.778981596,3248229.5287490217
Long Leaf ES,4290 N Wickham Rd,Melbourne,32935,BREVARD,"-80.67417102, 28.17865702",17R NM 31983 17036,SHELTER,RISK,5,1997,1 Main,R, ,0,0,0,0,1943,38864,1943,38864,1303,"F, S",No,No,No,No,Yes, , , , ,-8980607.638136556,3271517.0816820343
Viera HS,6103 Stadium Pkwy,Viera,32940,BREVARD,"-80.73595001, 28.25228500",17R NM 25901 25178,SHELTER,RISK,5,2005,4 Classroom,A,600 KW for campus,779,15575,0,0,0,0,779,15575,779, ,No,No,No,No,Yes, , , , ,-8987484.843283154,3280818.5509851966
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,32908,BREVARD,"-80.67601797, 27.95104698",17R NL 31869 91821,SHELTER,RISK,5,1997,2 Media / Classroom,R,500 KW for campus,0,0,0,0,122,2432,122,2432,0, ,No,No,No,No,Yes, , , , ,-8980813.239859637,3242803.3347161207
Enterprise ES,7000 Enterprise Rd,Port St. John,32927,BREVARD,"-80.82356743, 28.47554708",17R NM 17270 49895,SHELTER,RISK,5,1994,5 Classroom,R,230 KW for campus,0,0,0,0,376,7523,376,7523,376,HMGP,No,No,No,No,Yes, , , , ,-8997238.370829623,3309062.7752577914
Discovery ES,1275 Glendale Ave NW,Palm Bay,32905,BREVARD,"-80.71874598, 28.02940902",17R NM 27646 00492,SHELTER,RISK,5,2003,10 Classroom,A,230 KW for campus,0,0,194,3888,0,0,194,3888,194,L,No,No,No,Yes,Yes, , , , ,-8985569.700066257,3252682.0999483233
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,32909,BREVARD,"-80.67601797, 27.95104698",17R NL 31869 91821,SHELTER,RISK,5,2008,9 Auditorium,R,500 KW for campus,0,0,0,0,470,9401,470,9401,0, ,No,No,No,No,Yes, , , , ,-8980813.239859637,3242803.3347161207
Hans Christian Andersen ES,3011 S Fiske Blvd,Rockledge,32955,BREVARD,"-80.74414298, 28.30920001",17R NM 25084 31481,SHELTER,RISK,5,1990,3 Classroom,R, ,0,0,0,0,355,7103,355,7103,355,"F, S",No,No,No,No,Yes, , , , ,-8988396.881083794,3288013.062224985
John F. Turner Sr. ES,3175 Jupiter Blvd SE,Palm Bay,32909,BREVARD,"-80.66043277, 27.98746686",17R NL 33391 95860,SHELTER,RISK,5,2003,2 Classroom,A, ,0,0,244,4878,0,0,244,4878,220, ,No,No,No,Yes,Yes, , , , ,-8979078.302802503,3247393.7387252063
Palm Bay Community Center,1951 NW Malabar Rd,Palm Bay,32907,BREVARD,"-80.73103450, 27.99901984",17R NL 26445 97122,SHELTER,RISK,5,2005,Main,A,400 KW,484,9675,0,0,0,0,484,9675,484, ,No,No,No,No,Yes, ,Yes, , ,-8986937.651397401,3248850.2145849587
