Name,Address,City,Zip,COUNTY,Notes,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,TTL_BEDS,x,y
NORTH FLORIDA RTMT. VILLAGE,8000 NW 27TH BOULEVARD,GAINESVILLE, ,ALACHUA,4855,"-82.42719000,29.67731500",17R LN 61900 83881,,,ASSISTED LIVING FACILITY,140,-9175752.81835272,3462138.766077129
EMERITUS AT GAINESVILLE,1001 SW 62ND BLVD,GAINESVILLE, ,ALACHUA,9394,"-82.39816900,29.64238000",17R LN 64662 79976,,,ASSISTED LIVING FACILITY,110,-9172522.215343654,3457663.4581814
LIFESOUTH COMMUNITY BLOOD CENTERS INC,4039 NEWBERRY RD,GAINESVILLE, ,ALACHUA,800000840,"-82.38658587,29.65371446",17R LN 65798 81218,,,BLOOD BANK,0,-9171232.787558762,3459115.275940142
ORTHOPAEDIC SURGERY CENTER,4600 NEWBERRY RD,GAINESVILLE,32607,ALACHUA,1105,"-82.39257600,29.65678000",17R LN 65222 81565,,,AMBULATORY SURGICAL CENTER,0,-9171899.605508313,3459507.965309147
EYE SURGICENTER LLC,2521 NW 41ST ST,GAINESVILLE,32606,ALACHUA,982,"-82.38645500,29.67644900",17R LN 65841 83737,,,AMBULATORY SURGICAL CENTER,0,-9171218.218883594,3462027.8093961473
MELROSE COUNTRY MANOR CHRISTIAN ALF,24715 NE STATE ROAD 26,MELROSE,32666,ALACHUA,9302,"-82.06106494,29.70732981",17R LN 97360 86826, ,18781 000 000,ASSISTED LIVING FACILITY,15,-9134995.962716525,3465985.0204152176
"MAYFLOWER ASSITED LIVING, THE",19880 N US HIGHWAY 441,HIGH SPRINGS, ,ALACHUA,9545,"-82.60091500,29.83724200",17R LP 45333 01825,,,ASSISTED LIVING FACILITY,15,-9195091.79685806,3482645.9290677435
STERLING HOUSE OF GAINESVILLE,4601 N.W. 53RD AVENUE,GAINESVILLE, ,ALACHUA,9004,"-82.39233300,29.70320600",17R LN 65308 86709,,,ASSISTED LIVING FACILITY,60,-9171872.554825727,3465456.5060935165
MISTY MEADOWS,103 NW 298TH STREET,NEWBERRY, ,ALACHUA,8031,"-82.65641000,29.64426000",17R LN 39664 80514,,,ASSISTED LIVING FACILITY,15,-9201269.472019037,3457904.253757874
PLANTATION OAKS SENIOR LIVING RESIDENCE,201 NE 1ST AVENUE,HIGH SPRINGS, ,ALACHUA,11967,"-82.59382300,29.82559400",17R LP 46001 00525,,,ASSISTED LIVING FACILITY,48,-9194302.319013808,3481151.2199504646
CLARE BRIDGE OF GAINESVILLE,4607 NW 53RD AVENUE,GAINESVILLE, ,ALACHUA,9442,"-82.39237100,29.70323300",17R LN 65304 86712,,,ASSISTED LIVING FACILITY,38,-9171876.784899678,3465459.9664276135
HARBORCHASE OF GAINESVILLE,1415 FORT CLARKE BLVD,GAINESVILLE, ,ALACHUA,9815,"-82.43365200,29.66485000",17R LN 61257 82508,,,ASSISTED LIVING FACILITY,79,-9176472.16490295,3460541.773223431
SWEETWATER AT DUCK POND ALF LLC,207 NE 7TH ST,GAINESVILLE, ,ALACHUA,12142,"-82.31757000,29.65349800",17R LN 72478 81116,,,ASSISTED LIVING FACILITY,12,-9163549.975776082,3459087.548091868
SOUTHWEST RETIREMENT HOME,3207 SW 42ND PLACE,GAINESVILLE, ,ALACHUA,6688,"-82.36966900,29.61415400",17R LN 67384 76815,,,ASSISTED LIVING FACILITY,12,-9169349.609947966,3454048.73289857
H3 DIRECT CARE LLC,105 NE 18TH TER,GAINESVILLE, ,ALACHUA,12294,"-82.30103000,29.65308100",17R LN 74078 81052,,,ASSISTED LIVING FACILITY,5,-9161708.751331367,3459034.132346831
LOVING CARE LIVING LLC,1205 NW 9 AVENUE,GAINESVILLE, ,ALACHUA,12083,"-82.33755100,29.66028300",17R LN 70553 81890,,,ASSISTED LIVING FACILITY,8,-9165774.250461832,3459956.707128233
OAK HAMMOCK AT UNIVERSITY OF FLORIDA,2680 SW 53 RD LANE,GAINESVILLE, ,ALACHUA,10493,"-82.35987800,29.60399500",17R LN 68318 75678,,,ASSISTED LIVING FACILITY,70,-9168259.680813806,3452747.981815238
FRESENIUS MEDICAL CARE MACCLENNY,244 NORTH 3RD ST,MACCLENNY, ,BAKER,102865,"-82.11993636,30.28614803",17R LP 92292 51024,,,END-STAGE RENAL DISEASE,0,-9141549.499626251,3540384.7883773055
CHILDREN'S MEDICAL CENTER,6704 E MT VERNON STREET,GLEN SAINT MARY, ,BAKER,108940,"-82.15442700,30.27757500",17R LP 88965 50107,,,RURAL HEALTH CLINIC,0,-9145388.980055278,3539279.653403893
CHILDREN'S MEDICAL CENTER,1419 S 6TH ST,MACCLENNY, ,BAKER,108932,"-82.12271000,30.26472400",17R LP 92002 48652,,,RURAL HEALTH CLINIC,0,-9141858.259770941,3537623.2328065713
W FRANK WELLS NURSING HOME,210 N 2ND ST,MACCLENNY, ,BAKER,1581096,"-82.11765997,30.28494068",17R LP 92510 50888,,,SKILLED NURSING FACILITY,68,-9141296.093277961,3540229.145428286
MACCLENNY NURSING AND REHAB CENTER,755 S 5TH ST,MACCLENNY, ,BAKER,1222096,"-82.11957600,30.27259400",17R LP 92312 49522,,,SKILLED NURSING FACILITY,120,-9141509.384544345,3538637.605237228
COMMUNITY HEALTH AND REHABILITATION CENT,3611 TRANSMITTER ROAD,PANAMA CITY, ,BAY,130470978,"-85.60755300,30.21401200",16R FU 34015 43319,,,SKILLED NURSING FACILITY,120,-9529789.208054645,3531088.8595728073
EMERALD SHORES HEALTH AND REHABILITATION,626 NORTH TYNDALL PARKWAY,CALLAWAY, ,BAY,1292096,"-85.59096600,30.15939100",16R FU 35687 37285,,,SKILLED NURSING FACILITY,77,-9527942.751679182,3524054.5677552703
PANAMA CITY NURSING CENTER,924 W 13TH ST,PANAMA CITY, ,BAY,14270951,"-85.67417200,30.17162800",16R FU 27658 38545,,,SKILLED NURSING FACILITY,120,-9537205.201140864,3525630.154317354
GLEN COVE NURSING PAVILION,1027 E HWY 98,PANAMA CITY, ,BAY,11740962,"-85.64621400,30.15609800",16R FU 30370 36856,,,SKILLED NURSING FACILITY,115,-9534092.930864552,3523630.6077856286
LISENBY ON LAKE CAROLINE,1400 W 11TH ST,PANAMA CITY, ,BAY,1296096,"-85.68187100,30.16805800",16R FU 26921 38141,,,SKILLED NURSING FACILITY,22,-9538062.249940792,3525170.4754103664
CLIFFORD CHESTER SIMS STATE VETERANS NUR,4419 TRAM ROAD,PANAMA CITY, ,BAY,130471027,"-85.58784200,30.17414600",16R FU 35967 38924,,,SKILLED NURSING FACILITY,120,-9527594.989534665,3525954.3861115556
BAY CENTER,1336 ST ANDREWS BLVD,PANAMA CITY, ,BAY,10340961,"-85.68195200,30.20068400",16R FU 26871 41757,,,SKILLED NURSING FACILITY,160,-9538071.26684637,3529372.0711961747
SEA BREEZE HEALTH CARE,1937 JENKS AVE,PANAMA CITY, ,BAY,11870961,"-85.66273300,30.18400200",16R FU 28743 39930,,,SKILLED NURSING FACILITY,120,-9535931.817590984,3527223.579349312
ST ANDREWS BAY SKILLED NURSING AND REHAB,2100 JENKS AVE,PANAMA CITY, ,BAY,1366095,"-85.66260000,30.18648000",16R FU 28753 40204,,,SKILLED NURSING FACILITY,120,-9535917.011961585,3527542.7004872244
LIFE MANAGEMENT CENTER OF NORTHWEST FLOR,525 EAST 15TH STREET BUILDING E,PANAMA CITY, ,BAY,1469,"-85.61650000,30.20203000",16R FU 33170 41981,,,RESIDENTIAL TREATMENT FACILITY,20,-9530785.18351759,3529545.439792592
PANAMA CITY DIALYSIS CENTER,615 HWY 231,PANAMA CITY, ,BAY,102514,"-85.65258000,30.18122700",16R FU 29724 39633,,,END-STAGE RENAL DISEASE,0,-9534801.59073216,3526866.2196984985
FRESENIUS MEDICAL CARE PANAMA CITY,2100 HARRISON AVE,PANAMA CITY, ,BAY,682506,"-85.65851400,30.18525900",16R FU 29148 40074,,,END-STAGE RENAL DISEASE,0,-9535462.160594853,3527385.457010915
WEST BEACH DIALYSIS CENTER,16201 PANAMA CITY BEACH PKWY STE 102,PANAMA CITY BEACH, ,BAY,102863,"-85.87903700,30.22710400",16R FU 07870 44482,,,END-STAGE RENAL DISEASE,0,-9560010.668671867,3532775.475082769
LIFE MANAGEMENT CENTER OF NORTHWEST FLOR,525 EAST 15TH STREET BUILDING E,PANAMA CITY, ,BAY,1469,"-85.65368100,30.17512800",16R FU 29626 38956,,,CRISIS STABILIZATION UNIT,20,-9534924.153493362,3526080.8361212793
COASTAL KIDNEY CENTER,510 NORTH MACARTHUR AVE,PANAMA CITY, ,BAY,102813,"-85.64923000,30.15769100",16R FU 30078 37029,,,END-STAGE RENAL DISEASE,0,-9534428.670437057,3523835.6982042203
"LASER AND SURGERY CENTER, THE",2500 MARTIN LUTHER KING JR BLVD,PANAMA CITY,32405,BAY,1099,"-85.64978500,30.19326200",16R FU 29978 40970,,,AMBULATORY SURGICAL CENTER,0,-9534490.45271467,3528416.139369799
NORTHWEST FLORIDA SURGERY CENTER,767 AIRPORT RD,PANAMA CITY,32405,BAY,745,"-85.67155500,30.18570200",16R FU 27891 40108,,,AMBULATORY SURGICAL CENTER,0,-9536913.87802822,3527442.507471412
SURGICAL CENTER FOR EXCELLENCE,202 DOCTORS DR,PANAMA CITY,32405,BAY,1222,"-85.66529500,30.18846800",16R FU 28491 40422,,,AMBULATORY SURGICAL CENTER,0,-9536217.017999224,3527798.7243889663
NORTHWEST FLORIDA GASTROENTEROLOGY CENTE,204B E 19TH ST,PANAMA CITY,32405,BAY,952,"-85.65818500,30.18235100",16R FU 29183 39752,,,AMBULATORY SURGICAL CENTER,0,-9535425.536476946,3527010.965251855
PANAMA CITY SURGERY CENTER,1800 JENKS AVE,PANAMA CITY,32405,BAY,1178,"-85.66258700,30.18108300",16R FU 28761 39606,,,AMBULATORY SURGICAL CENTER,0,-9535915.564841868,3526847.6757997656
MULLIS EYE INSTITUTE,1600 JENKS AVE,PANAMA CITY,32405,BAY,948,"-85.66225700,30.17860200",16R FU 28796 39332,,,AMBULATORY SURGICAL CENTER,0,-9535878.829429874,3526528.1858110502
PROVISION LIVING AT PANAMA CITY LLC,6012 MAGNOLIA BEACH ROAD,PANAMA CITY, ,BAY,10754,"-85.75075100,30.15885800",16R FU 20299 37047,,,ASSISTED LIVING FACILITY,60,-9545729.936411723,3523985.94534509
MATHISON RETIREMENT CENTER,3637 WEST HIGHWAY 390,PANAMA CITY, ,BAY,9945,"-85.66991500,30.21570000",16R FU 28011 43434,,,ASSISTED LIVING FACILITY,74,-9536731.314085279,3531306.3086297004
SUMMER'S LANDING,615 FLORIDA AVENUE,LYNN HAVEN, ,BAY,6048,"-85.64967000,30.24879000",16R FU 29916 47125,,,ASSISTED LIVING FACILITY,47,-9534477.650973028,3535569.7321212874
STERLING HOUSE OF PANAMA CITY,2575 HARRISON AVENUE,PANAMA CITY, ,BAY,9293,"-85.65831400,30.19471900",16R FU 29155 41122,,,ASSISTED LIVING FACILITY,50,-9535439.896667771,3528603.7910332824
"DAYSPRING RETIREMENT CENTER, INC.",2906 COCOA AVENUE,PANAMA CITY, ,BAY,8888,"-85.61924000,30.20069000",16R FU 32908 41829,,,ASSISTED LIVING FACILITY,9,-9531090.198967436,3529372.8441114137
COVE MANOR RETIREMENT,521 EAST BEACH DRIVE,PANAMA CITY, ,BAY,5888,"-85.65863200,30.14789900",16R FU 29185 35933,,,ASSISTED LIVING FACILITY,35,-9535475.296322705,3522575.082460915
GARDEN VIEW ALF,526 N. MARY ELLA AVE.,PANAMA CITY, ,BAY,5223,"-85.57198000,30.15756000",16R FU 37518 37105,,,ASSISTED LIVING FACILITY,40,-9525829.239783948,3523818.832435484
BAY CENTER,1336 ST ANDREWS BLVD,PANAMA CITY,32405,BAY,,"-85.68249759,30.19847650",16R FU 26821 41512,,,ASSISTED LIVING FACILITY,,-9538132.00167947,3529087.7441871394
ROBINSONS RESIDENTIAL CARE,11921 CARUSO DRIVE,PANAMA CITY, ,BAY,7166,"-85.50425100,30.11541800",16R FU 44102 32518,,,ASSISTED LIVING FACILITY,34,-9518289.682002766,3518394.39512637
SUNRISE HOME CARE SERVICES,9926 PROSPECT AVENUE,HAMPTON, ,BRADFORD,5084,"-82.13671400,29.85714500",17R LP 90206 03498,,,ASSISTED LIVING FACILITY,28,-9143417.17788458,3485200.3500775658
PARKSIDE ASSISTED LIVING,329 CHURCH ST,STARKE, ,BRADFORD,10278,"-82.10775700,29.94179900",17R LP 93093 12852,,,ASSISTED LIVING FACILITY,14,-9140193.69942021,3496070.8391216975
BMA OF STARKE,444 W MADISON ST,STARKE, ,BRADFORD,102668,"-82.11323800,29.94423200",17R LP 92567 13126,,,END-STAGE RENAL DISEASE,0,-9140803.841590911,3496383.399226337
CHILDRENS MEDICAL CLINIC - STARKE,319 W CALL ST,STARKE, ,BRADFORD,108994,"-82.11191400,29.94474200",17R LP 92695 13182,,,RURAL HEALTH CLINIC,0,-9140656.454616114,3496448.9184310436
BRADFORD MEDICAL GROUP,922 E CALL STREET,STARKE, ,BRADFORD,103998,"-82.10296000,29.94220300",17R LP 93557 12892,,,RURAL HEALTH CLINIC,0,-9139659.699847847,3496122.7392173703
"ARMISTEAD, NAOMI JANACE",2876 SE 109 ST,STARKE, ,BRADFORD,6906444,"-82.09334500,29.87532100",17R LP 94414 05471,,,ADULT FAMILY CARE HOME,5,-9138589.362964435,3487533.566726499
WINDSOR MANOR,602 E LAURA ST,STARKE, ,BRADFORD,1608096,"-82.10731500,29.94043600",17R LP 93134 12700,,,SKILLED NURSING FACILITY,120,-9140144.496138657,3495895.7420448
BRADFORD TERRACE NURSING CENTER,808 S COLLEY RD,STARKE, ,BRADFORD,16030961,"-82.10232000,29.93617100",17R LP 93612 12223,,,SKILLED NURSING FACILITY,120,-9139588.455425795,3495347.85632697
MELBOURNE TERRACE REHABILITATION CENTER,251 FLORIDA AVE,MELBOURNE,32901,BREVARD,13400962,"-80.61817132,28.05590793",17R NM 37523 03454,,,SKILLED NURSING FACILITY,120,-8974373.78035002,3256024.3306626664
ROYAL OAKS NURSING AND REHAB CENTER,2225 KNOX MCRAE DR,TITUSVILLE,32780,BREVARD,14650962,"-80.82872758,28.57154734",17R NM 16750 60530,,,SKILLED NURSING FACILITY,120,-8997812.795318788,3321225.815136212
ATLANTIC SHORES NURSING AND REHAB CENTER,4251 STACK BLVD,MELBOURNE,32901,BREVARD,16420951,"-80.62836446,28.04677304",17R NM 36524 02439,,,SKILLED NURSING FACILITY,120,-8975508.475399027,3254872.081020169
WUESTHOFF PROGRESSIVE CARE CENTER,8050 SPYGLASS HILL RD,MELBOURNE,32940,BREVARD,16320961,"-80.70838151,28.23888663",17R NM 28609 23699,,,SKILLED NURSING FACILITY,114,-8984415.932802483,3279125.449422896
ANCHOR CARE AND REHABILITATION CENTER,1515 PORT MALABAR BLVD NE,PALM BAY,32905,BREVARD,14040951,"-80.60487702,28.01970022",17R NL 38842 99447,,,SKILLED NURSING FACILITY,120,-8972893.865861112,3251457.7637338466
LIFE CARE CENTER OF MELBOURNE,606 E SHERIDAN RD,MELBOURNE,32901,BREVARD,12390961,"-80.61151060,28.08917141",17R NM 38165 07141,,,SKILLED NURSING FACILITY,120,-8973632.312215522,3260220.9233274325
PALMS REHABILITATION AND HEALTHCARE CENTER,5405 BABCOCK ST NE,PALM BAY,32905,BREVARD,130470985,"-80.62138069,28.01490192",17R NL 37221 98910,,,SKILLED NURSING FACILITY,120,-8974731.045680055,3250852.7106343345
ROCKLEDGE HEALTH AND REHABILITATION CENTER,587 BARTON BLVD,ROCKLEDGE,32955,BREVARD,15340961,"-80.73738199,28.33022578",17R NM 25742 33812,,,SKILLED NURSING FACILITY,107,-8987644.25132977,3290671.8611681797
CONSULATE HEALTH CARE OF MELBOURNE,3033 SARNO RD,MELBOURNE,32934,BREVARD,16220961,"-80.67451808,28.12078452",17R NM 31966 10625,,,SKILLED NURSING FACILITY,167,-8980646.27286464,3264210.506415994
LIFE CARE CENTER OF PALM BAY,175 VILLA NUEVA AVE,PALM BAY,32907,BREVARD,130471030,"-80.61533652,27.99986903",17R NL 37821 97247,,,SKILLED NURSING FACILITY,141,-8974058.211076379,3248957.2774811094
INDIAN RIVER CENTER,7201 GREENBORO DR,WEST MELBOURNE,32904,BREVARD,1348096,"-80.67633222,28.09371053",17R NM 31796 07625,,,SKILLED NURSING FACILITY,179,-8980848.221366698,3260793.689482179
COURTENAY SPRINGS VILLAGE,1200 S COURTENAY PKWY,MERRITT ISLAND,32952,BREVARD,11070961,"-80.68726301,28.33820858",17R NM 30652 34708,,,SKILLED NURSING FACILITY,96,-8982065.032064186,3291681.458492524
TITUSVILLE REHABILITATION & NURSING CENTER,1705 JESS PARRISH CT,TITUSVILLE,32796,BREVARD,1561096,"-80.82165935,28.62688801",17R NM 17432 66662,,,SKILLED NURSING FACILITY,157,-8997025.964347998,3328242.408749933
HUNTINGTON PLACE CARE AND REHABILITATION,1775 HUNTINGTON LN,ROCKLEDGE,32955,BREVARD,10030961,"-80.73547129,28.32565097",17R NM 25930 33305,,,SKILLED NURSING FACILITY,100,-8987431.553509085,3290093.312391479
CARNEGIE GARDENS NURSING CENTER,1415 S HICKORY ST,MELBOURNE,32901,BREVARD,10740961,"-80.61278672,28.08669741",17R NM 38041 06866,,,SKILLED NURSING FACILITY,138,-8973774.36872168,3259908.753454782
ISLAND HEALTH AND REHABILITATION CENTER,125 ALMA BLVD,MERRITT ISLAND,32953,BREVARD,1349096,"-80.70603770,28.38291648",17R NM 28800 39656,,,SKILLED NURSING FACILITY,120,-8984155.020744825,3297337.1373593835
"DUGAN, VANESSA",800 LAKEWOOD CIR,MERRITT ISLAND,32952,BREVARD,6906586,"-80.67084114,28.37032169",17R NM 32252 38269,,,ADULT FAMILY CARE HOME,5,-8980236.957770249,3295743.619536905
"LEE, COLLEEN",174 SYKES LOOP DR,MERRITT ISLAND,32953,BREVARD,6906563,"-80.69821793,28.39115851",17R NM 29564 40571,,,ADULT FAMILY CARE HOME,5,-8983284.527606746,3298380.0394109674
"JONES, PATRICIA",207 OLIVICK CIR NE,PALM BAY,32907,BREVARD,6906308,"-80.66853442,28.03080397",17R NM 32581 00658,,,ADULT FAMILY CARE HOME,4,-8979980.174665647,3252858.0211603255
WEST MELBOURNE HEALTH & REHABILITATION CENTER,2125 W NEW HAVEN AVE,WEST MELBOURNE,32904,BREVARD,1593096,"-80.65671049,28.07799095",17R NM 33728 05889,,,SKILLED NURSING FACILITY,180,-8978663.940338552,3258810.22649765
"PROPHETE, JEANNETTE",2460 S COURTENEY PKWY,MERRITT ISLAND,32952,BREVARD,6906335,"-80.67767954,28.31370790",17R NM 31599 31996,,,ADULT FAMILY CARE HOME,5,-8980998.204879671,3288583.0601315056
VISTA MANOR,1550 JESS PARRISH CT,TITUSVILLE,32796,BREVARD,1580096,"-80.81926379,28.62780916",17R NM 17666 66764,,,SKILLED NURSING FACILITY,120,-8996759.29091202,3328359.2323544547
"HEALTH CENTER OF MERRITT ISLAND, THE",500 CROCKETT BLVD,MERRITT ISLAND,32953,BREVARD,1365096,"-80.70816953,28.38963981",17R NM 28589 40400,,,SKILLED NURSING FACILITY,180,-8984392.334589269,3298187.864862251
AVANTE AT MELBOURNE INC,1420 S OAK ST,MELBOURNE,32901,BREVARD,13360961,"-80.61567455,28.08620200",17R NM 37757 06811,,,SKILLED NURSING FACILITY,110,-8974095.840943048,3259846.2433000426
