Name,Address,City,Zip,COUNTY,LONGLAT,USNG,FACILITY_TYPE,SHELTER_TYPE,RPC_Region,Year_Built,Building,AS_IS_A_Retrofit_R,Generator_Type,PreMitigation_Capacity_Spaces,PreMitigation_Square_Footage,EHPA_Capacity_Gained_Spaces,EHPA_Square_Footage_Gained,Retrofit_Capacity_Gained_Spaces,Retrofit_Square_Footage_Gained,Risk_Capacity_Spaces,Risk_Square_Footage,Planned_Usage_Spaces,FundingSource_F_Federal_State_S,Evacuation_Zone,SURGE_ZONE,FLOOD_ZONE,EHPA,General_Pop,SPECIAL_NEEDS,Pet_Friendly,Does_not_meet_ARC_4496,Survey_Needed,x,y
Max K. Rodes Community Center,34410 Flanagan Ave W,Melbourne,32904,BREVARD,"-80.67589438, 28.05723647",17R NM 31850 03585,SHELTER,RISK,5,2011,Main,A,400kw,161,9675,0,0,0,0,161,9675,161, ,No,No,No,No, ,Yes, , ,Yes,-8980799.48123925,3256191.917528683
Oak Park ES,3395 Dairy Road,Titusville,32796,BREVARD,"-80.85131902, 28.63631702",17R NM 14531 67702,SHELTER,RISK,5,1967,6 Music,R,"230kw, HW",0,0,0,0,11,630,11,630,11, ,No,No,No,No, ,Yes, , , ,-9000327.663580246,3329438.2730352716
Rockledge HS,220 Raider Rd,Rockledge,32955,BREVARD,"-80.72239501, 28.34179495",17R NM 27208 35096,SHELTER,RISK,5,1992,1 Admin,R,650 kW,0,0,0,0,190,11939,190,11939,597,HMGP,No,No,No,No, ,Yes, , , ,-8985975.908538487,3292135.0566485557
Oak Park ES,3395 Dairy Rd,Titusville,32796,BREVARD,"-80.85131902, 28.63631702",17R NM 14531 67702,SHELTER,RISK,5,1967,2 Classroom,R,230 kW,0,0,0,0,35,2102,35,2102,35, ,No,No,No,No, ,Yes, , , ,-9000327.663580246,3329438.2730352716
Quest ES,8751 Trafford Dr,Melbourne,32940,BREVARD,"-80.72384897, 28.22133901",17R NM 27096 21752,SHELTER,RISK,5,2004,1 Main,A,750 KW and 90 KW,0,0,697,41813,0,0,697,41813,375, ,No,No,No,Yes, ,Yes, , , ,-8986137.761846239,3276908.3435317464
Rockledge HS,220 Raider Rd,Rockledge,32955,BREVARD,"-80.72239501, 28.34179495",17R NM 27208 35096,SHELTER,RISK,5,1992,8 Voc Classroom,R,650 kW,0,0,0,0,79,4716,79,4716,236,HMGP,No,No,No,No, ,Yes, , , ,-8985975.908538487,3292135.0566485557
South Mainland Community Center,3700 Allen Ave,Micco,32976,BREVARD,"-80.50115848, 27.85847828",17R NL 49111 81625,SHELTER,RISK,5,2001,Gym,R,220kw,0,0,0,0,128,7689,128,7689,128, ,D,No,No,No, ,Yes, , , ,-8961347.970361263,3231142.8268077807
Sunrise ES,1651 Mara Loma Blvd SE,Palm Bay,32909,BREVARD,"-80.62557903, 27.90895901",17R NL 36845 87173,SHELTER,RISK,5,2006,Main,A,900kW,0,0,697,41813,0,0,697,41813,697, ,No,No,No,Yes, ,Yes, , , ,-8975198.402655005,3237500.44544935
Oak Park ES,3395 Dairy Rd,Titusville,32796,BREVARD,"-80.85131902, 28.63631702",17R NM 14531 67702,SHELTER,RISK,5,1967,5 Classroom,R,"230kw,HW",0,0,0,0,49,2936,49,2936,49, ,No,No,No,No, ,Yes, , , ,-9000327.663580246,3329438.2730352716
Rockledge HS,220 Raider Rd,Rockledge,32955,BREVARD,"-80.72239501, 28.34179495",17R NM 27208 35096,SHELTER,RISK,5,1992,2 Music,R,650 kW,0,0,0,0,49,2929,49,2929,146,HMGP,No,No,No,No, ,Yes, , , ,-8985975.908538487,3292135.0566485557
Oak Park ES,3395 Dairy Rd,Titusville,32796,BREVARD,"-80.85131902, 28.63631702",17R NM 14531 67702,SHELTER,RISK,5,1967,7 Classroom,R,"230kw, HW",0,0,0,0,36,2145,36,2145,36, ,No,No,No,No, ,Yes, , , ,-9000327.663580246,3329438.2730352716
Ralph Williams ES,1700 Clubhouse Dr,Rockledge,32955,BREVARD,"-80.71706801, 28.28030599",17R NM 27746 28286,SHELTER,RISK,5,1998,Main,A,650kw,0,0,617,37049,0,0,617,37049,375, ,No,No,No,Yes, ,Yes, , , ,-8985382.908943305,3284360.1479224875
Oak Park ES,3395 Dairy Rd,Titusville,32796,BREVARD,"-80.85131902, 28.63631702",17R NM 14531 67702,SHELTER,RISK,5,1967,8 Classroom,R,"230kw, HW",0,0,0,0,62,3747,62,3747,62, ,No,No,No,No, ,Yes, , , ,-9000327.663580246,3329438.2730352716
WestGlades MS,11000 Holmberg Rd,Parkland,33026,BROWARD,"-80.27332000, 26.30460001",17R NK 72537 09620,SHELTER,RISK,10,2001,3 Gym / Music / Cafeteria,A,"Yes, unknown kW",0,0,394,23623,0,0,394,23623,250, ,No,No,0.20%,Yes, ,Yes, , ,Yes,-8935985.106159076,3036856.13191347
Sheridan Technical HS (Sunset School),3775 SW 16th St,Ft. Lauderdale,33312,BROWARD,"-80.19792103, 26.10059240",17R NJ 80203 87070,SHELTER,RISK,10,1996,21 Main,A,"Yes, unknown kW",0,0,471,28232,0,0,471,28232,55, ,No,No,No,Yes, ,Yes, , ,Yes,-8927591.73218065,3011545.0862360825
McNicol MS,1602 S 27th Ave,Hollywood,33020,BROWARD,"-80.16181000, 25.99762999",17R NJ 83887 75690,SHELTER,RISK,10,1997,3 Gym / Music / Cafeteria,A,"Yes, unknown kW",0,0,398,23896,0,0,398,23896,325, ,No,No,0.20%,Yes, ,Yes, , ,Yes,-8923571.870790975,2998787.4101959155
Indian Ridge MS,1355 S Nob Hill Rd,Davie,33324,BROWARD,"-80.28379796, 26.10354300",17R NJ 71614 87347,SHELTER,RISK,10,1995,2 Gym / Music / Cafeteria,A,"Yes, unknown kW",0,0,414,24827,0,0,414,24827,250, ,No,No,0.20%,Yes, ,Yes, , ,Yes,-8937151.5080029,3011910.8497603666
New River MS,3100 Riverland Rd,Ft. Lauderdale,33312,BROWARD,"-80.18632730, 26.09205057",17R NJ 81368 86132,SHELTER,RISK,10,1995,3 Gym / Music / Cafeteria,A, ,0,0,391,23456,0,0,391,23456,250, ,No,No,No,Yes, ,Yes, , ,Yes,-8926301.123426728,3010486.2747093523
Renaissance Center School,3630 W Educational Path,Lecanto,34461,CITRUS,"-82.49719297, 28.81830498",17R LM 53910 88775,SHELTER,RISK,7,2005,1 Main,A,"Yes, unknown kW",0,0,79,4752,0,0,79,4752,91, ,No,No,No,Yes, ,Yes, , , ,-9183545.512941038,3352540.593565257
Citrus HS,600 W Highland Blvd,Inverness,34452,CITRUS,"-82.33776900, 28.83481201",17R LM 69488 90419,SHELTER,RISK,7,2002,21 Cafeteria,A,750 kW,0,0,0,0,0,0,132,7930,157,L,No,No,No,No, ,Yes, , , ,-9165798.51824096,3354638.058391136
St. Johns River Community College,285 College Dr,Orange Park,32065,CLAY,"-81.77655136, 30.11694400",17R MP 25190 31998,SHELTER,RISK,4,0,"Thrasher / P,V,D",R,"90 kW, 80 kW",0,0,0,0,276,16578,276,16578,111, ,No,No,No,No, ,Yes, , , ,-9103324.056080757,3518590.777928954
Lake Asbury Junior HS,2851 Sandridge Rd,Green Cove Springs,32043,CLAY,"-81.80376298, 30.04474699",17R MP 22512 24015,SHELTER,RISK,4,2004,1 Cafeteria,A, ,0,0,93,5576,0,0,93,5576,298,L EHPA,No,No,No,Yes, ,Yes, , , ,-9106353.239768287,3509302.94897848
Westside ES,1956 SW County Rd 252B,Lake City,32024,COLUMBIA,"-82.69953999, 30.15302001",17R LP 36323 36961,SHELTER,RISK,3,1999,4 Cafeteria,A, ,0,0,69,4166,0,0,69,4166,0, ,No,No,No,Yes, ,Yes, , , ,-9206070.680403277,3523234.3423354975
Westside ES,1956 SW County Rd 252B,Lake City,32024,COLUMBIA,"-82.69953999, 30.15302001",17R LP 36323 36961,SHELTER,RISK,3,1999,2 Classroom,A, ,0,0,94,5622,0,0,94,5622,0, ,No,No,No,Yes, ,Yes, , , ,-9206070.680403277,3523234.3423354975
Westside ES,1956 SW County Rd 252B,Lake City,32024,COLUMBIA,"-82.69953999, 30.15302001",17R LP 36323 36961,SHELTER,RISK,3,1999,5 Classroom / Art,A, ,0,0,61,3666,0,0,61,3666,0, ,No,No,No,Yes, ,Yes, , , ,-9206070.680403277,3523234.3423354975
South Florida State College,2251 NE Turner Ave,Arcadia,34266,DESOTO,"-81.84244999, 27.22957999",17R ML 16584 12144,SHELTER,RISK,6,2003,100A Main,A,400 kW,0,0,0,0,117,7041,117,7041,352, ,No,No,No,No, ,Yes, , , ,-9110659.857928898,3152184.131686407
Turner Center Exhibit Hall,2260 NE Roan St,Arcadia,34266,DESOTO,"-81.83639051, 27.22380332",17R ML 17180 11500,SHELTER,RISK,6,0,Main,R,Unknown kW; located West of Bldg,227,13624,0,0,0,0,227,13624,140, ,No,No,No,No, ,Yes, , , ,-9109985.319723973,3151460.950233328
Dixie County HS,17924 SE Hwy 19,Cross City,32628,DIXIE,"-83.10721686, 29.62371997",17R KN 95977 78946,SHELTER,RISK,3,2017,4 Cafeteria / Band,A, ,0,0,0,0,0,0,137,8207,0, ,No,No,No,No, ,Yes, , , ,-9251453.061770918,3455273.672800762
Atlantic Coast HS,9735 R G Skinner Pkwy,Jacksonville,32256,DUVAL,"-81.50634598, 30.20280001",17R MP 51263 41365,SHELTER,RISK,4,2010,2 Cafeteria / Gym,A,"Yes, unknown kW",0,0,626,37536,0,0,626,37536,250,L,No,No,No,Yes, ,Yes, , , ,-9073244.931000097,3529644.620047502
Twin Lakes Academy ES (priority 5),8000 Point Meadows Dr,Jacksonville,32256,DUVAL,"-81.51819397, 30.22312398",17R MP 50133 43623,SHELTER,RISK,4,1997,1 (1st floor) Main,R,500 kW,0,0,0,0,455,27276,455,27276,857, ,No,No,No,No, ,Yes, , , ,-9074563.842863495,3532262.714193736
Waterleaf ES,450 Kernan Blvd N,Jacksonville,32225,DUVAL,"-81.49097902, 30.33278899",17R MP 52804 55764,SHELTER,RISK,4,2011,1C Classroom,A,475 kW for campus,0,0,157,9416,0,0,157,9416,180, ,No,No,No,Yes, ,Yes, , , ,-9071534.288494546,3546398.8919215156
Mandarin MS (Priority 3),5100 Hood Rd,Jacksonville,32257,DUVAL,"-81.58747098, 30.18900599",17R MP 43446 39874,SHELTER,RISK,4,1989,1F Classroom,R,100 kW for campus,0,0,0,0,0,0,307,18399,496,S HB7121,No,No,No,No, ,Yes, , , ,-9082275.72513386,3527868.0105308746
Waterleaf ES,450 Kernan Blvd N,Jacksonville,32225,DUVAL,"-81.49097902, 30.33278899",17R MP 52804 55764,SHELTER,RISK,4,2011,1D Dining,A,475 kW for campus,0,0,72,4306,0,0,72,4306,219,L,No,No,No,Yes, ,Yes, , , ,-9071534.288494546,3546398.8919215156
"The Legends Center of 
City of Jacksonville",5130 Soutel Dr,Jacksonville,32208,DUVAL,"-81.72721701, 30.39392500",17R MP 30139 62661,SHELTER,RISK,4,2010,1B Auditorium,A,475 kW,0,0,162,9718,0,0,162,9718,62,"L, S, F",C,No,No,Yes, ,Yes, , , ,-9097832.181289764,3554286.3943932466
Bartram Springs ES,14799 Bartram Springs Pkwy,Jacksonville,32258,DUVAL,"-81.49528396, 30.10892500",17R MP 52282 30958,SHELTER,RISK,4,2009,1C Classroom,A,475 kW for campus,0,0,124,7448,0,0,124,7448,0, ,No,No,No,Yes, ,Yes, , , ,-9072013.512931572,3517558.834168033
Oceanway MS (1st Priority),143 Oceanway Ave,Jacksonville,32218,DUVAL,"-81.62936902, 30.46661002",17R MP 39584 70659,SHELTER,RISK,4,2003,2 Cafeteria,R,"Yes, unknown kW",0,0,115,6884,0,0,115,6884,200, ,E,No,No,Yes, ,Yes, , , ,-9086939.792734597,3563670.326190474
Bartram Springs ES,14799 Bartram Springs Pkwy,Jacksonville,32258,DUVAL,"-81.49528396, 30.10892500",17R MP 52282 30958,SHELTER,RISK,4,2009,1D Cafeteria,A,475 kW for campus,0,0,75,4529,0,0,75,4529,436,L,No,No,No,Yes, ,Yes, , , ,-9072013.512931572,3517558.834168033
Landmark MS (Priority 4),101 Kernan Blvd N,Jacksonville,32225,DUVAL,"-81.48724798, 30.32335101",17R MP 53158 54716,SHELTER,RISK,4,1989,1E Cafeteria / Classroom,R,100 kW for campus,0,0,0,0,0,0,301,18054,496, ,No,No,No,No, ,Yes, , , ,-9071118.951487098,3545181.683611331
Enterprise Learning Academy (2nd Priority),8085 Old Middleburg Rd,Jacksonville,32222,DUVAL,"-81.82085603, 30.19984798",17R MP 20988 41215,SHELTER,RISK,4,1997,Main 1st Floor,R,400 kW and 150 kW,0,0,0,0,360,21600,360,21600,671, ,No,No,No,No, ,Yes, , , ,-9108256.029067177,3529264.391302162
Westview K-8,5270 Connie Jean Rd,Jacksonville,32210,DUVAL,"-81.82229302, 30.25247200",17R MP 20891 47047,SHELTER,RISK,4,2009,1 Classroom / Music,A, ,0,0,167,10020,0,0,167,10020,167,L,No,No,No,Yes, ,Yes, , , ,-9108415.994494349,3536044.2222744515
Pensacola State College,1000 College Ave,Pensacola,32504,ESCAMBIA,"-87.20057003, 30.48083000",16R DU 80749 72084,SHELTER,RISK,1,0,Lou Ross Athletics,R, ,0,0,0,0,0,0,558,33480,0, ,No,No,No,No, ,Yes, , ,Yes,-9707123.052196985,3565507.002346557
West Florida HS,2404 Longleaf Dr,Pensacola,32506,ESCAMBIA,"-87.29375841, 30.48647557",16R DU 71806 72729,SHELTER,RISK,1,2002,9 Gym / Cafeteria,A, ,0,0,0,0,0,0,291,14174,291,L,No,No,No,No, ,Yes, , , ,-9717496.735838871,3566236.268210399
West Florida HS,2404 Longleaf Dr,Pensacola,32506,ESCAMBIA,"-87.29375841, 30.48647557",16R DU 71806 72729,SHELTER,RISK,1,1992, 26 Classroom,R,HW 800 KW,0,0,0,0,89,6096,89,6096,103,S,No,No,No,No, ,Yes, , , ,-9717496.735838871,3566236.268210399
West Florida HS,2404 Longleaf Dr,Pensacola,32506,ESCAMBIA,"-87.29375841, 30.48647557",16R DU 71806 72729,SHELTER,RISK,1,1991,25 Cafeteria,R,HW 800 KW,0,0,0,0,222,12993,222,12993,254,S,No,No,No,No, ,Yes, , , ,-9717496.735838871,3566236.268210399
Rymfire ES,1425 Rymfire Dr,Palm Coast,32164,FLAGLER,"-81.22087001, 29.50527001",17R MN 78592 63987,SHELTER,RISK,4,2008,6 Classroom / Art,A, ,340,20374,0,0,0,0,340,20374,0, ,No,No,No,No, ,Yes, , , ,-9041465.891186757,3440114.1185991764
Buddy-Worth Campus,4500 Belle Terre Pkwy,Palm Coast,32164,FLAGLER,"-81.22291000, 29.53002001",17R MN 78400 66730,SHELTER,RISK,4,2007,Buddy Taylor MS 9 Classroom / Cafeteria,A,"Yes, unknown kW",0,0,0,0,0,0,1615,32305,536, ,No,No,No,No, ,Yes, ,Yes, ,-9041692.981575916,3443280.223817374
Rymfire ES,1425 Rymfire Dr,Palm Coast,32164,FLAGLER,"-81.22087001, 29.50527001",17R MN 78592 63987,SHELTER,RISK,4,2008,7 Gym,A,1000 kW,268,14323,0,0,0,0,268,16052,267, ,No,No,No,No, ,Yes, , , ,-9041465.891186757,3440114.1185991764
Rymfire ES,1425 Rymfire Dr,Palm Coast,32164,FLAGLER,"-81.22087001, 29.50527001",17R MN 78592 63987,SHELTER,RISK,4,2006,3 Cafeteria,A,1000 kW,0,0,123,7355,0,0,123,7355,122, ,No,No,No,Yes, ,Yes, , , ,-9041465.891186757,3440114.1185991764
Bell HS,930 S Main St,Bell,32619,GILCHRIST,"-82.85929998, 29.75151000",17R LN 20213 92699,SHELTER,RISK,3,1998,20 Health,R,"Yes, unknown kW",0,0,0,0,71,4276,71,4276,71, ,No,No,No,No, ,Yes, , ,Yes,-9223855.081805607,3471648.593967654
West Glades ES,2586 Hwy 731,LaBelle,33935,GLADES,"-81.44293071, 26.80701992",17R MK 55979 65137,SHELTER,RISK,8,2004,3 Classroom,A, ,0,0,124,7455,0,0,124,7455,50, ,No,No,No,Yes, ,Yes, , , ,-9066185.57500221,3099382.0571826603
Hamilton County HS,5683 US Highway 129 S,Jasper,32052,HAMILTON,"-82.93010954, 30.47547713",17R LP 14722 73057,SHELTER,RISK,3,2003,8 Cafeteria,A,350 kW for campus,0,0,76,4555,0,0,76,4555,0, ,No,No,No,Yes, ,Yes, , , ,-9231737.564993588,3564815.58616634
South Florida State College,2968 US 17 N,Bowling Green,33834,HARDEE,"-81.82153002, 27.60405002",17R ML 18930 53611,SHELTER,RISK,6,2003,100A Main,A,400 kW for campus,0,0,117,7041,0,0,117,7041,110, ,No,No,No,Yes, ,Yes, , , ,-9108331.057234969,3199144.6510876357
Challenger K-8,13400 Elgin Blvd,Spring Hill,34609,HERNANDO,"-82.50182296, 28.49581202",17R LM 53009 53047,SHELTER,RISK,7,2004,1 (300s) Cafeteria,A, ,0,0,216,12936,0,0,216,12936,184,L,No,No,No,Yes, ,Yes, , ,Yes,-9184060.92173693,3311629.379525266
The Arc Nature Coast Education Center,5283 Neff Lake Rd,Brooksville,34601,HERNANDO,"-82.32234797, 28.51053600",17R LM 70595 54472,SHELTER,RISK,7,0,Main,A,"Yes, unknown kW",0,0,0,0,0,0,66,3960,66, ,No,No,No,No, ,Yes, , ,Yes,-9164081.85747234,3313494.5183412605
Enrichment Center,800 John Gary Grubbs Blvd,Brooksville,34601,HERNANDO,"-82.40038500, 28.54999498",17R LM 63008 58930,SHELTER,RISK,7,0,Main,R,"Yes, unknown kW",0,0,0,0,80,4800,80,4800,0,"L,S",No,No,No,No, ,Yes, , ,Yes,-9172768.899682475,3318494.210227645
Riverview HS,11311 Boyette Rd,Riverview,33569,HILLSBOROUGH,"-82.31272798, 27.85179200",17R LL 70746 81476,SHELTER,RISK,7,1999,11 Classroom,A, ,0,0,193,11590,0,0,193,11590,400,"L, S",No,No,No,Yes, ,Yes, , ,Yes,-9163010.964668293,3230300.9695568876
Yeungling Center,12499 USF Bull Run Drive,Tampa,33617,HILLSBOROUGH,"-82.40499954, 28.05545110",17R LM 61919 04141,SHELTER,RISK,7,0,1 Main,R,"Yes, unknown kW",0,0,0,0,1500,90000,1500,90000,1000, ,No,No,No,No, ,Yes, , , ,-9173282.587542247,3255966.7057004906
D.G. Erwin Technical College,2010 E. Hillsborough Ave,Tampa,33610,HILLSBOROUGH,"-82.43598303, 27.99729698",17R LL 58798 97733,SHELTER,RISK,7,1957,1 Main,R, ,0,0,0,0,1000,60000,1000,60000,400,S,No,No,No,No, ,Yes, , , ,-9176731.653855965,3248633.0051219612
McLane MS,306 N Knights Ave,Brandon,33510,HILLSBOROUGH,"-82.28998603, 27.94297601",17R LL 73092 91555,SHELTER,RISK,7,2004,9 Gym,R,"Yes, unknown kW",0,0,0,0,400,8000,400,8000,0,S-1508-2005,No,No,No,No, ,Yes, , ,Yes,-9160479.34269874,3241786.268854186
Riverview HS,11311 Boyette RD,Riverview,33569,HILLSBOROUGH,"-82.31272798, 27.85179200",17R LL 70746 81476,SHELTER,RISK,7,1999,10 Classroom,R, ,0,0,0,0,350,21000,350,21000,400,"L, S",No,No,No,No, ,Yes, , , ,-9163010.964668293,3230300.9695568876
Strawberry Crest HS,4691 Gallagher Rd,Dover,33527,HILLSBOROUGH,"-82.23659004, 28.02288899",17R LM 78435 00354,SHELTER,RISK,7,2006,7 Gym,A,"Yes, unknown kW",0,0,373,22383,0,0,373,22383,1500,"L, S",No,No,No,Yes, ,Yes, , ,Yes,-9154535.328028057,3251859.8736605714
Hillsborough Comm College at the Regent,6437 Watson Rd,Riverview,33578,HILLSBOROUGH,"-82.31111597, 27.88685300",17R LL 70946 85359,SHELTER,RISK,7,2009,1 Main,A,230 kW,0,0,231,13852,0,0,231,13852,0,"L, S",E,No,No,No, ,Yes, , , ,-9162831.516880972,3234716.016739004
Bonifay K-8,140 Blue Devil Dr,Bonifay,32425,HOLMES,"-85.67960000, 30.79399500",16R FV 26328 07517,SHELTER,RISK,1,2015,1600 Cafeteria,A, ,0,0,150,8974,0,0,150,8974,6, ,No,No,No,Yes, ,Yes, , , ,-9537809.443399211,3606024.27249644
Bonifay K-8,140 Blue Devil Dr,Bonifay,32425,HOLMES,"-85.67960000, 30.79399500",16R FV 26328 07517,SHELTER,RISK,1,2015,1100 Admin,A, ,0,0,148,8870,0,0,148,8870,111, ,No,No,No,Yes, ,Yes, , , ,-9537809.443399211,3606024.27249644
Poplar Springs HS,3726 Atomic Dr,Graceville,32440,HOLMES,"-85.57764326, 30.95407325",16R FV 35858 25379,SHELTER,RISK,1,2003,3 Gym,A,HW 300 KW,0,0,246,14739,0,0,246,14739,38, ,No,No,No,Yes, ,Yes, , ,Yes,-9526459.671459353,3626786.1158762183
Sebastian Adult Daycare Center,815 Davis St,Sebastian,32958,INDIAN RIVER,"-80.47697702, 27.82545200",17R NL 51507 77976,SHELTER,RISK,9,0,Main,A, ,0,0,0,0,47,2800,47,2800,47,L,D,No,No,No, ,Yes, , ,Yes,-8958656.102929926,3226985.0502995513
Marianna HS,3546 Caverns Rd,Marianna,32446,JACKSON,"-85.19870908, 30.81237621",16R FV 72311 10196,SHELTER,RISK,2,2003,1B (part) Auditorium / Gym,A,600KW,0,0,33,1980,0,0,33,1980,33, ,No,No,No,Yes, ,Yes, , ,Yes,-9484276.911356736,3608406.519029507
Oakridge Assisted Living,297 SW CR 300,Mayo,32066,LAFAYETTE,"-83.18295997, 30.05195002",17R KP 89542 26550,SHELTER,RISK,3,0,Main,R, ,0,0,0,0,60,3600,60,3600,9,L,No,No,No,No, ,Yes, , , ,-9259884.746331865,3510229.2829401856
Lafayette HS,160 NE Hornet Dr,Mayo,32066,LAFAYETTE,"-83.16836003, 30.05387002",17R KP 90954 26736,SHELTER,RISK,3,1991,2 Cafeteria,R,30 kW,0,0,0,0,178,10860,178,10860,278,F,No,No,No,No, ,Yes, , , ,-9258259.489096353,3510476.212904333
Lafayette HS,160 NE Hornet Dr,Mayo,32066,LAFAYETTE,"-83.16836003, 30.05387002",17R KP 90954 26736,SHELTER,RISK,3,1996,32 Gym,R,"Yes, unknown kW",0,0,0,0,210,12600,210,12600,0,S 1621X 09-SR-18-03-4-01-210,No,No,No,No, ,Yes, , , ,-9258259.489096353,3510476.212904333
Umatilla ES,320 N Trowell Ave,Umatilla,32784,LAKE,"-81.66429901, 28.93057702",17R MN 35253 00475,SHELTER,RISK,5,2000,3 Classroom,A,"Yes, unknown kW",0,0,91,5466,0,0,91,5466,135,L,No,No,No,Yes, ,Yes, , , ,-9090828.181324229,3366813.0083268043
Astatula ES,13925 Florida Ave,Astatula,34705,LAKE,"-81.72578697, 28.71083499",17R MM 29111 76164,SHELTER,RISK,5,1999,1 Admin / Media,A,"Yes, unknown kW",0,0,17,1025,0,0,17,1025,25,S-1523,No,No,No,Yes, ,Yes, , ,Yes,-9097672.99039855,3338893.0373036303
Lost Lake ES,1901 Johns Lake Rd,Clemont,34711,LAKE,"-81.72159139, 28.52567145",17R MM 29397 55648,SHELTER,RISK,5,1999,1 Admin / Media,A,"Yes, unknown kW",0,0,15,922,0,0,15,922,51,L-School Broad,No,No,No,Yes, ,Yes, , ,Yes,-9097205.93990492,3315412.04987816
Villages ES,695 Rolling Acres Rd,Lady Lake,32159,LAKE,"-81.93559297, 28.93017200",17R MN 08809 00609,SHELTER,RISK,5,1999,1 Admin / Media,A,250 kW for campus,0,0,14,844,0,0,14,844,51, ,No,No,No,Yes, ,Yes, , ,Yes,-9121028.486718297,3366761.493755408
East Lee HS,715 Thomas Sherwin Ave,Lehigh Acres,33974,LEE,"-81.60184603, 26.55789999",17R MK 40055 37610,SHELTER,RISK,8,2005,1 Main,A,"Yes, unknown kW",0,0,0,0,0,0,1305,118297,150, ,No,No,No,No, ,Yes, , , ,-9083875.94821255,3068344.9446598017
